C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,-1,-6,-9,-3,-2,-1,-2,NAN
0,0,3,2,-4,-4,-1,-2,NAN
-1,-2,-1,-1,-2,-2,-1,-3,NAN
-2,-5,-2,-4,-3,-2,-1,-3,NAN
-1,-2,-2,1,-2,-2,-2,-1,NAN
-1,-2,-1,7,0,-3,0,-3,NAN
-2,-2,-6,-18,-4,-2,-3,0,NAN
-3,-3,0,2,0,-2,-3,-2,NAN
-3,-3,-3,-4,-2,-1,-2,-3,NAN
-4,0,-2,1,-2,-1,-5,-3,NAN
0,-2,-1,5,-1,-2,0,-1,NAN
-1,-2,-3,0,1,1,-3,-2,NAN
1,2,9,21,3,-2,-2,0,NAN
-4,-8,-21,-43,-7,-3,-2,-2,NAN
-3,-3,-1,7,0,0,1,-3,NAN
-2,2,-5,-6,-3,-2,-2,-2,NAN
-2,-1,0,3,-1,1,1,-2,NAN
0,2,6,11,1,3,0,0,NAN
-3,-2,-1,3,2,-1,-1,-1,NAN
1,-3,-2,-5,-3,-4,-1,-1,NAN
-1,-1,-2,-5,-5,-4,-2,0,NAN
0,-1,1,1,-1,0,0,-2,NAN
-1,0,-1,-5,-1,0,0,1,NAN
-2,1,0,6,0,0,-2,0,NAN
-2,1,0,-1,0,0,0,-1,NAN
-2,-2,0,0,-2,1,-3,-2,NAN
0,-1,-2,-1,-2,-2,-3,0,NAN
1,-1,-4,-1,-1,1,-3,-2,NAN
-3,1,1,0,-2,-1,2,-1,NAN
1,0,5,11,3,0,1,-1,NAN
-3,-2,-11,-19,-7,-3,-2,-3,NAN
-1,-2,0,2,2,0,0,-1,NAN
0,-1,-2,-2,0,1,0,0,NAN
-4,0,0,5,-2,0,0,-2,NAN
0,-2,2,4,-1,-2,0,-1,NAN
-1,-2,-2,-3,-3,-1,-1,-1,NAN
2,-2,0,0,-3,-3,-1,-1,NAN
-1,-2,-3,-6,0,1,1,0,NAN
-2,-1,0,2,4,1,0,-3,NAN
-1,1,-2,-2,-4,-2,-3,-1,NAN
0,-2,1,1,2,2,-1,0,NAN
1,0,-3,-5,-5,-3,-1,-1,NAN
-1,-1,-1,-1,-3,-3,0,-2,NAN
0,-2,1,2,2,-2,0,-1,NAN
0,-1,-1,-2,-2,-1,-3,-2,NAN
-2,-1,-4,-5,1,-1,-2,-1,NAN
0,-1,1,3,-1,0,-1,-1,NAN
-3,-2,-2,-2,-1,-1,-2,-2,NAN
0,0,-1,-3,-8,-7,-3,1,NAN
-1,0,-2,-4,0,-3,0,1,NAN
-1,0,2,2,2,1,-1,-1,NAN
0,1,0,0,-3,1,0,-1,NAN
-2,-2,0,-1,2,4,-1,-3,NAN
0,-2,3,5,2,-5,0,-3,NAN
-3,-1,-6,-10,-7,-12,-3,1,NAN
-1,-2,-1,0,0,-1,0,-2,NAN
-1,-1,1,0,0,-3,-1,-2,NAN
3,-1,0,1,-1,4,-1,-2,NAN
-9,-4,-3,-12,-2,2,-2,-3,NAN
0,-1,-2,-1,-1,-4,1,-1,NAN
-2,-2,-3,-1,0,2,0,-2,NAN
-2,1,-2,0,1,0,-1,-1,NAN
2,0,2,3,3,1,1,1,NAN
-2,-2,-3,-3,0,-1,-2,0,NAN
1,0,1,0,-3,-4,0,0,NAN
-1,-4,1,6,0,-2,-3,0,NAN
2,4,-2,-8,-1,-1,1,1,NAN
-2,0,2,-1,2,0,0,-1,NAN
-2,-1,-3,2,2,2,-2,-3,NAN
-3,-1,-2,-8,-6,-5,-2,-1,NAN
-2,-1,2,8,1,3,-2,-2,NAN
3,11,5,3,1,1,-2,2,NAN
-2,-9,-12,-15,-4,-1,-1,-2,NAN
-6,-5,-4,-3,-2,-1,0,-1,NAN
1,-2,4,11,1,-1,-1,-1,NAN
0,-2,0,4,-2,-2,1,-2,NAN
1,3,-1,3,0,-2,1,-1,NAN
-4,2,-5,-8,-3,-1,-1,-2,NAN
0,-1,0,5,-1,-1,-2,-2,NAN
-1,-2,-5,-6,-1,-3,-2,-1,NAN
0,-2,2,3,1,1,-1,-1,NAN
-1,-4,-2,-4,0,-2,-2,-2,NAN
2,4,1,4,2,1,-1,-1,NAN
-2,-4,-1,-7,-3,-3,0,-2,NAN
-1,0,1,-5,-2,-1,0,0,NAN
0,0,1,9,0,0,-1,1,NAN
-3,-3,-10,-14,-2,0,-2,-2,NAN
-2,-2,1,5,1,1,0,-2,NAN
0,0,-1,3,-1,-1,0,-1,NAN
-1,-3,-3,-9,-4,-4,-1,-3,NAN
-1,-1,1,3,1,2,1,-2,NAN
-1,-2,-2,-6,-4,-1,-2,-3,NAN
-3,1,0,7,1,-1,-2,0,NAN
2,1,1,1,0,0,-1,-2,NAN
1,-1,-1,0,-1,-3,0,1,NAN
0,-4,-2,-10,-1,-3,1,-1,NAN
-4,1,8,11,0,-2,-1,2,NAN
-1,-2,-6,-14,-1,0,0,-2,NAN
0,-1,0,2,-3,-1,0,-2,NAN
1,9,12,10,2,1,-1,0,NAN
-3,-11,-5,-9,-3,-4,-3,-4,NAN
3,-1,-2,-2,0,1,-1,1,NAN
-1,0,2,7,0,-1,-3,1,NAN
0,-1,-1,4,-2,-1,1,-2,NAN
-2,0,-4,-7,0,0,-2,-1,NAN
-1,0,4,4,-1,-2,-1,-2,NAN
0,-3,1,0,-2,-1,-1,-1,NAN
0,-3,-5,-5,-4,0,-2,-1,NAN
1,0,-2,-7,-3,-2,1,0,NAN
