C1,C2,C3,C4,C5,C6,C7,C8,Marker
-2,4,1,-2,-3,-1,-3,-5,NAN
-8,20,1,-2,-1,1,-4,-4,NAN
17,-5,-2,-1,-1,-1,1,-1,NAN
0,-11,-2,-3,-1,2,2,1,NAN
-1,9,-3,0,1,1,0,-3,NAN
-2,-9,-2,-1,-1,-2,-3,-3,NAN
-5,3,4,0,1,0,-2,0,NAN
-5,-13,-10,0,-1,-3,-1,-1,NAN
3,4,2,-2,-3,-2,-5,-4,NAN
-2,-10,1,0,3,2,15,7,NAN
-2,6,-1,0,0,3,0,1,NAN
3,-2,-1,-1,-2,-3,-4,-3,NAN
-6,-13,-4,0,-1,0,-1,-2,NAN
0,-14,-4,-1,-1,-5,-6,1,NAN
-5,4,-1,-2,0,1,2,0,NAN
-16,8,1,-3,-2,-1,-2,-6,NAN
16,-9,-1,-1,1,-2,3,3,NAN
20,5,0,-1,-2,0,-4,-5,NAN
-18,9,0,0,-1,-6,-2,-2,NAN
3,2,3,-2,-2,-1,-4,-7,NAN
0,0,-3,0,-1,0,-2,2,NAN
-1,-7,-3,-3,-1,-2,0,5,NAN
7,-8,-2,-2,-1,1,-1,-2,NAN
2,7,2,1,1,-3,-2,-1,NAN
0,-1,-1,0,-3,-6,-2,-1,NAN
-2,-2,-2,0,-1,-1,-3,-1,NAN
0,-18,-4,0,-2,-2,0,-1,NAN
0,20,-3,-2,-2,-3,-6,-4,NAN
-4,-9,-1,-3,-1,-2,-2,-3,NAN
7,-7,-2,-2,-1,0,2,4,NAN
6,13,1,-2,0,0,2,3,NAN
-5,-14,-3,2,0,0,1,-1,NAN
3,-3,-2,-1,0,0,-2,-1,NAN
-11,-3,0,-1,0,-3,-2,-1,NAN
-3,-9,-3,-2,0,0,3,-1,NAN
1,-1,0,-1,-2,-2,-2,-1,NAN
-4,3,-1,-1,-1,0,-7,-4,NAN
1,0,-6,0,0,1,2,2,NAN
-2,5,1,0,-1,-3,-6,-3,NAN
-2,-2,2,-1,0,-1,5,0,NAN
0,1,-2,0,1,3,4,2,NAN
1,2,-2,-2,-1,-3,-1,-2,NAN
-6,2,-2,-3,-3,1,-2,-2,NAN
5,-21,-7,-2,-2,-3,-8,-4,NAN
-1,19,7,0,-1,-1,3,4,NAN
7,15,5,2,-1,0,-1,2,NAN
-11,-3,-1,0,0,2,-4,-1,NAN
-5,-9,1,-5,-2,-7,2,1,NAN
2,2,-2,0,1,1,-1,0,NAN
-7,-6,-1,-2,-2,-2,-1,-4,NAN
9,9,-5,-1,-1,0,-4,-5,NAN
-4,-14,-3,-2,0,2,1,2,NAN
-12,-7,-4,-1,-3,-2,2,0,NAN
12,12,2,-1,-1,-1,-3,0,NAN
-2,-12,-2,-2,-1,-2,-2,-4,NAN
-13,10,2,0,-1,-2,-4,-1,NAN
-2,-9,-3,-2,-1,-3,2,3,NAN
-4,3,-1,-1,0,1,1,2,NAN
1,-24,-6,-2,-1,-3,1,-1,NAN
-2,39,3,0,-2,0,-1,-6,NAN
1,-7,-3,-3,0,-2,-2,-4,NAN
-6,-18,-4,-3,0,0,-2,-4,NAN
3,1,3,-1,-1,0,0,1,NAN
-12,6,-2,1,1,1,1,-1,NAN
11,-18,0,-2,-2,-1,-2,2,NAN
-1,23,0,0,-4,-6,-5,-5,NAN
-5,2,0,-1,-2,-1,1,1,NAN
0,-5,0,-2,-1,0,-1,-2,NAN
-2,-5,-1,-1,0,3,-2,-3,NAN
-4,-18,-5,-2,0,-4,-6,-5,NAN
-4,12,4,1,0,0,3,3,NAN
6,1,-4,-2,0,1,-2,0,NAN
-2,-5,-2,-1,-2,-5,-4,-5,NAN
2,8,0,0,-2,-2,2,1,NAN
-3,-13,-5,0,-2,0,-2,-3,NAN
-3,-2,1,0,1,1,0,1,NAN
13,1,0,-3,-1,1,-1,-2,NAN
1,-5,0,1,1,1,1,2,NAN
-8,6,-3,-1,1,-2,-1,0,NAN
-6,-7,-4,-3,-4,-3,-5,-2,NAN
-4,1,0,1,1,-3,-2,-2,NAN
-4,7,4,-3,-2,2,3,-6,NAN
5,1,0,0,-2,-1,0,-1,NAN
3,-4,-1,-1,0,0,4,11,NAN
-8,-16,-11,-4,-2,1,-1,-4,NAN
-1,21,6,1,1,-2,-4,-5,NAN
0,-5,-3,-2,-2,-1,1,0,NAN
-2,-15,-3,-2,-1,-2,-3,-5,NAN
-13,19,1,-1,0,0,0,-1,NAN
9,-20,-6,-1,0,-1,-1,0,NAN
-2,7,4,-3,-2,0,-2,-2,NAN
0,-6,-3,1,0,0,-1,1,NAN
