Subject,Object,Surface,Repetition,ChannelAvg
P01,ARController,Inner,2,0.29154380667791285
P01,ARController,Inner,3,0.2817879750021739
P01,ARController,Inner,4,0.28525959560646835
P01,ARController,Inner,5,0.3067031762232877
P01,ARController,Inner,6,0.281259239748169
P01,ARController,Outer,2,0.23636854856635722
P01,ARController,Outer,3,0.20725381529575126
P01,ARController,Outer,4,0.2775634341692109
P01,ARController,Outer,5,0.2725194618379121
P01,ARController,Outer,6,0.2994197121410551
P02,ARController,Inner,1,0.5310814633937087
P02,ARController,Inner,2,0.22471534439093377
P02,ARController,Inner,3,0.3581968592092752
P02,ARController,Inner,4,0.36616359080310473
P02,ARController,Inner,5,0.3263064518791091
P02,ARController,Inner,6,0.37896667587019184
P02,ARController,Outer,1,0.4438532618968081
P02,ARController,Outer,2,0.44243791933665205
P02,ARController,Outer,3,0.2916158621150533
P02,ARController,Outer,4,0.39496001130302827
P02,ARController,Outer,5,0.35047817401579584
P02,ARController,Outer,6,0.34000291454641424
P03,ARController,Inner,1,0.3371080895242941
P03,ARController,Inner,2,0.16353502201383402
P03,ARController,Inner,3,0.20307266091279108
P03,ARController,Inner,4,0.1852642819624725
P03,ARController,Inner,5,0.2572460091278199
P03,ARController,Inner,6,0.2807344211819587
P03,ARController,Outer,1,0.27108295628903767
P03,ARController,Outer,2,0.2819213614050496
P03,ARController,Outer,3,0.1758043526855455
P03,ARController,Outer,4,0.18340587211882858
P03,ARController,Outer,5,0.27233488577094744
P03,ARController,Outer,6,0.2719971040915168
P04,ARController,Inner,1,0.2226792771920746
P04,ARController,Inner,2,0.21556908290786891
P04,ARController,Inner,3,0.2855933976338958
P04,ARController,Inner,4,0.23935439109940415
P04,ARController,Inner,5,0.2970888180199003
P04,ARController,Inner,6,0.327098967090938
P04,ARController,Outer,1,0.2509924596021127
P04,ARController,Outer,2,0.2466255308912
P04,ARController,Outer,3,0.28342041724153094
P04,ARController,Outer,4,0.32483091536764036
P04,ARController,Outer,5,0.3111277769167634
P04,ARController,Outer,6,0.31376943896716236
P05,ARController,Inner,1,0.29946377005814784
P05,ARController,Inner,3,0.20280306924652602
P05,ARController,Inner,4,0.15588620826606994
P05,ARController,Inner,5,0.16634936224219318
P05,ARController,Inner,6,0.2832611470165185
P05,ARController,Outer,1,0.26222966040360024
P05,ARController,Outer,2,0.33185716651662855
P05,ARController,Outer,3,0.23672436173846992
P05,ARController,Outer,4,0.22759905153142676
P05,ARController,Outer,5,0.2782305846192268
P05,ARController,Outer,6,0.2899970015003479
P06,ARController,Inner,1,0.19125324363943044
P06,ARController,Inner,2,0.2148861314931999
P06,ARController,Inner,3,0.22875046381478242
P06,ARController,Inner,4,0.23355606300560722
P06,ARController,Inner,5,0.28929306114706926
P06,ARController,Inner,6,0.20962174037356682
P06,ARController,Outer,1,0.26615210584543963
P06,ARController,Outer,3,0.14061936697716637
P06,ARController,Outer,4,0.17479328086277807
P06,ARController,Outer,5,0.24041545007136064
P06,ARController,Outer,6,0.19392141472860214
P07,ARController,Inner,1,0.26185828772142705
P07,ARController,Inner,2,0.24978736872975882
P07,ARController,Inner,3,0.2977771576670263
P07,ARController,Inner,4,0.237814218260814
P07,ARController,Inner,5,0.30592357554176475
P07,ARController,Inner,6,0.29501069696963134
P07,ARController,Outer,1,0.28366017342307415
P07,ARController,Outer,2,0.3157546122622431
P07,ARController,Outer,3,0.2402716480370293
P07,ARController,Outer,4,0.3320824919977311
P07,ARController,Outer,5,0.36284114356172137
P07,ARController,Outer,6,0.3279194046604802
P08,ARController,Inner,1,0.308819773370546
P08,ARController,Outer,1,0.2869969283241043
P09,ARController,Inner,1,0.3455458340852464
P09,ARController,Inner,2,0.3138438397207572
P09,ARController,Inner,3,0.35809554490351986
P09,ARController,Inner,6,0.4474981661366876
P09,ARController,Outer,1,0.392512481989444
P09,ARController,Outer,2,0.3214490922103381
P09,ARController,Outer,3,0.23968480654371915
P10,ARController,Inner,1,0.20750116991148576
P10,ARController,Inner,2,0.257966867781274
P10,ARController,Inner,3,0.2745068242003502
P10,ARController,Inner,4,0.3102480979493181
P10,ARController,Inner,5,0.3522232981982845
P10,ARController,Inner,6,0.27593603512723297
P10,ARController,Outer,1,0.2493763987447256
P10,ARController,Outer,2,0.2882247725634285
P10,ARController,Outer,3,0.28263173720706125
P10,ARController,Outer,4,0.302247246201097
P10,ARController,Outer,5,0.29697932895200596
P10,ARController,Outer,6,0.3326013472233713
P11,ARController,Inner,3,0.17626184638559436
P11,ARController,Inner,4,0.3152245748661755
P11,ARController,Inner,5,0.26442940100807844
P11,ARController,Inner,6,0.27413083780677483
P11,ARController,Outer,1,0.29829431403897966
P11,ARController,Outer,3,0.33201344502391683
P11,ARController,Outer,4,0.3353754110624048
P11,ARController,Outer,5,0.29024919397599136
P11,ARController,Outer,6,0.28538662036622797
P12,ARController,Inner,1,0.27003562956330973
P12,ARController,Inner,2,0.2783348239286154
P12,ARController,Inner,3,0.28049185426432505
P12,ARController,Inner,4,0.19410863306229292
P12,ARController,Inner,5,0.2581372511322151
P12,ARController,Inner,6,0.234033079174606
