Subject,Object,Surface,Repetition,ChannelAvg
P01,ARHand,Inner,1,0.2134622174475036
P01,ARHand,Inner,2,0.2715298328043323
P01,ARHand,Inner,3,0.24291372049764387
P01,ARHand,Inner,4,0.34876232895691583
P01,ARHand,Inner,5,0.1875837893648284
P01,ARHand,Inner,6,0.3286509459683541
P01,ARHand,Outer,1,0.21535518374684307
P01,ARHand,Outer,2,0.29882038338626027
P01,ARHand,Outer,3,0.2255283910230833
P01,ARHand,Outer,4,0.2260965027285629
P01,ARHand,Outer,5,0.30584045174828556
P01,ARHand,Outer,6,0.3008622344710989
P02,ARHand,Inner,1,0.3983968912231685
P02,ARHand,Inner,2,0.29789268244392986
P02,ARHand,Inner,3,0.38469714391981746
P02,ARHand,Inner,4,0.3577700146712432
P02,ARHand,Inner,5,0.3626717074189175
P02,ARHand,Inner,6,0.31582082443075843
P02,ARHand,Outer,1,0.34004083083443337
P02,ARHand,Outer,2,0.31660123852390265
P02,ARHand,Outer,3,0.3637193822689444
P02,ARHand,Outer,4,0.3720639252610145
P02,ARHand,Outer,5,0.31897629603248895
P02,ARHand,Outer,6,0.3323402756909116
P03,ARHand,Inner,1,0.30128487156896366
P03,ARHand,Inner,2,0.1181442713277491
P03,ARHand,Inner,3,0.18278652267313056
P03,ARHand,Inner,4,0.16623134738946446
P03,ARHand,Inner,5,0.30393975287235386
P03,ARHand,Inner,6,0.16481326428589002
P03,ARHand,Outer,1,0.3341909160842238
P03,ARHand,Outer,2,0.19254003890407462
P03,ARHand,Outer,3,0.2719590640471451
P03,ARHand,Outer,4,0.3045291164691486
P03,ARHand,Outer,5,0.19606683685909665
P03,ARHand,Outer,6,0.27990280916779897
P05,ARHand,Inner,1,0.23720692361467222
P05,ARHand,Inner,2,0.25246234226532005
P05,ARHand,Inner,3,0.2797418739411133
P05,ARHand,Inner,4,0.29474599349654085
P05,ARHand,Inner,5,0.30711464461547605
P05,ARHand,Inner,6,0.28382728208021835
P05,ARHand,Outer,2,0.25742197879941225
P05,ARHand,Outer,3,0.25428447232479934
P05,ARHand,Outer,4,0.16022122466885025
P05,ARHand,Outer,5,0.32176822382067305
P05,ARHand,Outer,6,0.24901966269748219
P06,ARHand,Inner,1,0.22298494965874
P06,ARHand,Inner,2,0.3578091770855724
P06,ARHand,Inner,3,0.161933209457179
P06,ARHand,Inner,4,0.29847390127192097
P06,ARHand,Inner,5,0.2482883349690009
P06,ARHand,Inner,6,0.3316071942074549
P06,ARHand,Outer,2,0.31302941969129017
P06,ARHand,Outer,3,0.16700433376379467
P06,ARHand,Outer,4,0.25504661037452475
P06,ARHand,Outer,5,0.3100344823404944
P06,ARHand,Outer,6,0.3674711073744331
P07,ARHand,Inner,2,0.20094778275531244
P07,ARHand,Inner,3,0.2354175483760808
P07,ARHand,Inner,4,0.17735333157135236
P07,ARHand,Inner,5,0.3157574092611101
P07,ARHand,Inner,6,0.17476010731655542
P07,ARHand,Outer,3,0.14704329602602711
P07,ARHand,Outer,5,0.28894200492737276
P07,ARHand,Outer,6,0.29856690813361464
P08,ARHand,Inner,2,0.20312951315691274
P08,ARHand,Inner,5,0.270828185044845
P08,ARHand,Inner,6,0.3076718985404003
P08,ARHand,Outer,1,0.1949099583049227
P08,ARHand,Outer,3,0.31848831237851644
P08,ARHand,Outer,5,0.14946547557370077
P08,ARHand,Outer,6,0.3577256169355396
P09,ARHand,Inner,3,0.3764950771473443
P09,ARHand,Inner,4,0.3363056134000244
P09,ARHand,Inner,5,0.26289816645625186
P09,ARHand,Inner,6,0.15754409943978945
P09,ARHand,Outer,3,0.30852148309371286
P09,ARHand,Outer,4,0.37329312089970745
P09,ARHand,Outer,6,0.46623348211107135
P10,ARHand,Inner,1,0.3065611746117002
P10,ARHand,Inner,2,0.30698642554872324
P10,ARHand,Inner,3,0.281611959837272
P10,ARHand,Inner,4,0.27389007219107964
P10,ARHand,Inner,5,0.30179768795965894
P10,ARHand,Inner,6,0.36681707137528907
P10,ARHand,Outer,1,0.3136567637152438
P10,ARHand,Outer,2,0.31474893711814916
P10,ARHand,Outer,3,0.3569358677807754
P10,ARHand,Outer,4,0.3252664093769175
P10,ARHand,Outer,5,0.3207866871774243
P10,ARHand,Outer,6,0.2181699922628645
P11,ARHand,Inner,1,0.2339676719312977
P11,ARHand,Inner,2,0.28718780409441647
P11,ARHand,Inner,3,0.24110629943787842
P11,ARHand,Inner,4,0.2594651774139002
P11,ARHand,Inner,6,0.2725949287649687
P11,ARHand,Outer,1,0.3143781875957481
P11,ARHand,Outer,2,0.25997222559900907
P11,ARHand,Outer,3,0.2989522049654302
P11,ARHand,Outer,4,0.29322546828181084
P12,ARHand,Inner,1,0.31084877699240626
P12,ARHand,Inner,2,0.27968728583949876
P12,ARHand,Inner,3,0.27942505604086887
P12,ARHand,Inner,4,0.29495048002662094
P12,ARHand,Inner,5,0.2261981312253803
P12,ARHand,Inner,6,0.3613654152363628
P12,ARHand,Outer,1,0.26966365358309435
P12,ARHand,Outer,2,0.23692217947199384
P12,ARHand,Outer,3,0.2972278574242818
P12,ARHand,Outer,4,0.27181165025161125
P12,ARHand,Outer,5,0.30710480746365554
P12,ARHand,Outer,6,0.22133584777284587
