Subject,Object,Surface,Repetition,ChannelAvg
P01,ARPen,Inner,1,0.20409085729125803
P01,ARPen,Inner,2,0.2369787470597651
P01,ARPen,Inner,3,0.31486024615109676
P01,ARPen,Inner,4,0.2912562758680774
P01,ARPen,Inner,5,0.238416878641401
P01,ARPen,Inner,6,0.23008404769711652
P01,ARPen,Outer,1,0.21763882367538906
P01,ARPen,Outer,2,0.24630642059370658
P01,ARPen,Outer,3,0.2815346786456259
P01,ARPen,Outer,4,0.32091100373119785
P01,ARPen,Outer,5,0.23613211249643595
P01,ARPen,Outer,6,0.32484537675196606
P02,ARPen,Inner,2,0.12926016713507385
P02,ARPen,Inner,3,0.35431269356336204
P02,ARPen,Inner,4,0.3277186571686889
P02,ARPen,Inner,5,0.3933728533008301
P02,ARPen,Inner,6,0.3574324866780276
P02,ARPen,Outer,1,0.4011946907246861
P02,ARPen,Outer,3,0.3410317152028747
P02,ARPen,Outer,4,0.4045509502814364
P02,ARPen,Outer,5,0.328597262713147
P02,ARPen,Outer,6,0.3643864925164397
P03,ARPen,Inner,1,0.2624034269580765
P03,ARPen,Inner,2,0.22900647425121953
P03,ARPen,Inner,3,0.16199850211940958
P03,ARPen,Inner,4,0.3109943671094817
P03,ARPen,Inner,5,0.26310646960164696
P03,ARPen,Inner,6,0.21562692218162727
P03,ARPen,Outer,1,0.15714911929586167
P03,ARPen,Outer,2,0.1218454296804874
P03,ARPen,Outer,3,0.16638386210052458
P03,ARPen,Outer,4,0.1467147710349062
P03,ARPen,Outer,5,0.25547749998039126
P03,ARPen,Outer,6,0.2739685907310204
P05,ARPen,Inner,6,0.17334723734962051
P05,ARPen,Outer,6,0.1212020860255156
P06,ARPen,Inner,1,0.19038056883952756
P06,ARPen,Inner,4,0.2766440286360007
P06,ARPen,Inner,5,0.227197238574115
P06,ARPen,Inner,6,0.2884815364239204
P06,ARPen,Outer,4,0.13050987144845227
P06,ARPen,Outer,5,0.22883990266989776
P06,ARPen,Outer,6,0.2654196735515396
P07,ARPen,Inner,1,0.20536125075393835
P07,ARPen,Inner,2,0.3508989116094623
P07,ARPen,Inner,3,0.37449575989643064
P07,ARPen,Inner,4,0.2648814991143683
P07,ARPen,Inner,5,0.2995928221010899
P07,ARPen,Inner,6,0.2989844088423773
P07,ARPen,Outer,2,0.36194827386945505
P07,ARPen,Outer,3,0.3255403769832438
P07,ARPen,Outer,4,0.2542832866441648
P07,ARPen,Outer,5,0.2980527305519761
P07,ARPen,Outer,6,0.2759281289986032
P08,ARPen,Inner,1,0.292634114482342
P08,ARPen,Inner,2,0.23495804325877986
P08,ARPen,Inner,3,0.429625617874578
P08,ARPen,Inner,4,0.29606907264071747
P08,ARPen,Inner,5,0.2931213511887535
P08,ARPen,Inner,6,0.3085543488204544
P08,ARPen,Outer,1,0.4377882592967891
P08,ARPen,Outer,2,0.21101269557856053
P08,ARPen,Outer,3,0.42002566869210756
P08,ARPen,Outer,4,0.23606419442258764
P08,ARPen,Outer,5,0.2797017691392948
P08,ARPen,Outer,6,0.22853066110846265
P09,ARPen,Inner,5,0.3520475684223379
P09,ARPen,Inner,6,0.30449557834188007
P09,ARPen,Outer,5,0.34164795631623
P09,ARPen,Outer,6,0.36589978204250984
P10,ARPen,Inner,4,0.2522367496070004
P10,ARPen,Inner,5,0.39435010698681583
P10,ARPen,Inner,6,0.36943609450412707
P10,ARPen,Outer,5,0.3410530819541442
P10,ARPen,Outer,6,0.33768675376659457
P11,ARPen,Inner,1,0.25344922086012633
P11,ARPen,Inner,2,0.1714958038947352
P11,ARPen,Inner,4,0.18194449187309875
P11,ARPen,Outer,2,0.17333794842687453
P11,ARPen,Outer,4,0.17493229730428933
P11,ARPen,Outer,5,0.3734746969921952
P12,ARPen,Inner,1,0.24054397341753075
P12,ARPen,Inner,3,0.21472945875880675
P12,ARPen,Inner,5,0.32151826576879494
P12,ARPen,Inner,6,0.26741772727294466
P12,ARPen,Outer,1,0.19718401962807708
P12,ARPen,Outer,2,0.15743948230404198
P12,ARPen,Outer,3,0.14595013798955758
P12,ARPen,Outer,4,0.13964036404991484
P12,ARPen,Outer,6,0.2286001139182442
