Subject,Object,Surface,Repetition,ChannelAvg
P01,MRController,Inner,1,0.08218791313645099
P01,MRController,Inner,2,0.4260102222496001
P01,MRController,Inner,6,0.43599206834357607
P01,MRController,Outer,6,0.38954182716043184
P01,MRHand,Inner,1,0.3112285494638819
P01,MRHand,Inner,3,0.38277793972070195
P01,MRHand,Inner,4,0.29388606827097835
P01,MRHand,Inner,5,0.29344829930261057
P01,MRHand,Inner,6,0.29057843853011367
P01,MRHand,Outer,3,0.24666677666252357
P01,MRHand,Outer,4,0.2598207601752738
P01,MRHand,Outer,5,0.3318625511660966
P01,MRHand,Outer,6,0.23920933571237787
P01,MRPen,Inner,1,0.3511749703485832
P01,MRPen,Inner,2,0.34017897662948177
P01,MRPen,Inner,3,0.08831249988719794
P01,MRPen,Inner,4,0.22526328267370738
P01,MRPen,Inner,5,0.3385442538457807
P01,MRPen,Inner,6,0.32478257692541207
P01,MRPen,Outer,1,0.334694231258415
P01,MRPen,Outer,2,0.3420000478158305
P01,MRPen,Outer,3,0.40444482677137705
P01,MRPen,Outer,4,0.28598295250922356
P01,MRPen,Outer,5,0.26110818614379755
P01,MRPen,Outer,6,0.30933269800162333
P02,MRController,Inner,1,0.14865536939647356
P02,MRController,Inner,2,0.3867607270194867
P02,MRController,Inner,3,0.3494089427272148
P02,MRController,Inner,4,0.40405678932498823
P02,MRController,Inner,5,0.37787668149646636
P02,MRController,Inner,6,0.3344950058101167
P02,MRController,Outer,1,0.2825876987422078
P02,MRController,Outer,2,0.387614438270565
P02,MRController,Outer,3,0.42721224794817936
P02,MRController,Outer,4,0.39060064838902964
P02,MRController,Outer,5,0.3722465408301316
P02,MRController,Outer,6,0.3674992139482061
P02,MRHand,Inner,1,0.21527339284672575
P02,MRHand,Inner,2,0.27173970919812807
P02,MRHand,Inner,3,0.3517967788968702
P02,MRHand,Inner,4,0.348650573243592
P02,MRHand,Inner,5,0.35002947881906943
P02,MRHand,Inner,6,0.3461879756444745
P02,MRHand,Outer,1,0.3378116486485868
P02,MRHand,Outer,2,0.3136193873469608
P02,MRHand,Outer,3,0.29596598881045383
P02,MRHand,Outer,4,0.2521079075709116
P02,MRHand,Outer,5,0.2852435272506447
P02,MRHand,Outer,6,0.28673468526496093
P02,MRPen,Inner,1,0.463083021197909
P02,MRPen,Inner,2,0.3756848819506805
P02,MRPen,Inner,3,0.3275144841492845
P02,MRPen,Inner,4,0.3170864546412617
P02,MRPen,Inner,5,0.4138871246020417
P02,MRPen,Inner,6,0.3151914929268884
P02,MRPen,Outer,1,0.3938119052020835
P02,MRPen,Outer,2,0.4010209322236
P02,MRPen,Outer,3,0.39463680558347025
P02,MRPen,Outer,4,0.1413440441199691
P02,MRPen,Outer,5,0.32496566269570193
P02,MRPen,Outer,6,0.20868695412706567
P03,MRController,Inner,1,0.3429956404172568
P03,MRController,Inner,2,0.30816886278046146
P03,MRController,Inner,3,0.32579098755953617
P03,MRController,Inner,4,0.33924349377728147
P03,MRController,Inner,5,0.31370037913610693
P03,MRController,Inner,6,0.34012115602462406
P03,MRController,Outer,1,0.22467641950990444
P03,MRController,Outer,2,0.32128276704783687
