Subject,Object,Surface,Repetition,ChannelAvg
P01,MRController,Inner,1,0.08218791313645099
P01,MRController,Inner,2,0.4260102222496001
P01,MRController,Inner,6,0.43599206834357607
P01,MRController,Outer,6,0.38954182716043184
P02,MRController,Inner,1,0.14865536939647356
P02,MRController,Inner,2,0.3867607270194867
P02,MRController,Inner,3,0.3494089427272148
P02,MRController,Inner,4,0.40405678932498823
P02,MRController,Inner,5,0.37787668149646636
P02,MRController,Inner,6,0.3344950058101167
P02,MRController,Outer,1,0.2825876987422078
P02,MRController,Outer,2,0.387614438270565
P02,MRController,Outer,3,0.42721224794817936
P02,MRController,Outer,4,0.39060064838902964
P02,MRController,Outer,5,0.3722465408301316
P02,MRController,Outer,6,0.3674992139482061
P03,MRController,Inner,1,0.3429956404172568
P03,MRController,Inner,2,0.30816886278046146
P03,MRController,Inner,3,0.32579098755953617
P03,MRController,Inner,4,0.33924349377728147
P03,MRController,Inner,5,0.31370037913610693
P03,MRController,Inner,6,0.34012115602462406
P03,MRController,Outer,1,0.22467641950990444
P03,MRController,Outer,2,0.32128276704783687
P03,MRController,Outer,3,0.3272515296932802
P03,MRController,Outer,4,0.28633179330738995
P03,MRController,Outer,5,0.26002225742931584
P03,MRController,Outer,6,0.24755390723465887
P04,MRController,Inner,1,0.40420088742585736
P04,MRController,Inner,2,0.4533239679195944
P04,MRController,Inner,3,0.4396108456707616
P04,MRController,Inner,4,0.4573340656099468
P04,MRController,Inner,5,0.3555161175538186
P04,MRController,Inner,6,0.35551249952309905
P04,MRController,Outer,1,0.35910969248350655
P04,MRController,Outer,2,0.3601050169522335
P04,MRController,Outer,3,0.397021551238778
P04,MRController,Outer,4,0.35884809586497546
P04,MRController,Outer,5,0.4089386498414426
P04,MRController,Outer,6,0.362368017965316
P05,MRController,Inner,1,0.3374568218125553
P05,MRController,Inner,2,0.3550342510968403
P05,MRController,Inner,3,0.3060221124887318
P05,MRController,Inner,4,0.23654847089028977
P05,MRController,Inner,5,0.2374602597030186
P05,MRController,Inner,6,0.32021817967360683
P05,MRController,Outer,1,0.37770086204428194
P05,MRController,Outer,2,0.32068818921039627
P05,MRController,Outer,3,0.277053221188242
P05,MRController,Outer,4,0.31943472971104925
P05,MRController,Outer,5,0.2793065452189986
P05,MRController,Outer,6,0.3307106030327568
P06,MRController,Inner,1,0.17445306168909058
P06,MRController,Inner,2,0.2203151679924713
P06,MRController,Inner,3,0.32518230915240587
P06,MRController,Inner,4,0.27613855211321126
P06,MRController,Inner,5,0.3048780960600674
P06,MRController,Inner,6,0.32239457904550584
P06,MRController,Outer,1,0.22747144486616652
P06,MRController,Outer,2,0.23061529381704074
P06,MRController,Outer,3,0.27156647978477305
P06,MRController,Outer,4,0.29681355267359116
P06,MRController,Outer,5,0.29195218363759823
P06,MRController,Outer,6,0.3205952976696297
P08,MRController,Inner,1,0.31880148646816003
P08,MRController,Inner,2,0.28460594952024576
P08,MRController,Inner,3,0.3134139750972733
P08,MRController,Inner,4,0.25937114599883476
P08,MRController,Inner,5,0.3179250102006131
P08,MRController,Inner,6,0.31694864274878043
P08,MRController,Outer,1,0.2945011001915736
P08,MRController,Outer,2,0.34161721256783495
P08,MRController,Outer,3,0.3508679073385391
P08,MRController,Outer,4,0.30387412690592197
P08,MRController,Outer,5,0.35619995511391567
P08,MRController,Outer,6,0.3136517150077158
P09,MRController,Inner,1,0.2925398304895421
P09,MRController,Inner,2,0.28807003643763296
P09,MRController,Inner,3,0.3166709095367821
P09,MRController,Inner,4,0.2539843523544909
P09,MRController,Inner,5,0.3636989922974301
P09,MRController,Inner,6,0.28373225416679493
P09,MRController,Outer,1,0.3714515218138843
P09,MRController,Outer,2,0.2042963890722964
P09,MRController,Outer,3,0.3221172495292314
P09,MRController,Outer,4,0.23254056768336773
P09,MRController,Outer,5,0.3208680107845275
P09,MRController,Outer,6,0.30468611480279556
P10,MRController,Inner,1,0.28163256183824437
P10,MRController,Inner,2,0.23030913701501238
P10,MRController,Inner,3,0.30990872653172097
P10,MRController,Inner,4,0.3114912599602852
P10,MRController,Inner,5,0.26902721917275385
P10,MRController,Inner,6,0.2160613589765268
P10,MRController,Outer,1,0.289285039090559
P10,MRController,Outer,2,0.30000214514357315
P10,MRController,Outer,3,0.3049400508617736
P10,MRController,Outer,4,0.3319254641672551
P10,MRController,Outer,5,0.2037078252765678
P10,MRController,Outer,6,0.3002566797471865
P11,MRController,Inner,1,0.36708727438953304
P11,MRController,Inner,2,0.3859210174437657
P11,MRController,Inner,3,0.3418377813439585
P11,MRController,Inner,4,0.3370911413473321
P11,MRController,Inner,5,0.29229143861741813
P11,MRController,Inner,6,0.2696127781092538
P11,MRController,Outer,1,0.320837782207829
P11,MRController,Outer,2,0.3444839814407912
P11,MRController,Outer,3,0.30720957781943325
P11,MRController,Outer,4,0.31688918613430184
P11,MRController,Outer,5,0.31635484074655906
P11,MRController,Outer,6,0.390427332730248
P12,MRController,Inner,1,0.31742083819503913
P12,MRController,Inner,2,0.29991711289762973
P12,MRController,Inner,3,0.30888097612505927
P12,MRController,Inner,4,0.24985780861029258
P12,MRController,Inner,5,0.20945874237003487
P12,MRController,Inner,6,0.3355303743275102
P12,MRController,Outer,1,0.2754824252771606
P12,MRController,Outer,2,0.3387661258234779
P12,MRController,Outer,3,0.3022635169502954
P12,MRController,Outer,4,0.267957289574624
P12,MRController,Outer,5,0.2888498452834769
P12,MRController,Outer,6,0.33088557095580257
