Subject,Object,Surface,Repetition,ChannelAvg
P01,MRHand,Inner,1,0.3112285494638819
P01,MRHand,Inner,3,0.38277793972070195
P01,MRHand,Inner,4,0.29388606827097835
P01,MRHand,Inner,5,0.29344829930261057
P01,MRHand,Inner,6,0.29057843853011367
P01,MRHand,Outer,3,0.24666677666252357
P01,MRHand,Outer,4,0.2598207601752738
P01,MRHand,Outer,5,0.3318625511660966
P01,MRHand,Outer,6,0.23920933571237787
P02,MRHand,Inner,1,0.21527339284672575
P02,MRHand,Inner,2,0.27173970919812807
P02,MRHand,Inner,3,0.3517967788968702
P02,MRHand,Inner,4,0.348650573243592
P02,MRHand,Inner,5,0.35002947881906943
P02,MRHand,Inner,6,0.3461879756444745
P02,MRHand,Outer,1,0.3378116486485868
P02,MRHand,Outer,2,0.3136193873469608
P02,MRHand,Outer,3,0.29596598881045383
P02,MRHand,Outer,4,0.2521079075709116
P02,MRHand,Outer,5,0.2852435272506447
P02,MRHand,Outer,6,0.28673468526496093
P03,MRHand,Inner,1,0.29812438899438254
P03,MRHand,Inner,2,0.3557776448566644
P03,MRHand,Inner,3,0.3261938461746408
P03,MRHand,Inner,4,0.3256081188826946
P03,MRHand,Inner,5,0.3035041506892733
P03,MRHand,Inner,6,0.2912336608088242
P03,MRHand,Outer,1,0.25042805783716204
P03,MRHand,Outer,2,0.4329796453188997
P03,MRHand,Outer,3,0.2618135646406588
P03,MRHand,Outer,4,0.2593212598348952
P03,MRHand,Outer,5,0.34760909206886625
P03,MRHand,Outer,6,0.31933412938558214
P04,MRHand,Inner,1,0.33579813289118454
P04,MRHand,Inner,2,0.40079138966851896
P04,MRHand,Inner,3,0.384370369691541
P04,MRHand,Inner,4,0.37582554045843286
P04,MRHand,Inner,5,0.35860762921349704
P04,MRHand,Inner,6,0.40008778976340525
P04,MRHand,Outer,1,0.32013418818104733
P04,MRHand,Outer,2,0.3458749530946104
P04,MRHand,Outer,3,0.3739032461793712
P04,MRHand,Outer,4,0.1611431322752795
P04,MRHand,Outer,5,0.3298633271238539
P04,MRHand,Outer,6,0.40750454100467026
P05,MRHand,Inner,1,0.18614664858081303
P05,MRHand,Inner,2,0.37371856323444613
P05,MRHand,Inner,3,0.31887760422042644
P05,MRHand,Inner,4,0.2652212355693948
P05,MRHand,Inner,5,0.30902654058944234
P05,MRHand,Inner,6,0.3443231342133358
P05,MRHand,Outer,1,0.33472015127854654
P05,MRHand,Outer,2,0.2907450907088704
P05,MRHand,Outer,3,0.34125944016071386
P05,MRHand,Outer,4,0.3544099019610235
P05,MRHand,Outer,5,0.2874076565433373
P05,MRHand,Outer,6,0.35940875954765217
P06,MRHand,Inner,1,0.24874815972320236
P06,MRHand,Inner,2,0.17398101824561935
P06,MRHand,Inner,3,0.16053427931665545
P06,MRHand,Inner,5,0.27386890619938
P06,MRHand,Inner,6,0.13262820806044073
P06,MRHand,Outer,1,0.19978697982566235
P06,MRHand,Outer,2,0.23982715984919759
P06,MRHand,Outer,3,0.31859648726862044
P07,MRHand,Inner,1,0.38468163397885646
P07,MRHand,Inner,2,0.3733159424028587
P07,MRHand,Inner,3,0.3853714352591467
P07,MRHand,Inner,4,0.32708492405334044
P07,MRHand,Inner,5,0.3894039140932086
P07,MRHand,Inner,6,0.3562513922569403
P07,MRHand,Outer,1,0.33781602678751577
P07,MRHand,Outer,2,0.32379762882047947
P07,MRHand,Outer,3,0.36391050076496684
P07,MRHand,Outer,4,0.2913915810326753
P07,MRHand,Outer,5,0.30867067745379173
P07,MRHand,Outer,6,0.32306880071787264
P08,MRHand,Inner,1,0.48624328684599316
P08,MRHand,Inner,2,0.25588002050624287
P08,MRHand,Inner,3,0.3393209489132256
P08,MRHand,Inner,4,0.2888108992108682
P08,MRHand,Inner,5,0.35455453257742015
P08,MRHand,Outer,1,0.35736405557420986
P08,MRHand,Outer,2,0.246074236878296
P08,MRHand,Outer,3,0.3837176191112085
P08,MRHand,Outer,4,0.2783691594607537
P08,MRHand,Outer,5,0.31594749742430095
P08,MRHand,Outer,6,0.24137223058349944
P09,MRHand,Inner,1,0.31615919831645045
P09,MRHand,Inner,2,0.28432266063327316
P09,MRHand,Inner,3,0.16566469094851385
