Subject,Object,Surface,Repetition,ChannelAvg
P01,MRPen,Inner,1,0.3511749703485832
P01,MRPen,Inner,2,0.34017897662948177
P01,MRPen,Inner,3,0.08831249988719794
P01,MRPen,Inner,4,0.22526328267370738
P01,MRPen,Inner,5,0.3385442538457807
P01,MRPen,Inner,6,0.32478257692541207
P01,MRPen,Outer,1,0.334694231258415
P01,MRPen,Outer,2,0.3420000478158305
P01,MRPen,Outer,3,0.40444482677137705
P01,MRPen,Outer,4,0.28598295250922356
P01,MRPen,Outer,5,0.26110818614379755
P01,MRPen,Outer,6,0.30933269800162333
P02,MRPen,Inner,1,0.463083021197909
P02,MRPen,Inner,2,0.3756848819506805
P02,MRPen,Inner,3,0.3275144841492845
P02,MRPen,Inner,4,0.3170864546412617
P02,MRPen,Inner,5,0.4138871246020417
P02,MRPen,Inner,6,0.3151914929268884
P02,MRPen,Outer,1,0.3938119052020835
P02,MRPen,Outer,2,0.4010209322236
P02,MRPen,Outer,3,0.39463680558347025
P02,MRPen,Outer,4,0.1413440441199691
P02,MRPen,Outer,5,0.32496566269570193
P02,MRPen,Outer,6,0.20868695412706567
P03,MRPen,Inner,1,0.3011976444576361
P03,MRPen,Inner,2,0.31742247965469905
P03,MRPen,Inner,3,0.2882051433390376
P03,MRPen,Inner,4,0.28930913539811864
P03,MRPen,Inner,5,0.3370362549435329
P03,MRPen,Inner,6,0.24708632781926199
P03,MRPen,Outer,1,0.23416684509330715
P03,MRPen,Outer,2,0.3064486818937137
P03,MRPen,Outer,3,0.31114646084096387
P03,MRPen,Outer,4,0.28010464391987555
P03,MRPen,Outer,5,0.2966035195221698
P03,MRPen,Outer,6,0.28396842109817766
P04,MRPen,Inner,1,0.4237456340605309
P04,MRPen,Inner,2,0.3878768618416446
P04,MRPen,Inner,3,0.4183584455084359
P04,MRPen,Inner,4,0.27679926108839203
P04,MRPen,Inner,5,0.4073765075372149
P04,MRPen,Inner,6,0.3759264782792803
P04,MRPen,Outer,1,0.3541727622105105
P04,MRPen,Outer,2,0.3884529709103488
P04,MRPen,Outer,3,0.36475632788032153
P04,MRPen,Outer,4,0.33129625841746085
P04,MRPen,Outer,5,0.34333515828919636
P04,MRPen,Outer,6,0.2793139707480433
P05,MRPen,Inner,1,0.3335914727867326
P05,MRPen,Inner,2,0.27569646533489334
P05,MRPen,Inner,3,0.25319903736223254
P05,MRPen,Inner,4,0.34357529143778903
P05,MRPen,Inner,5,0.3408507590004494
P05,MRPen,Inner,6,0.31547599943283805
P05,MRPen,Outer,1,0.3223507432880712
P05,MRPen,Outer,2,0.3591180641592535
P05,MRPen,Outer,3,0.3288648563576086
P05,MRPen,Outer,4,0.3391861403837543
P05,MRPen,Outer,5,0.2855935906235254
P05,MRPen,Outer,6,0.36336516761528215
P06,MRPen,Inner,1,0.1506285659189213
P06,MRPen,Inner,2,0.27792473748724744
P06,MRPen,Inner,3,0.31844582975556845
P06,MRPen,Inner,4,0.2660917123547619
P06,MRPen,Inner,5,0.32192873109905273
P06,MRPen,Inner,6,0.27564694653536587
P06,MRPen,Outer,1,0.24949651750503615
P06,MRPen,Outer,2,0.1639386876993353
P06,MRPen,Outer,3,0.31643850849514943
P06,MRPen,Outer,4,0.2886823662303798
P06,MRPen,Outer,5,0.2770508975823819
P06,MRPen,Outer,6,0.34534093417456846
P07,MRPen,Inner,1,0.32272565894327665
P07,MRPen,Inner,2,0.35933857949744075
P07,MRPen,Inner,4,0.30247405246150116
P07,MRPen,Inner,5,0.3288348948939891
P07,MRPen,Inner,6,0.3869287921743822
P08,MRPen,Inner,1,0.3500443017240602
P08,MRPen,Inner,2,0.24801265945513573
P08,MRPen,Inner,3,0.3105197599307184
P08,MRPen,Inner,4,0.29234725866851224
P08,MRPen,Inner,5,0.26876590977141324
P08,MRPen,Inner,6,0.2878929150878169
P08,MRPen,Outer,1,0.3257521928727684
P08,MRPen,Outer,2,0.21427931012202545
P08,MRPen,Outer,3,0.2308741309511918
P08,MRPen,Outer,4,0.36936559552821785
P08,MRPen,Outer,5,0.25458672868829346
P08,MRPen,Outer,6,0.3097742859340609
P09,MRPen,Inner,1,0.30502383520569415
P09,MRPen,Inner,2,0.3971030190031809
P09,MRPen,Inner,3,0.36802993628883696
P09,MRPen,Inner,4,0.3423224394683965
P09,MRPen,Inner,5,0.3296937547330163
P09,MRPen,Inner,6,0.32855041970352217
P09,MRPen,Outer,1,0.3178557078604872
P09,MRPen,Outer,2,0.35227459674450823
P09,MRPen,Outer,3,0.1769528515229516
P09,MRPen,Outer,4,0.27627533201891963
P09,MRPen,Outer,5,0.28114283094055914
P09,MRPen,Outer,6,0.33529884924930503
P10,MRPen,Inner,2,0.22686841975748642
P10,MRPen,Inner,3,0.3086306810086845
P10,MRPen,Inner,4,0.31971070648300576
P10,MRPen,Inner,5,0.29758178347179887
P10,MRPen,Inner,6,0.3200792180069071
P10,MRPen,Outer,1,0.20866010507012517
P10,MRPen,Outer,2,0.30290810166389914
P10,MRPen,Outer,3,0.24998176131677127
P10,MRPen,Outer,4,0.2521937051164013
P10,MRPen,Outer,5,0.3406172934718469
P10,MRPen,Outer,6,0.2253348861128911
P11,MRPen,Inner,1,0.3201280467396562
P11,MRPen,Inner,3,0.39173151268305756
P11,MRPen,Inner,6,0.2053684673815208
P11,MRPen,Outer,1,0.2752436395909809
P12,MRPen,Inner,2,0.25399574971374217
P12,MRPen,Inner,3,0.2960054524119671
P12,MRPen,Inner,4,0.23477289917679764
P12,MRPen,Inner,5,0.19507075221710266
P12,MRPen,Inner,6,0.33850154068672306
P12,MRPen,Outer,3,0.2117409535732418
P12,MRPen,Outer,4,0.263131350409785
P12,MRPen,Outer,5,0.3935088303088632
P12,MRPen,Outer,6,0.32017897669764706
