Subject,Object,Surface,Repetition,ChannelAvg
P01,VRController,Inner,1,0.3357231820107178
P01,VRController,Inner,2,0.23575908199345014
P01,VRController,Inner,3,0.2697144074823782
P01,VRController,Inner,4,0.3106780635346411
P01,VRController,Inner,5,0.08631751900902937
P01,VRController,Inner,6,0.3030751528125229
P01,VRController,Outer,1,0.2705620033714082
P01,VRController,Outer,2,0.266629047551109
P01,VRController,Outer,3,0.2800240366794008
P01,VRController,Outer,4,0.3601421947398307
P01,VRController,Outer,5,0.3069821292409415
P01,VRController,Outer,6,0.35357894199380835
P01,VRHand,Inner,3,0.31210704150217006
P01,VRHand,Inner,4,0.19758894614941705
P01,VRHand,Inner,5,0.3192328186402573
P01,VRHand,Inner,6,0.2890218818524613
P01,VRHand,Outer,1,0.39419070350049
P01,VRHand,Outer,2,0.28670446978104525
P01,VRHand,Outer,3,0.33442447399314906
P01,VRHand,Outer,4,0.32656608210301047
P01,VRHand,Outer,5,0.3208650264377676
P01,VRHand,Outer,6,0.3769061582940272
P01,VRPen,Inner,2,0.30285290289453637
P01,VRPen,Inner,3,0.3151238351317916
P01,VRPen,Inner,4,0.32892039162067765
P01,VRPen,Inner,5,0.24297547536219213
P01,VRPen,Inner,6,0.28818841072022316
P01,VRPen,Outer,3,0.4166303783425874
P01,VRPen,Outer,4,0.20122900534301263
P01,VRPen,Outer,5,0.26659255619860767
P01,VRPen,Outer,6,0.2048457856345908
P02,VRController,Inner,1,0.3536970955219405
P02,VRController,Inner,2,0.28682028041354896
P02,VRController,Inner,3,0.3197818726433381
P02,VRController,Inner,4,0.34719713344702735
P02,VRController,Inner,5,0.3149288189994507
P02,VRController,Inner,6,0.31370129608582137
P02,VRController,Outer,1,0.3502600927775994
P02,VRController,Outer,2,0.3147923026246517
P02,VRController,Outer,3,0.33991999522953065
P02,VRController,Outer,4,0.30142173082661317
P02,VRController,Outer,5,0.3527806744280351
P02,VRController,Outer,6,0.3678597560917567
P02,VRHand,Inner,1,0.27474739790872826
P02,VRHand,Inner,2,0.2524865711224713
P02,VRHand,Inner,3,0.3186215263191824
P02,VRHand,Inner,4,0.32520323578347443
P02,VRHand,Inner,5,0.2810195045478563
P02,VRHand,Inner,6,0.3063723038199918
P02,VRHand,Outer,1,0.29144690667229706
P02,VRHand,Outer,2,0.454708296482171
P02,VRHand,Outer,3,0.3844342461570237
P02,VRHand,Outer,4,0.3219801167777603
P02,VRHand,Outer,5,0.26802917720401753
P02,VRHand,Outer,6,0.2512812535157475
P02,VRPen,Inner,1,0.33335640776787845
P02,VRPen,Inner,2,0.3886421863010427
P02,VRPen,Inner,3,0.33737610113755556
P02,VRPen,Inner,4,0.3841316581795783
P02,VRPen,Inner,5,0.34029724460483224
P02,VRPen,Inner,6,0.34827398091936257
P02,VRPen,Outer,1,0.3461835593220878
P02,VRPen,Outer,2,0.3466837903124586
P02,VRPen,Outer,3,0.2035708921453177
P02,VRPen,Outer,4,0.3942208207845369
P02,VRPen,Outer,5,0.347122240671528
P02,VRPen,Outer,6,0.34397018607307833
P03,VRController,Inner,1,0.34633316241639245
P03,VRController,Inner,2,0.2708000591802851
P03,VRController,Inner,3,0.3291507934729524
P03,VRController,Inner,4,0.37143748314501024
P03,VRController,Inner,5,0.3358528429370006
P03,VRController,Inner,6,0.2917271523235122
P03,VRController,Outer,1,0.24050236880731662
P03,VRController,Outer,2,0.21843184711859898
P03,VRController,Outer,3,0.3403233745056099
P03,VRController,Outer,4,0.2762636135967877
P03,VRController,Outer,5,0.34836132518802654
P03,VRController,Outer,6,0.20834147096382125
P03,VRHand,Inner,4,0.17183677915491613
P03,VRPen,Inner,1,0.4192801270690882
P03,VRPen,Inner,2,0.354140522851747
P03,VRPen,Inner,3,0.3285248515209289
P03,VRPen,Inner,4,0.3818911628848275
P03,VRPen,Inner,5,0.4082355131280324
P03,VRPen,Inner,6,0.3846481536095956
P03,VRPen,Outer,1,0.33771007877186227
P03,VRPen,Outer,2,0.3701685275967209
