Subject,Object,Surface,Repetition,ChannelAvg
P01,VRController,Inner,1,0.3357231820107178
P01,VRController,Inner,2,0.23575908199345014
P01,VRController,Inner,3,0.2697144074823782
P01,VRController,Inner,4,0.3106780635346411
P01,VRController,Inner,5,0.08631751900902937
P01,VRController,Inner,6,0.3030751528125229
P01,VRController,Outer,1,0.2705620033714082
P01,VRController,Outer,2,0.266629047551109
P01,VRController,Outer,3,0.2800240366794008
P01,VRController,Outer,4,0.3601421947398307
P01,VRController,Outer,5,0.3069821292409415
P01,VRController,Outer,6,0.35357894199380835
P02,VRController,Inner,1,0.3536970955219405
P02,VRController,Inner,2,0.28682028041354896
P02,VRController,Inner,3,0.3197818726433381
P02,VRController,Inner,4,0.34719713344702735
P02,VRController,Inner,5,0.3149288189994507
P02,VRController,Inner,6,0.31370129608582137
P02,VRController,Outer,1,0.3502600927775994
P02,VRController,Outer,2,0.3147923026246517
P02,VRController,Outer,3,0.33991999522953065
P02,VRController,Outer,4,0.30142173082661317
P02,VRController,Outer,5,0.3527806744280351
P02,VRController,Outer,6,0.3678597560917567
P03,VRController,Inner,1,0.34633316241639245
P03,VRController,Inner,2,0.2708000591802851
P03,VRController,Inner,3,0.3291507934729524
P03,VRController,Inner,4,0.37143748314501024
P03,VRController,Inner,5,0.3358528429370006
P03,VRController,Inner,6,0.2917271523235122
P03,VRController,Outer,1,0.24050236880731662
P03,VRController,Outer,2,0.21843184711859898
P03,VRController,Outer,3,0.3403233745056099
P03,VRController,Outer,4,0.2762636135967877
P03,VRController,Outer,5,0.34836132518802654
P03,VRController,Outer,6,0.20834147096382125
P04,VRController,Inner,2,0.37475162599149686
P04,VRController,Inner,4,0.27961753557959756
P04,VRController,Inner,6,0.40946550692707767
P04,VRController,Outer,2,0.2527509762802662
P04,VRController,Outer,4,0.282780601978904
P05,VRController,Inner,1,0.21564315737829087
P05,VRController,Inner,4,0.2236141080484521
P05,VRController,Inner,5,0.25724064170952654
P05,VRController,Inner,6,0.2869015378920131
P05,VRController,Outer,1,0.29892614947729346
P05,VRController,Outer,4,0.2648841759888088
P05,VRController,Outer,5,0.17450902228018175
P05,VRController,Outer,6,0.22560322160536944
P06,VRController,Inner,6,0.2857138937130864
P06,VRController,Outer,2,0.15786538752975543
P06,VRController,Outer,6,0.36156210974307534
P07,VRController,Inner,2,0.42453936916175683
P07,VRController,Inner,3,0.5326051997017414
P07,VRController,Inner,4,0.39397526934455196
P07,VRController,Inner,5,0.40363267534157
P07,VRController,Inner,6,0.4604346862974712
P07,VRController,Outer,2,0.4132313778733645
P07,VRController,Outer,3,0.29630231248162364
P07,VRController,Outer,4,0.3988657370547084
P07,VRController,Outer,5,0.37693629319092514
P07,VRController,Outer,6,0.30891434507860394
P08,VRController,Outer,4,0.24669822515182477
P08,VRController,Outer,5,0.21974361396634973
P09,VRController,Inner,1,0.3210089499081027
P09,VRController,Inner,2,0.31903698958515214
P09,VRController,Inner,5,0.2691476767237988
P09,VRController,Inner,6,0.35622718595300107
P09,VRController,Outer,2,0.3151349518110914
P09,VRController,Outer,5,0.2537120288642788
P09,VRController,Outer,6,0.335063423668748
P10,VRController,Inner,5,0.2583773790391847
P10,VRController,Inner,6,0.26663932043511207
P10,VRController,Outer,5,0.26223144190839665
P10,VRController,Outer,6,0.22963972632083848
P11,VRController,Inner,1,0.3387173155769174
P11,VRController,Inner,2,0.26390745808592675
P11,VRController,Inner,3,0.2977270795590448
P11,VRController,Inner,6,0.2547262396340314
P11,VRController,Outer,1,0.2639372875600169
P11,VRController,Outer,2,0.31763499893208696
P11,VRController,Outer,3,0.4555522878197241
P11,VRController,Outer,6,0.23355195697373016
P12,VRController,Inner,6,0.36814869615015955
P12,VRController,Outer,6,0.1826433690545606
