Subject,Object,Surface,Repetition,ChannelAvg
P01,VRHand,Inner,3,0.31210704150217006
P01,VRHand,Inner,4,0.19758894614941705
P01,VRHand,Inner,5,0.3192328186402573
P01,VRHand,Inner,6,0.2890218818524613
P01,VRHand,Outer,1,0.39419070350049
P01,VRHand,Outer,2,0.28670446978104525
P01,VRHand,Outer,3,0.33442447399314906
P01,VRHand,Outer,4,0.32656608210301047
P01,VRHand,Outer,5,0.3208650264377676
P01,VRHand,Outer,6,0.3769061582940272
P02,VRHand,Inner,1,0.27474739790872826
P02,VRHand,Inner,2,0.2524865711224713
P02,VRHand,Inner,3,0.3186215263191824
P02,VRHand,Inner,4,0.32520323578347443
P02,VRHand,Inner,5,0.2810195045478563
P02,VRHand,Inner,6,0.3063723038199918
P02,VRHand,Outer,1,0.29144690667229706
P02,VRHand,Outer,2,0.454708296482171
P02,VRHand,Outer,3,0.3844342461570237
P02,VRHand,Outer,4,0.3219801167777603
P02,VRHand,Outer,5,0.26802917720401753
P02,VRHand,Outer,6,0.2512812535157475
P03,VRHand,Inner,4,0.17183677915491613
P04,VRHand,Inner,1,0.32572343110228974
P04,VRHand,Inner,3,0.3548846602799789
P04,VRHand,Inner,5,0.31938782197688387
P04,VRHand,Outer,1,0.26293773071872717
P04,VRHand,Outer,2,0.3051474449113075
P04,VRHand,Outer,4,0.32782471250205114
P05,VRHand,Inner,4,0.2512611512942088
P05,VRHand,Inner,5,0.1632421346237687
P05,VRHand,Inner,6,0.29956834384336994
P05,VRHand,Outer,1,0.21041814464770053
P05,VRHand,Outer,4,0.24856642905905774
P05,VRHand,Outer,5,0.24412439283396864
P05,VRHand,Outer,6,0.260428510871575
P06,VRHand,Inner,1,0.31839828635801504
P06,VRHand,Inner,5,0.2864389345770694
P06,VRHand,Inner,6,0.3483465777625867
P06,VRHand,Outer,5,0.26987100475217257
P06,VRHand,Outer,6,0.2756629003595448
P07,VRHand,Inner,1,0.33967717018694815
P07,VRHand,Inner,2,0.43377585609701513
P07,VRHand,Inner,3,0.185591170389386
P07,VRHand,Inner,4,0.24667224269743698
P07,VRHand,Inner,5,0.31634583608447486
P07,VRHand,Inner,6,0.38039798437439876
P07,VRHand,Outer,1,0.37138907206974636
P07,VRHand,Outer,2,0.35850986390016043
P07,VRHand,Outer,4,0.2402670564408581
P07,VRHand,Outer,5,0.341937244671364
P07,VRHand,Outer,6,0.32467195483936073
P08,VRHand,Inner,1,0.28553322701264694
P08,VRHand,Inner,6,0.3530275861159823
P08,VRHand,Outer,1,0.267367800263368
P08,VRHand,Outer,2,0.3442815568139119
P08,VRHand,Outer,6,0.323793534088341
P09,VRHand,Inner,4,0.21974449532776114
P09,VRHand,Inner,5,0.24439906767386027
P09,VRHand,Inner,6,0.26397849416477226
P09,VRHand,Outer,5,0.23735704159582344
P09,VRHand,Outer,6,0.30637984085238396
P10,VRHand,Inner,1,0.0998025084216662
P10,VRHand,Inner,2,0.22841268437757928
P10,VRHand,Inner,3,0.3107187798744514
P10,VRHand,Inner,6,0.25454176142280055
P10,VRHand,Outer,2,0.26088414316239056
P10,VRHand,Outer,3,0.2805008999865333
P10,VRHand,Outer,6,0.30047228910123336
P11,VRHand,Inner,1,0.28616594231343945
P11,VRHand,Inner,2,0.35698424193458866
P11,VRHand,Inner,3,0.3097047251507354
P11,VRHand,Inner,4,0.2303953328364477
P11,VRHand,Inner,5,0.3898990452373193
P11,VRHand,Inner,6,0.2825134994349902
P11,VRHand,Outer,1,0.19734303611463958
P11,VRHand,Outer,2,0.2651488762080928
P11,VRHand,Outer,3,0.24762799543759867
P11,VRHand,Outer,4,0.39384371648804384
P11,VRHand,Outer,5,0.34285287340976767
P11,VRHand,Outer,6,0.28030867597738096
P12,VRHand,Inner,1,0.43204967802199445
P12,VRHand,Inner,2,0.4621629286079689
P12,VRHand,Inner,3,0.5646217407580038
P12,VRHand,Inner,5,0.5700772081264975
