Subject,Object,Surface,Repetition,ChannelAvg
P01,VRPen,Inner,2,0.30285290289453637
P01,VRPen,Inner,3,0.3151238351317916
P01,VRPen,Inner,4,0.32892039162067765
P01,VRPen,Inner,5,0.24297547536219213
P01,VRPen,Inner,6,0.28818841072022316
P01,VRPen,Outer,3,0.4166303783425874
P01,VRPen,Outer,4,0.20122900534301263
P01,VRPen,Outer,5,0.26659255619860767
P01,VRPen,Outer,6,0.2048457856345908
P02,VRPen,Inner,1,0.33335640776787845
P02,VRPen,Inner,2,0.3886421863010427
P02,VRPen,Inner,3,0.33737610113755556
P02,VRPen,Inner,4,0.3841316581795783
P02,VRPen,Inner,5,0.34029724460483224
P02,VRPen,Inner,6,0.34827398091936257
P02,VRPen,Outer,1,0.3461835593220878
P02,VRPen,Outer,2,0.3466837903124586
P02,VRPen,Outer,3,0.2035708921453177
P02,VRPen,Outer,4,0.3942208207845369
P02,VRPen,Outer,5,0.347122240671528
P02,VRPen,Outer,6,0.34397018607307833
P03,VRPen,Inner,1,0.4192801270690882
P03,VRPen,Inner,2,0.354140522851747
P03,VRPen,Inner,3,0.3285248515209289
P03,VRPen,Inner,4,0.3818911628848275
P03,VRPen,Inner,5,0.4082355131280324
P03,VRPen,Inner,6,0.3846481536095956
P03,VRPen,Outer,1,0.33771007877186227
P03,VRPen,Outer,2,0.3701685275967209
P03,VRPen,Outer,3,0.36607177224377185
P03,VRPen,Outer,4,0.3370102904887286
P03,VRPen,Outer,5,0.37031830984894976
P03,VRPen,Outer,6,0.3423875758623538
P04,VRPen,Inner,1,0.3205736889773951
P04,VRPen,Inner,3,0.3500774659120733
P04,VRPen,Inner,5,0.3020803108344444
P04,VRPen,Inner,6,0.2768887802368639
P04,VRPen,Outer,1,0.2108569904228884
P04,VRPen,Outer,2,0.341589207553914
P04,VRPen,Outer,3,0.34460148698566784
P04,VRPen,Outer,5,0.26412043294097026
P04,VRPen,Outer,6,0.36368317277112316
P05,VRPen,Inner,2,0.14019658939328145
P05,VRPen,Inner,3,0.203710805573778
P05,VRPen,Inner,4,0.1885342072438161
P05,VRPen,Inner,5,0.2665436246897403
P05,VRPen,Inner,6,0.2986946585932778
P05,VRPen,Outer,3,0.275281267168071
P05,VRPen,Outer,4,0.2713545305491931
P05,VRPen,Outer,5,0.31159240850634773
P05,VRPen,Outer,6,0.2356339125914722
P06,VRPen,Inner,1,0.22371814867452922
P06,VRPen,Inner,6,0.22492967407953005
P06,VRPen,Outer,1,0.310842994630835
P06,VRPen,Outer,6,0.24906938842071227
P08,VRPen,Inner,1,0.28503425294703383
P08,VRPen,Inner,2,0.28673466080249776
P08,VRPen,Inner,3,0.335299686794393
P08,VRPen,Inner,4,0.34117308041319244
P08,VRPen,Inner,5,0.3787351023618628
P08,VRPen,Inner,6,0.3277985610723504
P08,VRPen,Outer,1,0.338601540114537
P08,VRPen,Outer,2,0.2937211895415497
P08,VRPen,Outer,3,0.35300563392634265
P08,VRPen,Outer,4,0.284509348374005
P08,VRPen,Outer,5,0.2830024727471614
P08,VRPen,Outer,6,0.3957086874844816
P09,VRPen,Inner,1,0.3451410455257179
P09,VRPen,Inner,2,0.3736930915854152
P09,VRPen,Inner,3,0.3175053063270964
P09,VRPen,Inner,4,0.34549410131883684
P09,VRPen,Inner,5,0.3959699443349405
P09,VRPen,Inner,6,0.3374064997683542
P09,VRPen,Outer,1,0.3374458363390074
P09,VRPen,Outer,2,0.369678327534967
P09,VRPen,Outer,3,0.3693464348647105
P09,VRPen,Outer,4,0.39160419445020234
P09,VRPen,Outer,5,0.35050801159195877
P09,VRPen,Outer,6,0.36064456455404614
P10,VRPen,Inner,3,0.3042823549564473
P10,VRPen,Inner,5,0.318065786097563
P10,VRPen,Inner,6,0.32375697704204875
P10,VRPen,Outer,5,0.13426711056876534
P10,VRPen,Outer,6,0.33381237507817485
P11,VRPen,Inner,5,0.2385458068668564
P11,VRPen,Inner,6,0.25414510578426536
P11,VRPen,Outer,2,0.30131774093379116
P11,VRPen,Outer,5,0.3470655733760091
P11,VRPen,Outer,6,0.2870974844016194
P12,VRPen,Inner,1,0.27154289202525805
P12,VRPen,Inner,2,0.14805096429324688
P12,VRPen,Inner,3,0.3954169860819109
P12,VRPen,Inner,4,0.23032594892765107
P12,VRPen,Inner,5,0.2825165151233302
P12,VRPen,Inner,6,0.393036642915702
P12,VRPen,Outer,1,0.36534036500468914
P12,VRPen,Outer,2,0.3546214422554905
P12,VRPen,Outer,3,0.3096859054562174
P12,VRPen,Outer,4,0.1534846674568894
P12,VRPen,Outer,5,0.28460188285610455
P12,VRPen,Outer,6,0.3175870996973823
