C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,0,1,0,1,8,-2,-1,NAN
-2,0,-2,-1,-8,-7,-3,1,NAN
0,-2,3,-1,1,-3,-4,1,NAN
1,2,1,0,-2,-4,9,1,NAN
-4,2,1,0,-1,-5,-13,-8,NAN
2,-1,-1,-2,1,8,-2,1,NAN
4,0,0,2,2,4,1,0,NAN
-1,-3,1,-2,0,1,4,0,NAN
0,0,0,-4,-3,-8,-2,-5,NAN
-4,-1,-6,1,0,-5,-3,1,NAN
-4,-3,4,3,1,3,11,-1,NAN
-15,1,-6,-10,1,3,-1,4,NAN
15,-2,-3,1,-2,4,10,-2,NAN
3,10,3,2,-1,-3,-4,-2,NAN
0,-9,-3,-2,-3,-3,-2,-1,NAN
-2,-5,1,8,1,1,-5,-7,NAN
1,8,-2,-3,-4,-1,-7,-3,NAN
2,1,-1,0,0,-3,-7,-1,NAN
-7,-2,4,8,-4,-2,8,-1,NAN
3,-2,3,0,0,0,-10,-1,NAN
-7,-1,0,-3,2,-1,0,-9,NAN
9,1,-1,-1,1,0,-6,0,NAN
-2,1,-2,0,-2,0,18,6,NAN
4,-3,-1,2,-1,-6,-10,-5,NAN
1,-2,-2,-1,-3,-1,3,7,NAN
-1,-1,0,-2,-1,-2,-7,-2,NAN
-2,-1,4,6,4,4,-6,0,NAN
-16,-3,-8,-5,-2,-1,10,1,NAN
16,2,-1,-3,-2,-6,-10,-1,NAN
2,0,5,8,-2,0,-6,-5,NAN
-4,-2,-2,0,0,2,3,4,NAN
-5,-3,0,2,-3,-8,0,0,NAN
0,3,2,4,2,5,-12,-5,NAN
-5,0,-3,0,-2,1,-3,-6,NAN
-3,1,0,0,1,1,12,2,NAN
4,0,1,-1,3,2,-5,1,NAN
-5,-4,-4,-5,-5,-8,-7,-9,NAN
3,0,2,1,0,4,-6,6,NAN
-1,0,0,4,2,6,16,3,NAN
-2,2,-2,0,0,2,4,0,NAN
-4,-10,11,9,-3,-1,-3,-1,NAN
-15,0,-6,-11,-1,-5,-24,-7,NAN
11,-2,0,-2,2,2,-2,0,NAN
3,4,-2,-1,0,10,9,-2,NAN
1,-1,-2,-6,-8,-22,-26,6,NAN
-3,-2,6,3,4,5,4,-1,NAN
4,3,-2,-3,3,4,0,5,NAN
0,1,1,3,0,9,0,-4,NAN
3,0,1,1,1,2,-6,-5,NAN
1,-1,-1,-3,-1,1,-5,-3,NAN
-3,-2,-3,-1,-1,1,1,-9,NAN
3,1,0,1,1,-5,-4,16,NAN
-4,0,2,7,1,0,8,0,NAN
-1,3,-3,-9,-1,4,-1,-4,NAN
16,0,0,-1,1,-8,-1,-1,NAN
-7,2,-1,-1,-1,-2,3,7,NAN
-5,1,1,0,-1,-2,2,11,NAN
4,-2,-1,1,-2,1,6,-3,NAN
-2,-2,1,-3,-2,-4,-15,-3,NAN
-3,-2,-4,1,0,-3,-3,-12,NAN
-6,-2,8,0,-1,6,-1,-7,NAN
3,-1,0,5,2,-1,-5,-3,NAN
-3,1,0,-4,-2,2,6,4,NAN
0,1,-2,-1,-1,-4,-5,-1,NAN
-1,-2,-1,-14,-3,-3,2,5,NAN
3,12,-2,-8,-1,0,4,-4,NAN
-2,-1,9,9,1,2,-3,3,NAN
4,2,-1,-2,-1,1,-3,-6,NAN
0,8,-1,-2,2,0,-1,-1,NAN
1,-2,0,4,1,0,-2,-1,NAN
-1,-3,-4,2,-2,1,2,5,NAN
-2,-1,1,-1,-7,-5,-6,-15,NAN
0,0,-3,-2,-3,-5,3,-1,NAN
-2,1,4,2,0,4,13,17,NAN
-1,0,-8,2,1,-8,-33,-14,NAN
1,-8,5,-1,2,3,-6,11,NAN
-2,0,4,16,0,-1,3,3,NAN
-1,-2,-8,-12,-3,0,-4,0,NAN
-8,-1,-6,1,-1,5,-5,-55,NAN
14,-2,10,12,6,6,20,59,NAN
-3,13,4,-9,-6,-1,11,6,NAN
-1,-16,-4,-3,-2,4,13,52,NAN
-9,6,2,1,2,-11,-59,-85,NAN
-1,-17,-3,8,3,2,21,19,NAN
3,-2,-4,-8,-5,-10,8,38,NAN
-2,0,0,1,-1,30,21,-15,NAN
-2,-5,2,3,-2,-28,-3,-14,NAN
