C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,0,0,0,1,6,-7,7,NAN
-2,0,-2,1,4,1,2,0,NAN
2,1,-1,0,0,3,2,-2,NAN
0,0,-1,-1,-1,0,4,6,NAN
0,2,-1,-3,0,3,1,-2,NAN
-1,-1,0,-3,-8,-6,-6,-10,NAN
-5,-1,2,2,0,-7,8,-6,NAN
1,-2,-1,1,1,0,-15,4,NAN
0,2,14,17,5,-1,-1,0,NAN
-3,-2,-10,-24,-3,1,5,-12,NAN
1,-3,3,4,0,-3,-9,-1,NAN
-2,0,-6,-4,-3,-6,-2,-5,NAN
-4,-1,-4,-5,-2,7,-13,-25,NAN
2,2,3,5,2,3,11,37,NAN
-3,0,-5,-6,-4,-3,1,-8,NAN
5,1,3,2,-2,4,-1,1,NAN
0,0,-1,4,2,5,-1,2,NAN
-1,0,8,21,4,-4,-3,-8,NAN
0,-2,2,-2,0,1,4,6,NAN
0,-1,-13,-14,-3,-1,-14,3,NAN
6,1,4,-2,4,4,9,65,NAN
5,1,0,5,5,4,28,1,NAN
-5,-3,-6,-1,-5,-11,-45,-54,NAN
-4,0,8,8,0,-4,-9,16,NAN
2,3,8,-8,-1,2,7,-4,NAN
-5,-2,-1,-4,1,-5,-23,-22,NAN
-4,-6,-4,-21,-3,-9,-18,-5,NAN
1,2,8,16,6,4,-11,3,NAN
0,0,-3,12,6,10,15,5,NAN
-1,1,-3,-3,-1,-1,-10,-9,NAN
-1,-1,0,4,1,5,-21,11,NAN
5,2,2,8,3,-5,24,17,NAN
-4,-4,-5,-5,-3,2,-3,19,NAN
-7,-1,1,-5,5,3,33,-99,NAN
0,-1,-5,0,-8,-26,-60,37,NAN
-1,-1,-3,-15,-18,4,-14,2,NAN
3,-1,2,7,17,15,64,-6,NAN
14,0,-2,0,-2,-10,11,27,NAN
0,1,0,4,20,39,-31,-31,NAN
6,3,2,3,2,8,8,64,NAN
-13,-1,-3,-1,-13,16,-16,-56,NAN
1,-1,0,-6,-3,-49,3,64,NAN
-1,0,5,8,14,16,19,-42,NAN
2,-1,2,1,1,-15,4,-14,NAN
-8,-4,-3,5,5,27,1,-5,NAN
2,0,-1,-11,-1,13,4,-3,NAN
1,-2,-2,1,-4,11,4,17,NAN
0,-1,0,1,-1,-18,-35,-7,NAN
5,-1,-2,-2,-10,2,18,16,NAN
-6,-4,-2,7,22,25,-12,-4,NAN
1,-1,-2,-2,-6,-15,26,3,NAN
-1,-2,-4,-3,-9,-19,-25,-2,NAN
2,4,4,0,6,-4,13,7,NAN
-2,-1,-2,3,5,11,0,1,NAN
-1,0,0,3,11,5,-15,-1,NAN
-1,-1,-4,0,3,4,-5,2,NAN
-1,-3,-3,-5,-18,-21,5,-2,NAN
-1,1,1,-3,0,22,-8,-6,NAN
-1,0,0,0,-9,-5,-17,-10,NAN
0,-1,1,2,4,2,-3,-3,NAN
2,2,0,4,12,6,14,7,NAN
-1,0,1,1,4,14,-8,-4,NAN
-1,2,1,-5,0,-8,-25,-8,NAN
1,2,1,-3,-6,-19,6,6,NAN
-1,-2,-1,-7,0,4,3,0,NAN
-1,-4,-4,-1,-4,-2,-5,-1,NAN
-2,-2,-4,-9,-1,2,1,-2,NAN
0,-1,-4,5,9,-1,-14,0,NAN
-1,0,0,6,-9,-5,12,-4,NAN
0,1,-4,-13,-7,2,-8,2,NAN
0,0,-2,-1,-9,-11,-20,-7,NAN
1,-2,-4,-4,-10,-7,-9,-6,NAN
-1,-1,-1,6,-2,-1,-5,2,NAN
-1,-1,-4,-11,-11,-9,12,1,NAN
0,1,-1,1,6,1,-4,-8,NAN
0,-1,2,6,9,7,3,4,NAN
-1,-2,0,-13,-5,-9,-10,1,NAN
-1,-1,-2,-6,-3,8,10,3,NAN
0,0,4,8,3,4,16,1,NAN
0,1,-2,1,-4,-10,-28,-4,NAN
-3,-2,3,4,0,-6,6,-5,NAN
0,-1,1,-1,-2,11,9,1,NAN
-3,-5,-11,-13,-3,-7,-17,-5,NAN
-2,-2,6,-1,-5,1,3,-3,NAN
0,-1,-9,-8,2,4,0,-2,NAN
1,2,0,1,1,1,-5,-1,NAN
0,-1,5,6,3,25,17,5,NAN
-1,-2,-3,2,-3,-20,-26,-6,NAN
-2,-2,1,6,1,20,24,9,NAN
-2,0,-5,1,7,-7,-25,-14,NAN
-2,-5,-9,-14,-5,-14,-8,-3,NAN
-3,-4,-4,5,5,35,57,12,NAN
11,1,-10,-19,-4,-8,-36,-1,NAN
-2,0,7,6,9,12,32,-11,NAN
2,1,1,2,-6,-22,-21,-1,NAN
0,-2,-1,8,-3,2,-7,6,NAN
-5,3,6,9,5,6,10,0,NAN
-6,-1,2,4,3,13,12,0,NAN
8,1,0,8,-3,-12,-17,1,NAN
0,1,3,-4,-2,-6,36,1,NAN
-4,1,3,4,0,-1,14,3,NAN
-1,-3,-3,-4,1,0,4,4,NAN
-16,-4,0,-2,3,2,17,-11,NAN
4,1,0,-13,-6,-5,0,2,NAN
0,2,2,11,7,8,18,5,NAN
-1,-3,-10,-10,-1,8,6,3,NAN
-1,2,13,13,4,1,-4,0,NAN
-4,1,-6,-25,-3,-1,-1,-4,NAN
7,3,-3,-4,1,0,-5,-1,NAN
-3,-1,3,15,4,0,2,2,NAN
2,1,-2,-6,-1,-7,2,5,NAN
-1,1,1,4,-6,3,-5,-8,NAN
2,-2,4,4,-2,-2,-1,1,NAN
1,1,-7,-1,1,5,-3,-3,NAN
3,16,-6,-4,0,-1,9,3,NAN
22,-3,1,-4,1,7,5,7,NAN
-16,-13,-16,-13,-5,-6,-5,1,NAN
6,0,-3,4,2,1,-3,2,NAN
-2,-8,1,-9,-2,4,0,-4,NAN
-7,-7,3,5,-1,-4,13,17,NAN
-11,-4,-3,10,3,0,-2,12,NAN
15,8,9,3,-5,-9,-6,6,NAN
-13,-1,-2,-1,0,4,2,4,NAN
10,-5,-4,-2,-1,-1,7,-4,NAN
9,-6,-7,0,-2,-2,-3,10,NAN
-23,-1,-4,-8,0,3,-7,-58,NAN
-3,-26,-9,-3,-8,-10,-6,14,NAN
12,9,-1,-3,5,4,16,71,NAN
23,-15,-6,-17,-12,-7,-3,18,NAN
-6,-3,4,-3,-1,4,3,9,NAN
-4,6,4,13,7,3,-3,-9,NAN
2,5,5,12,2,-3,0,-11,NAN
-8,-14,-14,-28,-10,-6,-7,-26,NAN
10,-9,-4,-11,0,1,-11,10,NAN
-1,0,0,-3,-2,-3,3,-39,NAN
-23,-11,-6,8,5,0,-1,16,NAN
-23,-26,0,-12,-6,-5,-7,-7,NAN
24,5,0,-13,-8,-8,-5,12,NAN
18,9,1,5,4,13,9,2,NAN
-22,1,-10,-5,-2,-10,-29,-2,NAN
-17,-10,-1,13,9,8,14,0,NAN
-4,-1,-4,-9,-7,-4,-4,24,NAN
0,0,7,4,-9,-23,-39,4,NAN
-4,2,-11,-2,-4,-8,-15,6,NAN
-11,-10,10,-7,0,-2,-13,-45,NAN
0,-5,-5,-7,-4,-2,0,9,NAN
-8,11,0,10,1,-12,-12,-31,NAN
-7,-11,-9,6,-3,-9,-18,14,NAN
-2,8,-12,-12,-8,-5,15,-63,NAN
-9,-1,4,6,10,25,22,-18,NAN
28,5,5,4,4,4,10,103,NAN
-22,-38,0,-6,2,6,16,-44,NAN
-16,-9,-2,4,-2,-5,-12,-8,NAN
21,15,8,-3,9,10,2,-23,NAN
-6,1,6,14,23,22,7,22,NAN
13,9,10,9,2,-7,-18,12,NAN
5,1,-26,-31,-19,-25,-25,-8,NAN
-10,-12,0,-26,-19,-2,6,-101,NAN
-2,-4,12,13,-2,2,-2,23,NAN
-26,-22,-10,2,1,0,3,-35,NAN
18,19,-3,-3,9,7,15,31,NAN
7,4,10,8,5,-7,-8,3,NAN
-17,3,1,-6,-2,-5,-20,-82,NAN
27,9,-11,-12,-20,-29,-84,0,NAN
-9,-14,-4,0,7,7,14,0,NAN
16,17,-1,3,3,4,-5,-24,NAN
-9,6,7,3,-3,11,18,-2,NAN
0,-2,-4,-7,3,4,13,2,NAN
5,2,-6,-6,3,19,28,9,NAN
-8,7,1,6,-38,-69,-23,1,NAN
11,5,-14,-4,0,10,15,46,NAN
1,19,9,2,13,26,18,-28,NAN
2,11,2,-3,-2,-1,19,105,NAN
