C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,-2,1,3,9,15,5,2,NAN
2,1,1,4,14,6,-2,-4,NAN
20,0,2,-2,1,15,-14,5,NAN
-12,-29,-33,-4,-16,-26,-21,-40,NAN
83,-45,84,-4,0,16,5,0,NAN
72,102,38,3,9,1,12,38,NAN
90,46,3,9,26,33,-6,49,NAN
-128,-19,-12,-4,-12,4,-34,-36,NAN
48,14,7,-5,-14,-51,40,0,NAN
-45,-8,14,2,4,-15,-6,-45,NAN
-114,-9,-1,-3,-3,-12,3,-16,NAN
-7,11,-2,3,-5,10,-7,-97,NAN
-37,-25,-7,2,17,80,-12,7,NAN
73,29,7,2,-2,28,5,-11,NAN
-7,51,15,1,-7,-6,2,20,NAN
103,12,-1,-2,8,-16,-2,17,NAN
23,16,-3,2,5,-20,7,14,NAN
-35,5,3,3,2,-16,-5,-24,NAN
36,20,9,2,-6,-6,-8,1,NAN
0,12,-6,-10,2,29,0,10,NAN
78,2,-45,9,4,5,-1,-5,NAN
-57,-4,54,10,31,58,8,-5,NAN
18,-5,-9,-3,-4,-11,-4,-8,NAN
31,16,40,-6,-12,-21,-11,5,NAN
-3,8,90,-18,-17,-23,-14,9,NAN
10,-9,-60,4,-1,7,3,-29,NAN
-27,-52,-51,0,-4,-8,-8,18,NAN
61,115,-8,-7,10,13,5,-22,NAN
-51,37,-18,0,1,13,6,-6,NAN
41,1,-4,-2,8,21,6,2,NAN
13,-4,32,1,-3,-9,-5,-13,NAN
0,-45,-29,-10,-8,-36,-12,-29,NAN
5,-4,-3,-5,-9,-4,1,-4,NAN
-21,-19,-11,4,4,-1,-3,-4,NAN
1,28,22,4,6,8,-1,-2,NAN
7,1,-15,-11,-14,-25,-2,3,NAN
-10,-13,-27,-3,-6,-13,-5,-3,NAN
-2,7,0,15,5,1,-2,2,NAN
3,2,11,-2,-3,-13,8,3,NAN
-1,-7,3,4,11,7,-1,3,NAN
2,-4,-10,-8,-23,-16,-6,1,NAN
-10,7,-4,-12,-6,5,3,-1,NAN
8,-13,0,3,12,6,-1,9,NAN
-2,42,0,-4,-10,-9,-3,-15,NAN
-5,9,1,8,13,-5,7,-2,NAN
0,-9,6,2,2,3,-9,-2,NAN
14,12,-1,-3,-4,1,6,13,NAN
4,20,0,-2,8,-10,-33,6,NAN
-6,-1,7,-3,-5,0,65,27,NAN
-2,-26,-5,-1,-3,-17,-43,8,NAN
-1,-28,-6,-4,-8,-3,0,8,NAN
7,-19,1,9,4,8,19,14,NAN
5,31,-9,-7,0,-8,-8,9,NAN
8,28,-2,-5,-11,-3,-16,-29,NAN
7,-26,1,0,6,8,26,26,NAN
5,-10,1,4,1,-1,-10,2,NAN
-1,3,1,-4,-6,-3,13,1,NAN
-7,-7,-4,-4,-4,2,16,-11,NAN
0,3,-3,2,0,2,22,1,NAN
1,11,-3,-3,-3,4,22,13,NAN
6,-9,-2,1,0,4,8,-4,NAN
0,-1,2,0,1,4,-2,2,NAN
10,-6,-3,-1,-2,-17,-10,-26,NAN
-22,13,1,-5,-6,-10,-11,4,NAN
-30,3,-1,1,2,8,-1,-13,NAN
19,24,1,1,4,4,-15,-7,NAN
2,-1,-1,-1,-2,-1,-1,10,NAN
19,-21,-4,1,3,0,-11,2,NAN
-16,-7,1,2,-2,-1,-9,-17,NAN
-34,-2,-1,3,-2,2,2,0,NAN
7,4,1,5,1,-2,-8,-1,NAN
1,4,1,-1,0,-1,2,-2,NAN
64,22,6,-1,4,3,0,10,NAN
-21,-2,-1,0,-3,-4,-1,6,NAN
-15,-4,-1,-1,-1,-1,3,-11,NAN
-17,-21,-3,-2,-2,-1,-6,-9,NAN
21,-11,4,2,1,0,3,8,NAN
-19,-7,0,0,-2,1,-5,-3,NAN
8,-12,0,0,0,0,-1,1,NAN
2,5,-1,-2,-1,-1,0,1,NAN
-6,-1,2,1,-1,-1,1,1,NAN
11,-9,-1,-6,-1,2,-3,0,NAN
24,-17,0,0,2,1,-1,3,NAN
-7,-3,-9,-3,0,0,1,0,NAN
-10,-60,7,-2,1,0,-1,-2,NAN
-49,-9,-2,-1,-3,-2,-3,-7,NAN
18,12,2,1,1,1,1,4,NAN
-23,13,1,1,-1,0,-2,3,NAN
7,-1,-1,-3,-4,-4,-3,-3,NAN
-8,12,2,4,4,12,-31,6,NAN
-19,24,-1,0,-1,-1,7,1,NAN
11,-26,1,1,-1,-4,-5,-7,NAN
-15,5,-3,-1,0,0,-4,-3,NAN
-1,-3,0,-1,2,-1,6,-2,NAN
11,-4,-1,2,4,8,-41,4,NAN
-11,10,0,-4,-5,-13,-47,-10,NAN
1,-6,-2,-1,-1,-4,-3,1,NAN
-9,-13,-7,-4,0,-4,23,4,NAN
18,34,6,-1,5,7,29,30,NAN
5,24,3,7,0,1,5,6,NAN
7,18,0,-3,-4,-3,-6,-11,NAN
37,-12,2,-2,-3,0,24,1,NAN
-17,-26,-8,-3,0,-2,4,-9,NAN
20,41,1,1,-1,-1,5,-2,NAN
0,-32,-1,3,-1,-2,-18,-6,NAN
-62,57,2,6,1,0,32,-13,NAN
-26,-72,-12,-10,0,-2,-28,-1,NAN
-9,34,11,-5,1,1,5,3,NAN
27,13,20,3,-1,3,16,28,NAN
19,-34,-6,-1,3,-1,-6,3,NAN
12,1,0,-3,-1,0,7,-4,NAN
-13,-11,-6,-1,0,0,7,4,NAN
-14,25,5,-8,2,3,-70,-8,NAN
-26,-32,-22,0,1,4,1,-1,NAN
-38,12,18,-5,-4,-5,4,-16,NAN
-1,-29,-3,-6,-4,0,-2,-10,NAN
-9,-1,13,1,0,0,-8,-11,NAN
-70,-11,-7,-7,-1,-3,-5,-16,NAN
-38,-38,1,-2,-1,-1,0,-1,NAN
6,37,11,0,-2,-2,1,11,NAN
-3,-4,-3,2,-1,0,5,22,NAN
-48,-19,-13,-2,0,-3,-2,-21,NAN
83,4,1,-6,-3,-1,-4,-4,NAN
-35,0,4,0,-2,1,4,3,NAN
-32,0,-2,1,-2,-2,1,-18,NAN
25,-8,-6,-4,-3,-5,-10,8,NAN
-10,-23,-2,3,3,3,12,0,NAN
29,4,6,-1,-3,-4,-9,13,NAN
-2,-6,4,3,5,11,0,0,NAN
-19,0,-3,-2,-7,-9,0,-4,NAN
-34,0,-1,1,-3,19,1,-9,NAN
56,-8,2,1,4,-12,2,13,NAN
8,9,2,0,1,-9,-27,-3,NAN
11,4,-1,0,1,7,3,-1,NAN
9,1,1,0,4,-6,-2,-2,NAN
-31,8,3,1,0,-7,5,1,NAN
11,-12,-2,1,6,8,-12,-2,NAN
-1,-6,0,1,-3,-3,0,5,NAN
11,0,1,0,0,-8,13,9,NAN
-21,-21,-6,-7,-17,-19,-31,-16,NAN
27,-5,0,-2,-2,3,12,8,NAN
-8,-6,-3,0,-1,2,11,2,NAN
26,43,7,-3,-10,-6,0,4,NAN
-4,12,-5,-1,3,7,17,-3,NAN
3,-30,-2,0,-2,-4,6,5,NAN
-12,-4,-2,-2,0,9,-10,-3,NAN
-8,-10,-2,-1,-1,-4,8,0,NAN
-6,-4,-1,0,2,8,11,-6,NAN
-16,12,2,0,0,-4,-23,-17,NAN
