C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-1,-2,-2,1,1,0,1,NAN
-1,-4,2,1,-2,-3,0,-1,NAN
-1,3,-1,-3,-3,-2,1,-1,NAN
-1,1,-1,5,-2,-1,-1,-3,NAN
-2,-1,2,-5,3,0,-1,-2,NAN
-1,-3,-11,14,-3,-1,0,-1,NAN
-2,-1,11,-6,-3,-1,-2,-1,NAN
-2,-1,-1,-2,0,-3,-3,-1,NAN
0,2,3,-18,1,0,-1,1,NAN
-1,1,-1,9,-3,1,-1,-3,NAN
0,-3,-5,4,1,0,0,0,NAN
-2,0,-8,-23,-1,-1,-2,-2,NAN
-1,-4,-6,17,2,-3,-1,-1,NAN
0,0,7,-4,-2,5,1,0,NAN
-3,-4,-9,-7,-4,-5,-1,-3,NAN
0,-1,6,10,-1,0,2,-1,NAN
-1,-1,-2,7,-4,-1,-1,-1,NAN
0,0,5,9,-1,-2,0,1,NAN
0,-3,-1,5,3,3,-2,-1,NAN
0,0,-5,5,5,1,0,1,NAN
-3,0,5,-10,-10,-4,-3,-2,NAN
-1,1,-1,2,2,0,-3,-2,NAN
0,0,7,13,-5,-2,-2,-1,NAN
-1,-3,-4,-12,-4,-5,-1,-2,NAN
-2,0,-2,4,6,1,-1,-1,NAN
0,-1,1,0,-2,1,-1,-2,NAN
-2,-3,-5,-11,-1,-1,1,-1,NAN
-1,-2,-4,-10,-2,-2,0,1,NAN
0,-2,-4,-13,-5,-2,0,-1,NAN
-1,1,2,9,-2,-2,-3,0,NAN
-1,0,6,1,1,0,-3,0,NAN
-2,1,-6,-9,-1,-4,-1,-2,NAN
0,-3,2,10,7,2,1,-2,NAN
-2,0,11,-3,-1,6,-2,-1,NAN
-1,-3,-8,-5,-3,0,-1,-1,NAN
-1,-4,-3,9,-2,-2,0,-1,NAN
0,2,4,9,0,3,2,0,NAN
0,2,1,3,6,2,-1,0,NAN
-1,0,1,2,1,-2,-1,-1,NAN
0,-2,-4,-9,4,-1,-3,-1,NAN
2,-2,-13,-39,-5,-1,-1,-1,NAN
-4,-2,1,0,-4,-1,2,-1,NAN
-2,-1,4,21,-1,1,-3,-1,NAN
0,2,-2,-9,-10,-6,-2,-3,NAN
-1,0,-2,4,0,1,0,0,NAN
-2,-1,-2,-11,-2,-3,-4,-1,NAN
0,-2,-3,-9,3,-1,-2,0,NAN
0,-1,-16,-2,-5,-5,-1,0,NAN
0,1,-1,0,-7,-1,-1,0,NAN
-3,-1,-1,0,-1,-1,0,-2,NAN
