C1,C2,C3,C4,C5,C6,C7,C8,Marker
-4,0,7,6,0,-8,-3,-3,NAN
-2,0,-8,-5,-4,-2,-1,-2,NAN
-7,-1,-3,-6,-4,-3,-2,-3,NAN
0,-2,0,3,3,3,0,2,NAN
1,-3,-7,-8,-2,1,0,0,NAN
-2,1,4,2,-4,-4,-2,-1,NAN
0,-1,-3,-2,-1,-1,-2,-3,NAN
-2,-4,-10,-7,-8,-7,-4,-3,NAN
-1,1,7,4,5,0,0,0,NAN
-2,0,1,4,3,1,0,-3,NAN
-3,-2,-4,0,-3,-1,-2,-2,NAN
-1,0,4,-4,6,14,-2,-1,NAN
1,-2,-6,0,-1,-17,-4,-2,NAN
1,-2,-4,-5,-4,2,-3,1,NAN
-3,2,2,1,-5,-5,-2,0,NAN
1,-2,-3,2,-4,-3,0,0,NAN
-3,0,-2,-1,0,8,1,-2,NAN
1,-4,0,0,3,3,1,-2,NAN
1,-1,-3,4,6,-1,0,1,NAN
0,-5,2,-7,-13,-4,2,1,NAN
-3,2,1,-4,-7,1,-2,-2,NAN
-1,-2,0,1,4,-5,-1,-1,NAN
-2,-1,-4,-1,-8,2,-2,-2,NAN
-4,0,3,10,8,-2,-2,-4,NAN
2,-3,-14,-12,-8,-6,-1,1,NAN
-3,-1,1,-3,-2,0,0,0,NAN
1,-3,-4,0,5,1,1,2,NAN
0,3,4,8,5,5,-1,-2,NAN
-3,-2,5,11,-3,-9,-2,-3,NAN
-1,1,2,14,1,2,1,-1,NAN
-2,-1,-11,-47,-8,-3,-1,-4,NAN
-7,2,4,-2,-2,-6,-1,-2,NAN
2,-6,-3,0,7,6,-1,0,NAN
3,0,2,0,-8,-5,-1,1,NAN
-2,1,3,15,-2,-1,-2,0,NAN
-1,-2,-3,1,2,-2,-1,-1,NAN
0,-3,3,0,-6,7,0,-1,NAN
-1,-1,-6,-6,0,-3,-1,1,NAN
-1,1,3,9,-1,-17,-4,-2,NAN
2,-5,-2,-1,-1,2,-1,0,NAN
1,-1,-5,-5,5,0,0,0,NAN
-4,-3,-8,12,-7,0,-2,-2,NAN
1,-1,-6,-35,-2,6,2,1,NAN
-3,-1,3,-2,6,-1,-4,-2,NAN
-1,0,8,17,-3,-2,-2,-3,NAN
1,-1,-4,-19,-4,-3,-1,-1,NAN
-1,-1,2,16,-5,-1,-2,1,NAN
0,1,-9,-15,1,0,0,-1,NAN
1,1,-1,16,6,0,-1,0,NAN
-3,-2,-3,-3,-6,-8,-2,-3,NAN
-6,-1,-6,-16,-3,5,-1,0,NAN
5,0,0,7,2,-1,-2,-1,NAN
-2,-1,2,3,7,-1,-1,1,NAN
