C1,C2,C3,C4,C5,C6,C7,C8,Marker
12,35,-33,0,-2,2,12,7,NAN
-5,9,-18,-9,1,-1,-3,-5,NAN
-6,-21,-6,-3,-1,1,1,-1,NAN
-10,19,18,-6,-8,-7,-8,-6,NAN
-18,-17,-3,-16,-4,-2,-4,-6,NAN
34,15,1,0,2,1,0,5,NAN
18,12,5,-4,0,0,2,1,NAN
-11,-6,4,16,1,1,-3,-3,NAN
-24,-25,3,8,0,-2,-5,-6,NAN
14,5,-1,1,-4,-1,0,-2,NAN
0,9,15,11,-2,-2,-4,-2,NAN
-3,-4,-18,1,4,0,2,4,NAN
12,5,32,6,-4,0,-4,-3,NAN
-11,-29,-6,-11,-3,-1,-1,-3,NAN
-5,1,6,-10,-3,-2,-2,-5,NAN
-4,-1,9,-13,0,-1,-2,-1,NAN
5,-27,-16,-6,-5,-1,-5,2,NAN
-2,43,13,5,9,1,6,-2,NAN
-7,-6,3,-3,-6,-3,-1,2,NAN
-6,-17,-13,-1,-1,1,1,-2,NAN
-2,12,-4,7,0,-1,-2,0,NAN
2,-13,8,2,-6,0,1,2,NAN
26,15,-9,3,5,8,-7,2,NAN
-18,-13,1,-3,-5,-19,-15,-3,NAN
-8,16,6,1,-1,-1,0,-2,NAN
-6,9,-7,-1,-2,0,0,-3,NAN
6,9,-7,-2,-1,1,2,0,NAN
-3,-9,13,1,0,1,2,3,NAN
2,-11,-7,1,-2,-2,0,-2,NAN
-10,-9,5,-5,-4,-4,-4,-3,NAN
3,9,8,0,0,-2,-4,-1,NAN
-14,-11,-10,-3,0,1,4,-5,NAN
-24,-6,-5,4,-3,-1,0,2,NAN
63,22,2,-1,-1,0,2,1,NAN
-8,-16,-30,-3,3,4,4,1,NAN
17,9,3,0,0,0,-5,0,NAN
-23,-11,-2,-1,-2,-2,-3,-5,NAN
-1,21,-7,1,-2,-1,-5,-4,NAN
-14,-3,7,0,1,-1,0,0,NAN
2,-9,3,2,0,-2,-1,-1,NAN
4,-11,8,-8,-3,-1,2,-1,NAN
-17,-7,-31,4,3,3,1,4,NAN
11,21,2,11,-4,-3,-2,-4,NAN
-22,-7,-13,-3,-3,0,-2,-1,NAN
18,35,-24,-11,-6,-1,2,2,NAN
8,3,3,-20,2,-2,-1,-1,NAN
8,5,-16,-14,-2,-1,-1,2,NAN
6,-24,-22,0,-5,-7,-12,-6,NAN
10,18,9,6,4,3,16,7,NAN
-17,24,7,4,-1,2,0,-1,NAN
-7,-18,8,-5,0,1,1,-4,NAN
-6,-6,4,-5,0,-2,-2,-1,NAN
