C1,C2,C3,C4,C5,C6,C7,C8,Marker
-2,-1,2,2,3,-2,-7,3,NAN
1,0,-3,-3,-1,2,6,3,NAN
-1,1,4,0,0,-7,-6,-1,NAN
0,4,1,-2,-1,-9,-17,-2,NAN
5,2,2,2,5,21,39,1,NAN
-1,0,1,0,-4,-6,-11,-2,NAN
-1,0,-5,1,2,-4,-3,4,NAN
1,-3,-2,-4,-4,-8,-8,-4,NAN
0,3,-1,-1,-3,-7,-28,-2,NAN
-8,-1,1,0,-1,2,9,-4,NAN
11,0,1,-2,1,10,-3,1,NAN
3,-4,3,1,2,5,28,5,NAN
-4,-1,1,-3,0,-12,-10,-1,NAN
2,0,-5,-7,-10,-14,2,-2,NAN
-8,-4,-5,-7,-8,2,-3,-8,NAN
9,-1,-1,1,7,8,-2,7,NAN
-12,0,1,1,1,-7,-3,-5,NAN
-6,-3,0,0,1,2,-10,-1,NAN
2,-1,-3,-5,-3,0,-8,2,NAN
-9,-3,-5,-1,0,-1,6,-7,NAN
3,-2,-4,-1,0,1,-2,3,NAN
0,-1,1,1,3,1,0,-2,NAN
0,2,2,2,1,-5,5,3,NAN
-2,-1,-2,-3,-6,-7,-18,-3,NAN
3,1,0,0,-3,3,18,6,NAN
2,0,-1,1,1,-1,11,3,NAN
0,-4,-3,1,2,20,-6,0,NAN
-2,-1,0,2,-2,-11,15,7,NAN
1,-3,-3,-3,-2,3,7,-4,NAN
0,-1,0,1,2,-2,-7,-4,NAN
-3,-2,-1,-2,-4,-7,-4,0,NAN
-2,1,-1,0,-1,11,17,0,NAN
-2,0,0,-1,1,-5,-21,1,NAN
-2,-1,0,0,0,3,3,0,NAN
0,-1,1,-1,-1,0,3,-2,NAN
-3,2,0,-1,1,-8,1,-1,NAN
-1,1,1,0,1,4,1,-2,NAN
0,-1,-2,-4,0,3,6,-2,NAN
-3,-4,-2,-2,-2,-8,-7,-1,NAN
2,-1,0,2,3,13,34,5,NAN
-2,-1,-3,-1,0,7,1,-2,NAN
-2,-1,-3,-4,-5,-8,3,-2,NAN
2,0,-1,-1,0,-1,-1,0,NAN
9,-2,-3,-1,-3,-8,-14,-3,NAN
-6,0,0,-3,-1,3,4,-1,NAN
-3,-1,-2,-1,0,-1,-5,-2,NAN
1,0,-1,-2,-1,2,1,-4,NAN
9,-2,-1,-2,-2,-6,-10,-4,NAN
-2,-2,-2,1,-2,0,5,-1,NAN
-2,-3,-2,-2,-2,-2,-7,-1,NAN
-2,2,-2,0,-1,0,-2,-1,NAN
-4,-2,-1,-2,0,-2,-8,-1,NAN
11,-1,0,1,-1,-5,4,1,NAN
-24,0,0,3,1,0,1,-1,NAN
-2,-5,-4,-2,-4,0,0,-1,NAN
-12,5,2,-1,-4,0,-8,-2,NAN
5,-5,-2,-1,-1,-6,0,-1,NAN
-31,-3,0,2,1,5,-2,-1,NAN
45,-6,-1,-2,0,0,2,1,NAN
-5,7,-3,-5,-2,-1,-8,-2,NAN
-15,1,-2,-3,0,-6,-1,0,NAN
29,-1,0,-1,0,-5,-7,-1,NAN
-21,3,-1,2,1,2,0,-4,NAN
-1,-7,-3,-1,-2,0,-1,1,NAN
4,1,-2,-3,-2,-6,-10,1,NAN
-7,-4,-2,-3,-1,10,18,-2,NAN
-7,-1,-2,-1,-1,-4,7,-1,NAN
10,-1,0,0,1,-5,-15,-4,NAN
-8,-1,0,1,0,2,0,0,NAN
11,-2,-2,0,-3,-6,-9,-1,NAN
-2,1,1,1,0,0,-3,-1,NAN
-15,-3,-4,-2,-2,-2,9,0,NAN
0,-6,-2,-3,-1,0,0,-5,NAN
8,4,0,2,3,-2,-6,0,NAN
-5,3,0,-1,-2,-1,3,-2,NAN
-7,-6,-3,-3,-5,-5,-4,-3,NAN
1,-1,1,-5,-4,0,-1,-3,NAN
4,1,-2,-4,-2,-3,1,-7,NAN
-12,-1,0,1,4,2,-3,-5,NAN
8,2,2,3,3,2,-4,25,NAN
5,0,-3,-3,-5,-2,4,1,NAN
-4,1,0,-1,-1,-1,1,-2,NAN
-2,-5,-1,-3,-2,0,-5,-4,NAN
-2,-2,1,-1,2,0,0,-10,NAN
-1,1,-2,0,2,1,2,-4,NAN
-2,-3,-2,-3,-1,-3,-5,-4,NAN
1,-1,0,-2,-1,1,-4,8,NAN
0,-2,-2,-3,-2,-6,3,-3,NAN
0,0,0,-2,0,1,-3,0,NAN
0,0,-3,0,-4,-1,2,-3,NAN
-1,0,-1,-2,-1,-1,1,-2,NAN
-5,-4,-1,0,2,0,1,-3,NAN
-1,-2,-4,0,-2,-3,-3,-2,NAN
0,-1,1,-2,-3,-1,-3,1,NAN
-5,-1,0,1,0,0,-1,1,NAN
0,-1,0,0,-2,-2,-2,-2,NAN
-1,0,0,1,2,-2,1,-3,NAN
4,0,-4,0,1,2,-4,3,NAN
-3,1,-3,-2,-3,-7,-4,-1,NAN
-4,-2,2,1,3,4,-5,-5,NAN
-1,-2,-2,-3,-3,0,3,-1,NAN
-1,1,-1,-3,-3,-1,-2,3,NAN
-2,-1,-2,0,0,-3,-4,-3,NAN
0,-1,-2,-3,-5,-2,-3,-5,NAN
1,0,-1,3,4,5,3,1,NAN
-1,-3,-1,-2,-3,-5,-6,-1,NAN
-3,0,-4,-6,-4,3,2,-1,NAN
1,-2,-3,-1,2,1,1,-2,NAN
-4,-2,-1,-2,-3,-6,-2,-3,NAN
3,-1,0,1,-2,-3,2,-1,NAN
-2,0,0,2,1,1,0,-1,NAN
-3,0,1,-1,-1,-3,0,-3,NAN
-3,-1,0,-2,-4,0,-1,-4,NAN
0,-1,0,-1,0,-1,-2,-2,NAN
-2,-3,-1,-2,-2,-3,-2,-2,NAN
0,-2,-4,-2,-2,4,2,-2,NAN
0,-1,-1,2,5,-1,-3,0,NAN
2,0,1,-2,0,-2,-1,0,NAN
1,-1,0,-3,-2,-4,-5,-3,NAN
0,-1,2,-1,2,2,3,-1,NAN
0,-3,-3,-3,-9,-3,-7,3,NAN
-3,-5,-3,1,-2,-1,0,-2,NAN
-4,-5,-1,2,4,4,-1,0,NAN
-1,0,-2,-3,0,-2,-2,-3,NAN
-1,0,-1,-2,-4,0,-7,-3,NAN
-2,1,0,-2,-3,-10,1,2,NAN
-1,-1,-2,-1,3,2,4,-1,NAN
-2,1,-3,-1,-6,-1,-3,0,NAN
-1,1,0,0,2,0,0,0,NAN
0,2,1,1,2,2,0,-2,NAN
3,-1,-2,-3,-4,-1,-3,-3,NAN
0,-4,0,-2,-4,-1,-2,-2,NAN
-4,-2,-3,0,1,1,2,-1,NAN
0,-2,-1,-1,1,1,1,0,NAN
3,0,-1,1,0,-1,-7,1,NAN
0,0,-1,-1,-2,-1,-1,-1,NAN
-4,1,2,2,0,1,-2,-1,NAN
-3,-2,-3,-3,-1,0,2,-1,NAN
-2,-2,-2,-1,-1,0,-1,-2,NAN
-2,-2,-2,1,-2,-6,-5,-2,NAN
-1,-1,0,0,-4,4,5,-2,NAN
-2,-3,-1,0,0,-2,-6,-1,NAN
0,-4,0,0,-1,-3,4,-1,NAN
-2,-2,-1,-1,0,-5,-7,-3,NAN
0,0,0,0,1,0,-1,1,NAN
-3,0,-3,0,2,-1,-2,-2,NAN
-2,0,-2,-1,-2,0,0,1,NAN
1,-1,-1,0,-2,1,0,-1,NAN
-1,1,2,-1,1,-1,1,-3,NAN
0,0,1,-1,-4,0,-3,-1,NAN
-1,0,-5,1,-3,-1,-1,-3,NAN
-1,0,-1,-1,-3,2,2,1,NAN
1,-4,-4,-1,0,-5,-3,-2,NAN
-1,-2,-1,-1,0,0,0,-1,NAN
-1,-2,1,-4,-1,-1,-5,-2,NAN
-1,-1,0,0,-2,0,1,0,NAN
-1,-2,-1,-3,-2,4,-1,-3,NAN
1,-2,-2,-1,-2,-5,-4,0,NAN
0,0,1,-1,-2,4,8,-3,NAN
0,1,0,-1,1,-2,-3,1,NAN
-3,-1,0,-3,-1,-3,0,-1,NAN
-1,0,0,-1,-1,1,0,-1,NAN
-1,1,0,-2,-2,-2,-2,-3,NAN
-2,-1,-2,0,-2,0,-1,-1,NAN
-2,-3,-3,1,-1,-1,-1,-1,NAN
-1,-3,1,0,-2,-4,-4,-2,NAN
0,-3,-1,-1,-3,1,13,0,NAN
0,0,-1,-2,-2,-1,-2,-2,NAN
1,-2,-1,-2,0,0,-2,2,NAN
-1,2,0,-1,0,0,-1,-4,NAN
-2,0,-2,-1,1,-2,-5,0,NAN
-1,-5,0,-4,-3,0,-2,-1,NAN
1,-2,-2,0,0,-1,5,-1,NAN
-1,-1,-1,-1,-3,-2,-1,-1,NAN
-2,-1,2,3,1,0,-4,0,NAN
-3,-3,0,-2,-1,-1,-3,-1,NAN
-2,-4,-2,-3,-2,-2,-3,-3,NAN
-1,1,-2,-4,-2,0,0,-1,NAN
0,-2,-1,0,-3,-5,-4,-4,NAN
0,-1,-1,1,1,-2,-3,-3,NAN
0,1,1,1,0,0,4,0,NAN
-2,-1,0,-1,0,1,-2,3,NAN
-1,1,-1,-1,0,-1,-3,-3,NAN
0,-2,1,-2,0,4,-1,-1,NAN
0,-2,-2,-4,-7,-1,-1,-2,NAN
