C1,C2,C3,C4,C5,C6,C7,C8,Marker
-2,-1,-5,4,-7,-6,-8,-1,NAN
-2,-2,-1,-9,-6,5,13,-1,NAN
0,1,-5,-1,4,-6,-18,-1,NAN
0,-1,2,6,2,-1,-1,-1,NAN
1,0,1,-3,13,0,3,0,NAN
-1,0,-3,3,-13,1,-2,-1,NAN
0,0,1,-16,-6,0,6,-1,NAN
-1,-2,1,3,2,-1,0,-2,NAN
-2,-3,-21,-14,-24,-6,2,-1,NAN
-1,1,28,-2,1,-5,-2,-1,NAN
1,-2,2,7,-1,7,6,2,NAN
2,-2,-15,-5,1,8,12,1,NAN
1,0,2,5,10,-1,-4,-2,NAN
-2,-3,-10,-14,-17,-2,6,1,NAN
0,0,1,4,4,3,1,2,NAN
-2,-1,-4,-2,-4,-4,-2,-1,NAN
-1,0,5,13,19,9,0,-1,NAN
0,1,1,8,-2,-2,-2,1,NAN
-2,-3,5,-1,-2,-3,-1,-2,NAN
1,-1,-1,11,2,-2,-5,0,NAN
1,-1,6,16,-2,-8,-21,-1,NAN
-3,-2,-11,-18,0,-3,-3,-2,NAN
1,0,-11,3,6,7,11,2,NAN
-1,1,25,9,8,-2,-6,0,NAN
-2,-3,-20,-16,-21,-7,-1,-2,NAN
-2,-3,-11,-8,-9,-5,-4,-3,NAN
-2,-1,2,-7,-4,1,10,-1,NAN
0,1,-5,-16,-11,4,10,3,NAN
-1,-1,0,-3,-6,3,3,1,NAN
-2,1,-3,4,5,0,2,0,NAN
0,1,12,2,-7,-4,-2,0,NAN
1,1,-3,2,-4,0,-3,-2,NAN
-1,-1,-6,-1,3,-3,2,1,NAN
-1,-1,-6,-7,-12,-4,4,-2,NAN
0,-1,-20,-6,3,0,2,-2,NAN
2,0,33,13,8,-2,-6,-1,NAN
-1,1,3,9,5,5,-1,1,NAN
-1,0,-6,-14,-16,6,18,0,NAN
-2,-3,3,-1,9,-14,-18,-1,NAN
0,-1,-13,7,-13,0,-7,1,NAN
1,0,10,2,3,8,12,-2,NAN
0,0,-18,-1,5,-2,-10,-3,NAN
1,0,7,1,-6,0,-4,-2,NAN
-1,-1,-12,0,5,-6,-3,3,NAN
-2,2,11,3,-11,-5,1,0,NAN
-3,-2,-1,-3,4,-2,0,-1,NAN
0,-1,0,-19,-7,-2,-2,-3,NAN
0,-2,-5,-6,0,3,3,3,NAN
-2,-2,-3,-4,7,2,9,-1,NAN
0,-1,-2,14,4,-3,-4,-3,NAN
0,1,7,-6,-7,3,-6,1,NAN
-1,0,-5,-6,-10,-10,-9,-4,NAN
1,0,-4,10,6,2,4,0,NAN
-2,-3,-2,-1,4,3,1,1,NAN
1,1,-3,12,5,0,-2,1,NAN
0,0,-3,-18,-13,-2,-3,-1,NAN
-1,0,6,0,1,0,0,1,NAN
-1,-3,-8,1,7,0,1,-1,NAN
-1,1,-6,-4,-1,-2,-5,-2,NAN
-1,-1,11,-6,5,-1,-2,-2,NAN
0,-1,-5,2,3,0,4,0,NAN
-3,-1,-2,0,-5,-9,-14,-4,NAN
0,-1,-3,-2,3,4,2,-2,NAN
-1,0,-1,4,-2,-4,0,0,NAN
-1,0,5,1,2,2,1,0,NAN
-1,-1,0,2,8,1,-2,-1,NAN
0,0,-5,-7,-5,-4,-10,0,NAN
-1,-1,2,15,10,6,-1,-1,NAN
0,-2,0,5,12,-2,-17,0,NAN
-3,-2,-9,-10,-20,-8,3,-2,NAN
-1,-2,2,0,4,5,12,0,NAN
0,1,2,17,8,1,0,-1,NAN
1,1,-5,-16,-15,2,2,-1,NAN
-1,0,1,0,3,-3,1,0,NAN
0,-1,-2,0,-3,0,9,1,NAN
0,0,2,13,9,-1,-13,-1,NAN
2,0,-2,0,2,6,7,2,NAN
-2,-3,-18,-6,-5,-5,1,-1,NAN
-1,-1,14,5,-1,-3,-16,-1,NAN
1,-1,-13,-10,0,-1,-6,0,NAN
0,0,-1,-15,-23,-2,7,-2,NAN
1,0,-1,-8,2,0,-3,1,NAN
-2,-2,-6,-4,-9,-7,-3,-2,NAN
-1,0,5,3,4,-3,1,2,NAN
-1,-1,-11,9,9,-1,2,-1,NAN
1,0,13,16,4,3,-1,1,NAN
-1,1,-7,-19,-2,-1,0,-4,NAN
-2,-2,-1,-5,-17,-4,-8,-1,NAN
0,0,-2,2,-3,-3,8,2,NAN
-3,-3,-2,-7,-9,-2,1,-1,NAN
-2,0,-6,-12,-5,0,0,-1,NAN
-1,-2,4,-2,0,2,3,0,NAN
-1,1,21,-14,-14,-2,4,0,NAN
2,1,2,4,1,1,0,-1,NAN
-1,-2,-5,8,7,-2,-6,-3,NAN
-1,0,-1,-5,-1,4,4,-1,NAN
-2,-2,-6,-3,-6,5,11,2,NAN
-1,-2,2,-2,-2,-10,-25,-3,NAN
0,-2,-6,3,3,0,3,-2,NAN
-1,0,2,4,5,5,11,1,NAN
1,-1,-3,0,-5,-3,-10,-2,NAN
0,0,0,0,5,-5,4,2,NAN
0,1,0,1,-5,6,2,-1,NAN
-1,0,-1,-3,-3,1,4,0,NAN
-1,-1,-3,11,11,-4,-6,-2,NAN
-2,-1,-5,-7,-7,-6,-8,-3,NAN
0,-2,0,13,23,4,1,2,NAN
0,-1,0,-9,-23,0,-1,-1,NAN
0,-1,-5,6,13,-3,-6,-3,NAN
1,1,4,-10,-12,-3,3,1,NAN
0,-1,5,0,-1,-3,-7,-1,NAN
-2,0,1,5,14,3,5,0,NAN
-2,-2,-9,-2,-7,-4,-5,0,NAN
-1,-2,0,3,3,0,-2,-5,NAN
-1,0,-2,4,-10,0,5,1,NAN
1,-2,2,-6,-4,-9,2,0,NAN
-3,-1,-1,-17,-30,-7,-2,0,NAN
-2,0,-1,5,8,-1,-2,1,NAN
-1,0,4,-4,-2,-2,-2,-1,NAN
0,-1,-3,5,-1,3,-6,1,NAN
-1,0,-4,-6,2,-1,2,-1,NAN
1,0,3,9,6,11,12,0,NAN
-2,-1,-3,-4,-5,-3,2,0,NAN
-1,-1,-4,3,4,-1,-5,0,NAN
1,1,7,17,10,9,7,1,NAN
0,0,-5,-4,1,-9,-14,-4,NAN
-3,-2,-3,-7,-17,-5,-5,-2,NAN
0,-2,-6,-11,-12,-6,-3,-4,NAN
0,-3,-3,-4,12,7,7,2,NAN
0,-1,3,11,11,9,5,-1,NAN
0,1,1,-7,-3,-4,-7,0,NAN
-2,-1,0,-1,10,8,14,3,NAN
-1,0,-1,-1,-6,-6,-23,-3,NAN
0,-3,-4,1,-10,0,4,-2,NAN
-2,-1,-1,-1,2,-4,-3,-2,NAN
0,-1,0,-8,-10,1,-3,-1,NAN
-1,-1,-3,-14,-8,0,-1,-5,NAN
-1,0,-4,-7,-10,-7,-6,0,NAN
0,-2,-6,0,2,-3,-14,-1,NAN
-1,-1,4,2,0,-3,-6,0,NAN
0,-1,1,6,9,4,-9,-2,NAN
1,-1,10,10,12,2,3,-2,NAN
0,-2,-10,-11,-24,-12,-9,-2,NAN
1,1,-1,2,8,5,4,2,NAN
-1,0,0,4,-13,-1,2,-2,NAN
0,-1,-5,-17,-4,-2,-3,-2,NAN
-1,-1,1,-8,2,4,0,-2,NAN
-2,-2,-3,-2,-4,-6,0,1,NAN
0,0,0,1,5,2,1,-1,NAN
-1,0,-2,2,7,5,2,0,NAN
1,0,-1,-4,-13,-4,-2,0,NAN
-1,-2,-3,0,1,-2,-3,0,NAN
-2,-1,-2,-1,0,-4,-3,-2,NAN
0,-1,-1,-1,-10,10,16,2,NAN
