C1,C2,C3,C4,C5,C6,C7,C8,Marker
0,-2,-2,-8,-2,0,1,2,NAN
-1,-4,-1,21,-1,-1,-3,-2,NAN
-4,-3,3,-53,-6,-2,-1,-2,NAN
-1,-3,-20,-2,-3,-2,-3,-1,NAN
-2,-1,-3,-10,-2,0,-1,-3,NAN
-1,1,3,7,1,0,0,-2,NAN
1,-1,7,16,1,-3,-5,-1,NAN
-3,3,2,3,-1,-1,2,1,NAN
-1,-1,4,5,1,-2,-2,-5,NAN
-1,-2,-8,-14,-5,-3,-5,-4,NAN
-3,-3,2,19,1,0,2,-3,NAN
1,-3,-6,-16,-5,-2,1,4,NAN
1,0,-8,4,-1,0,1,0,NAN
0,-3,-7,-35,-3,0,0,-2,NAN
0,-1,-4,12,2,1,1,2,NAN
0,-2,8,26,5,1,1,-2,NAN
-7,-1,7,5,1,0,1,-1,NAN
-2,1,-14,-79,-10,-1,1,-1,NAN
5,0,-4,1,-2,-1,-1,0,NAN
-3,-2,5,5,0,-2,-2,-3,NAN
0,-4,-3,7,2,-1,-2,0,NAN
-5,2,13,35,2,0,0,-1,NAN
-2,-1,-2,-4,-4,-2,0,-2,NAN
1,-2,-1,-2,0,0,-1,-3,NAN
1,1,-10,-4,-2,-3,0,-2,NAN
1,-1,1,-2,-3,-3,-3,-2,NAN
0,-1,-7,-9,-3,-3,-3,0,NAN
1,0,12,16,2,3,4,0,NAN
-4,0,5,16,3,1,-1,1,NAN
-4,-1,-8,4,3,0,1,-2,NAN
-2,-5,-6,3,-3,-2,1,-3,NAN
0,-1,-8,-11,-3,0,0,-1,NAN
0,1,4,-9,-3,-1,-3,-3,NAN
-6,-1,-4,-9,-2,1,1,-3,NAN
4,-2,-12,0,-1,-1,0,0,NAN
0,3,3,7,-1,-2,2,-2,NAN
-1,-2,-4,-6,-2,-2,-2,3,NAN
0,-2,6,3,-2,-2,5,1,NAN
0,-1,2,3,0,-1,-1,-3,NAN
0,-3,3,1,1,1,-3,-3,NAN
-3,2,-1,-39,-8,-2,-2,3,NAN
-1,-2,9,4,-1,-2,-2,0,NAN
-1,-6,-19,15,0,0,0,-2,NAN
-3,-1,-5,-5,1,0,0,-1,NAN
0,-1,3,11,5,2,3,2,NAN
-2,1,-2,-12,-6,-3,-11,-5,NAN
1,3,5,0,-1,1,3,0,NAN
0,-2,7,31,3,0,-3,0,NAN
-3,-5,-13,-9,-3,-3,1,-4,NAN
-2,1,5,2,0,-3,-2,0,NAN
0,0,1,5,0,-2,-1,-1,NAN
-5,-2,4,1,-3,0,0,1,NAN
2,1,-9,3,0,-2,-2,-2,NAN
2,-1,12,1,-3,-2,-4,-1,NAN
-2,-1,-1,1,0,-2,-2,-1,NAN
1,-2,-7,-1,-1,-2,3,1,NAN
-3,-2,3,-1,0,1,-5,0,NAN
-2,0,0,2,-1,-3,1,0,NAN
0,0,-3,-9,-4,-2,-2,-1,NAN
-2,-2,4,8,3,0,-3,-4,NAN
-2,-1,-1,-6,-1,1,0,-1,NAN
-2,1,3,19,2,0,-2,-1,NAN
-1,-2,8,2,0,-2,-1,-2,NAN
-2,-6,-16,-35,-8,-1,-5,-2,NAN
0,1,0,7,2,1,-1,-3,NAN
-1,-5,5,5,3,-1,-3,0,NAN
-2,-1,-1,18,2,-3,1,-3,NAN
-2,1,13,-6,-2,0,-4,-4,NAN
-5,-2,-3,-10,-3,-2,-5,0,NAN
7,1,4,7,-5,-2,0,0,NAN
-1,-4,-16,-36,-4,-1,-3,-1,NAN
-2,-2,8,22,1,-2,3,-1,NAN
-2,1,13,9,-2,-2,3,1,NAN
-1,2,-11,-9,-6,-1,1,1,NAN
0,0,3,7,-1,3,-1,-1,NAN
-3,-5,1,19,8,0,-2,-1,NAN
0,0,-3,37,6,-4,-3,0,NAN
0,-3,-5,-37,1,7,9,2,NAN
2,3,20,38,-4,6,-2,2,NAN
-6,-1,-21,-61,-20,-17,-9,-6,NAN
-8,-8,6,21,12,-1,-2,-3,NAN
1,-3,4,63,7,-1,-3,-3,NAN
2,6,6,-16,-9,-5,-4,2,NAN
-4,-4,8,34,17,19,2,-1,NAN
0,-5,9,45,23,16,6,0,NAN
1,3,4,28,7,2,1,2,NAN
1,-2,-7,-15,-6,-34,4,1,NAN
-1,1,-1,-13,-5,0,-16,-4,NAN
-4,-5,-9,3,-16,-16,0,-7,NAN
-3,-2,-10,-4,3,6,3,-2,NAN
-1,2,12,-2,1,-21,-13,1,NAN
-1,-2,3,27,-1,8,1,-2,NAN
-11,-9,-31,-110,-31,13,-17,-6,NAN
-5,0,9,59,-9,-32,-17,2,NAN
7,-3,-33,-49,-10,-14,-11,-2,NAN
-4,-4,29,2,21,6,27,0,NAN
4,6,3,36,3,9,-13,-5,NAN
0,0,-4,-76,-7,9,17,0,NAN
0,7,31,72,9,20,5,1,NAN
-1,0,-9,20,11,-19,-1,-5,NAN
-1,-1,4,20,17,56,0,-12,NAN
-2,1,-2,3,5,-34,-7,-14,NAN
-4,-1,0,0,-11,12,6,9,NAN
-5,-1,-12,-17,-6,33,1,12,NAN
8,-3,0,-2,11,-3,5,15,NAN
0,-1,-1,1,-3,-10,0,11,NAN
0,-1,-1,16,1,-6,2,8,NAN
3,3,0,-13,1,10,-4,3,NAN
1,-1,-8,7,0,-10,2,1,NAN
0,-3,-13,3,-3,-4,-2,-3,NAN
2,-1,-17,-34,-7,-9,7,-3,NAN
0,-3,-1,-10,3,-8,5,-4,NAN
-2,-2,15,11,1,-10,-2,-6,NAN
1,-2,-1,-17,-6,-7,-5,-2,NAN
-2,1,-6,-2,2,4,1,-2,NAN
-5,0,0,11,-1,1,-4,-1,NAN
-3,-1,2,6,0,-3,4,-2,NAN
5,0,-8,-6,1,1,-6,-1,NAN
-3,-1,-4,7,-9,-9,1,-1,NAN
-7,-2,-12,-18,-1,12,7,-1,NAN
0,0,-5,27,5,-7,-3,1,NAN
0,0,4,-13,-14,-5,-7,-5,NAN
1,-3,-4,-43,-10,-2,9,-4,NAN
0,0,3,10,-2,-5,2,-2,NAN
-9,-6,-2,-34,-7,1,-4,-5,NAN
2,-1,0,46,8,3,-11,0,NAN
3,3,-3,-26,-1,1,4,2,NAN
-2,3,15,30,-5,-7,-1,-4,NAN
5,-1,1,17,5,4,-3,1,NAN
-2,1,4,14,5,-4,2,1,NAN
-5,3,12,24,4,6,-2,1,NAN
-5,-3,-18,-10,-3,0,-1,-1,NAN
0,-4,11,7,3,0,-4,-2,NAN
1,-2,-6,-11,-3,-15,-2,-1,NAN
0,0,5,12,-4,24,1,-4,NAN
-4,0,-12,-24,0,-23,-5,0,NAN
-2,1,-1,22,-1,-1,2,0,NAN
-5,-3,-2,-13,7,35,6,-2,NAN
4,0,4,0,-3,-32,-9,2,NAN
0,5,-1,1,-4,-15,-2,-1,NAN
-1,-1,-7,4,0,5,-2,-1,NAN
-1,-3,-1,-8,3,-4,4,-1,NAN
-1,-7,-5,4,-4,-26,-5,1,NAN
-5,-5,-22,-16,-6,0,-1,-3,NAN
0,-1,15,13,3,20,3,4,NAN
4,-2,3,-1,1,-15,5,-4,NAN
-1,3,1,0,-1,13,-6,-4,NAN
2,-1,-4,-1,-1,-9,-3,-2,NAN
-1,-6,4,12,1,-12,-5,-2,NAN
-4,4,-12,-12,-6,14,3,-1,NAN
-5,-2,12,-7,0,-1,3,-2,NAN
0,0,1,33,5,-9,-3,0,NAN
-1,-2,-5,28,5,1,-3,-8,NAN
-1,-3,-7,-55,-7,-4,4,1,NAN
-1,2,2,29,-3,-6,-1,-4,NAN
-2,-5,6,-4,-2,2,-3,1,NAN
1,2,8,17,4,-1,0,4,NAN
1,1,6,4,-1,-7,-8,0,NAN
0,-2,-4,-9,-1,-6,2,-3,NAN
-2,-3,-22,-36,-6,3,0,0,NAN
-2,0,2,4,-2,0,-1,-1,NAN
-3,-3,0,9,2,-1,-2,-4,NAN
1,-2,-2,9,0,0,2,3,NAN
1,0,-7,-27,-9,-1,1,3,NAN
-2,-3,-11,8,-2,-6,-8,-4,NAN
-4,-1,7,-34,-2,-1,-5,-2,NAN
-1,-1,-6,0,7,5,1,-1,NAN
0,0,8,18,0,-5,-4,0,NAN
-2,-1,10,-9,-9,-3,2,-1,NAN
0,-1,-6,13,1,0,-2,-2,NAN
-2,-2,-11,-15,-5,-4,-2,-4,NAN
0,0,13,7,1,1,-1,0,NAN
-3,-3,-31,-48,-10,-1,0,-2,NAN
0,-1,-6,-11,-6,-4,5,-2,NAN
1,1,4,24,-3,-67,-11,1,NAN
-3,0,-1,7,-12,-23,-6,-2,NAN
-3,1,6,32,3,-2,1,-2,NAN
-3,-5,-8,-46,-1,14,2,-2,NAN
4,-1,3,7,14,33,3,-1,NAN
-1,0,9,5,-2,-7,-8,-1,NAN
-3,-1,-2,-10,0,12,11,1,NAN
-1,-2,2,29,8,0,-12,-2,NAN
-1,0,-9,-8,-7,-6,-8,-3,NAN
0,1,1,-2,-2,6,7,4,NAN
1,2,14,24,8,3,2,-1,NAN
-1,-4,2,14,-9,-13,0,-1,NAN
-3,-3,-5,2,-7,1,-2,-3,NAN
-3,-2,-19,-36,0,6,-1,-4,NAN
-3,0,8,-13,-3,9,-1,-4,NAN
-6,0,-10,7,-8,0,0,-2,NAN
-7,-2,-6,-40,-6,-10,-1,-5,NAN
6,0,2,7,-2,-5,-2,-4,NAN
3,4,14,23,12,12,2,3,NAN
-1,-3,-18,-54,2,4,-1,1,NAN
-2,0,-3,14,-4,-8,0,-3,NAN
-4,-1,-1,12,-6,-2,-9,-2,NAN
0,-3,5,6,-4,-1,-2,1,NAN
2,-2,-3,-11,-4,-5,-2,-2,NAN
-1,-7,-10,-29,-6,-3,-2,-2,NAN
0,3,1,33,6,6,-1,0,NAN
-3,-3,-6,-9,1,2,3,0,NAN
-2,-1,7,10,-4,-5,-2,-1,NAN
-3,-2,-1,3,0,-1,-2,-2,NAN
0,-1,-1,3,1,0,-1,-2,NAN
3,-1,1,-6,-5,1,2,0,NAN
-2,-3,-9,-1,2,-1,-1,0,NAN
-3,-3,-3,-19,-2,-1,-3,-1,NAN
1,-1,11,-2,-5,-1,-1,1,NAN
-3,-2,-6,-30,-6,-1,0,-2,NAN
-1,1,-4,-4,7,1,1,1,NAN
-2,-4,8,7,-3,-4,0,0,NAN
-2,-3,-8,-14,-9,-5,4,-1,NAN
0,3,-1,16,2,3,3,-1,NAN
-8,-1,0,-2,-4,-1,-3,-3,NAN
0,2,-8,-14,-2,-1,-5,-3,NAN
0,-2,-3,-19,-4,9,0,-1,NAN
-3,-2,-21,-9,-5,-24,-4,4,NAN
-4,-3,8,-5,-1,0,3,-3,NAN
1,-4,6,17,6,1,0,0,NAN
-1,-3,5,14,-5,1,-3,-1,NAN
-1,-1,1,1,4,-1,-2,0,NAN
-3,-2,-4,-7,-2,-2,1,-2,NAN
1,0,6,11,1,1,1,-1,NAN
2,-1,-3,1,2,-6,-1,-2,NAN
1,3,4,-1,3,3,-1,-1,NAN
-1,1,-7,3,1,2,7,-1,NAN
-5,3,4,18,4,0,-12,-2,NAN
-3,-5,-11,-31,-11,-10,-5,-1,NAN
-1,-3,3,15,-4,-5,1,0,NAN
-1,1,6,25,3,-1,-1,-1,NAN
-3,0,3,10,6,3,-3,-3,NAN
0,4,8,18,5,0,0,-2,NAN
-2,-3,1,-20,-4,-2,9,0,NAN
-2,-6,-21,-19,-7,-2,-14,1,NAN
-1,1,2,14,-1,-1,-1,-1,NAN
2,1,6,11,3,-1,4,-2,NAN
-1,-2,0,-5,0,-1,-2,-1,NAN
2,2,5,21,2,1,2,-1,NAN
1,-4,-6,-22,-3,0,-4,0,NAN
-1,2,-4,-17,-3,-2,0,-2,NAN
-4,-5,-13,-19,-9,-1,8,-2,NAN
-2,0,4,7,-3,-9,-11,-3,NAN
1,-1,-1,1,2,0,-1,0,NAN
-1,-3,-12,1,1,1,3,-1,NAN
-2,-1,10,9,1,0,-4,-2,NAN
-1,-4,-1,14,-8,-5,-6,-2,NAN
-8,0,-21,-47,-4,-3,-1,-4,NAN
5,1,7,-11,2,3,11,2,NAN
1,-1,3,12,1,-1,-5,-2,NAN
-4,-2,0,4,-1,-3,0,0,NAN
-1,0,2,7,3,-1,2,-2,NAN
2,-1,-6,-21,-8,-2,-5,-4,NAN
0,1,4,27,-1,3,-1,-1,NAN
-5,-4,-3,-44,-7,26,3,-1,NAN
1,1,2,9,-1,-3,-1,-3,NAN
2,0,0,20,3,5,2,-3,NAN
-3,-3,-2,6,3,20,7,-2,NAN
-4,-3,-7,-3,-5,-8,-9,-2,NAN
2,3,0,-6,1,-1,0,2,NAN
0,-1,5,5,2,2,2,-1,NAN
-4,-3,-4,-11,0,4,2,0,NAN
-8,0,-1,9,2,-6,1,-2,NAN
6,0,8,8,-2,3,-6,0,NAN
1,-1,-12,7,-3,-11,-4,0,NAN
1,-1,-2,-8,-5,-3,-3,1,NAN
-3,-2,-3,-25,0,6,3,-1,NAN
-6,-5,3,10,-1,-4,-4,-1,NAN
0,0,-1,15,2,-7,0,0,NAN
-4,-5,-8,0,-3,-6,-2,-3,NAN
-2,2,7,12,3,-5,-3,-1,NAN
-4,-3,-6,-13,-1,7,-3,-4,NAN
-1,0,-4,-38,-7,-4,7,-1,NAN
-1,0,-4,-11,-3,-3,-10,1,NAN
-1,0,0,-6,-2,-4,-1,-1,NAN
-3,1,-1,1,3,5,1,-1,NAN
-1,-2,-3,1,-2,0,0,0,NAN
-1,-4,-14,15,1,-3,3,0,NAN
-1,1,26,1,-3,-2,-2,-1,NAN
-7,-1,-3,-44,-7,-2,0,-3,NAN
4,-8,-10,1,0,-1,5,-2,NAN
0,0,5,5,-5,-5,-9,2,NAN
0,-1,11,22,5,-2,0,-1,NAN
-2,-3,-5,3,3,2,-1,-1,NAN
-3,0,-4,-10,0,-3,-2,-3,NAN
1,-1,0,9,-4,-2,2,-1,NAN
1,-4,1,17,-2,-2,-2,0,NAN
0,5,5,-36,-3,-2,-2,0,NAN
-4,-5,-7,-22,-2,-4,-2,-2,NAN
0,-1,8,15,-1,0,2,-2,NAN
-1,1,2,15,-1,-3,-3,2,NAN
-2,-1,-1,3,2,-1,0,-2,NAN
-1,2,2,0,5,-2,1,-1,NAN
2,-1,5,46,2,2,1,2,NAN
-1,-4,-18,-89,-14,-4,-3,-1,NAN
-5,-3,-11,-4,-10,-4,-6,-3,NAN
-3,-6,-2,-6,-1,-1,0,-1,NAN
0,0,1,6,1,0,-2,-1,NAN
-3,1,2,19,3,2,2,0,NAN
-6,-4,-5,-38,-7,-5,-2,-3,NAN
6,0,1,29,5,0,-4,-1,NAN
2,-1,-2,-18,-2,0,0,3,NAN
-1,-1,-6,4,-7,0,-1,0,NAN
-3,-2,4,16,4,1,2,0,NAN
-4,-1,5,6,3,-1,0,-2,NAN
-1,-1,0,18,8,1,-2,-3,NAN
-1,1,3,-1,1,0,-2,-1,NAN
1,-1,-1,-5,-6,-4,-4,-1,NAN
-3,-1,-7,23,1,-1,-7,-2,NAN
-1,-1,0,-7,0,-1,1,0,NAN
-3,2,8,23,7,1,1,1,NAN
2,0,-6,10,5,-1,-3,-1,NAN
0,-2,-14,-79,-12,-6,0,0,NAN
-2,-3,2,19,5,2,0,1,NAN
-3,-1,-2,-11,1,0,-1,-3,NAN
-3,3,6,27,3,3,2,-1,NAN
3,-2,1,-15,-10,-5,-8,0,NAN
-3,-4,-2,7,7,0,0,-1,NAN
-3,1,2,17,2,2,6,0,NAN
-2,-1,0,-4,-9,-3,0,-2,NAN
-1,-2,-6,10,-3,-4,-1,-2,NAN
0,0,1,-27,-6,-5,1,-1,NAN
-2,-2,-12,28,7,2,-9,0,NAN
1,0,14,17,7,4,6,1,NAN
-1,-2,-5,-37,-5,-3,-1,-1,NAN
0,-3,1,-4,-4,-2,-2,-1,NAN
-3,-3,-5,7,-4,-2,1,-2,NAN
7,0,-5,0,-1,0,0,1,NAN
-2,0,12,5,-1,-5,-5,1,NAN
-2,0,-4,12,9,3,-3,-1,NAN
-1,0,1,-34,-5,-2,8,1,NAN
-3,0,2,-2,3,5,-3,-1,NAN
0,0,-1,13,0,-1,-1,-2,NAN
-3,-1,3,2,-1,-7,3,0,NAN
2,-2,-11,-7,3,0,-4,-2,NAN
1,1,0,14,-5,15,1,-1,NAN
-2,-5,-7,-36,-5,-7,0,-3,NAN
-1,-3,-2,-31,-4,-11,-5,-5,NAN
-3,2,1,7,0,12,12,2,NAN
-6,0,14,-1,-4,5,-12,-3,NAN
6,-4,-6,-14,8,0,-1,-2,NAN
3,2,0,25,-3,4,4,4,NAN
-2,-3,-5,-40,-4,-11,-2,-2,NAN
-2,-4,-5,9,-1,-46,-7,-4,NAN
-1,0,3,5,-1,8,1,-2,NAN
-4,-2,-2,-9,4,20,1,-1,NAN
-4,-3,3,11,-2,-24,0,-1,NAN
-3,-1,-3,-10,1,35,-6,-1,NAN
7,-2,-2,9,2,-40,-7,1,NAN
2,1,-1,-14,-10,-5,-2,4,NAN
-2,-1,7,3,-7,-2,3,-3,NAN
2,0,0,1,-1,4,2,-2,NAN
-8,-2,-1,-3,-4,8,0,-3,NAN
-1,-1,-6,0,10,1,-16,-1,NAN
1,-2,-2,13,-1,0,0,-2,NAN
-4,-3,0,-11,0,-4,1,-2,NAN
0,3,2,12,4,-8,-44,1,NAN
0,-1,-1,0,4,11,9,-1,NAN
-2,1,0,1,1,-16,-5,0,NAN
-4,-3,-3,3,-5,10,5,-4,NAN
-1,-4,-1,-2,-6,-3,4,-2,NAN
2,-1,-14,-3,-8,-29,-14,1,NAN
-4,-1,9,4,1,12,-6,0,NAN
4,0,3,-3,0,-6,13,1,NAN
0,2,2,7,8,8,-4,1,NAN
-4,-3,-5,2,3,4,-7,-2,NAN
1,-1,2,-1,-6,-1,14,1,NAN
-1,0,3,2,0,-3,-10,1,NAN
-1,-5,-5,-1,4,-1,-7,1,NAN
-2,3,-2,-4,-1,-11,-14,-2,NAN
-1,0,-15,-8,1,20,19,-1,NAN
-1,4,15,0,-2,-2,12,1,NAN
-2,-1,1,4,6,-4,-19,-6,NAN
0,-2,2,2,-3,1,7,0,NAN
-1,-1,-2,3,2,-1,-6,-2,NAN
-4,-5,-4,-4,-3,0,2,0,NAN
-2,-1,3,6,4,-6,-1,0,NAN
-6,-4,-1,6,-2,10,4,-7,NAN
0,2,8,21,5,-4,-1,1,NAN
5,-7,-21,-44,-11,5,5,-1,NAN
0,3,7,-19,-3,-5,-3,0,NAN
-3,-3,-12,7,2,-9,-8,-4,NAN
-6,1,5,8,4,2,1,0,NAN
-2,-1,-1,-29,-3,0,13,1,NAN
3,-2,-2,-11,2,-3,-18,-1,NAN
5,1,-1,19,1,-1,5,-3,NAN
4,0,0,10,2,3,-2,-6,NAN
-5,-3,5,9,0,5,-2,-3,NAN
-9,-3,0,3,0,1,4,-10,NAN
-4,-2,-3,0,-6,-25,-10,-11,NAN
0,-1,-10,-14,-6,-7,-4,1,NAN
3,3,5,7,-2,2,-5,4,NAN
-3,-1,-3,3,4,15,10,41,NAN
-3,-1,1,6,0,-5,-9,1,NAN
-1,2,5,7,-1,0,2,-18,NAN
-6,-7,-9,6,-1,1,-1,11,NAN
-5,-3,-11,-2,-4,-5,4,-2,NAN
4,2,7,-2,-4,2,-1,18,NAN
-2,-1,-2,-3,-2,1,2,-7,NAN
-3,-1,4,4,0,-4,-7,-29,NAN
-2,-5,-2,-2,-5,-6,-3,9,NAN
-14,2,1,3,1,-1,1,10,NAN
9,-3,11,-1,-4,-7,-4,-22,NAN
6,-6,-10,2,2,4,3,12,NAN
-4,-4,-4,-2,1,-2,4,20,NAN
4,-2,0,-9,0,0,1,-20,NAN
-6,4,-2,0,-5,-4,-4,-10,NAN
-3,0,6,-5,-3,-3,-5,-3,NAN
-5,0,0,0,-3,1,-2,40,NAN
5,6,7,7,1,-3,-4,-22,NAN
-6,-7,-13,5,-1,3,3,-28,NAN
1,-1,-7,3,-7,-1,2,20,NAN
0,2,-30,-4,-5,-3,-2,14,NAN
-10,1,23,-16,-2,-2,-7,-34,NAN
6,-5,4,19,1,-2,2,9,NAN
0,-1,10,-7,2,0,-3,3,NAN
1,3,3,7,2,-2,0,6,NAN
-8,-3,-18,-6,-4,-1,-8,-27,NAN
1,-4,-8,-7,1,1,6,27,NAN
1,3,14,22,5,2,2,-14,NAN
-3,-6,4,1,0,-2,-8,-26,NAN
-2,-2,-8,-2,-2,-3,-6,-38,NAN
-3,-1,3,-6,-6,-1,-2,20,NAN
-6,7,15,7,3,2,-1,4,NAN
4,-2,-5,-4,2,7,0,-20,NAN
1,2,-2,-4,-3,-14,2,26,NAN
1,-3,-6,-8,3,-9,-1,-3,NAN
4,-6,-6,-2,-7,-1,-3,-30,NAN
-6,-5,-7,-1,-5,13,3,-34,NAN
-6,-5,-5,-19,-1,-15,-3,35,NAN
1,-1,16,7,0,13,1,-15,NAN
1,-1,-16,-2,1,15,-5,-45,NAN
-2,-6,3,2,9,33,2,-19,NAN
1,0,-6,0,-10,-42,0,32,NAN
-1,-3,-4,-11,-14,-5,-6,2,NAN
-4,-3,3,7,-4,-18,-7,2,NAN
0,-1,-7,-1,-1,-5,4,31,NAN
1,1,5,7,9,27,0,-43,NAN
3,1,-24,-14,5,3,1,13,NAN
2,3,18,-14,-3,2,-2,0,NAN
-5,-4,15,9,-4,-5,-1,17,NAN
4,-2,-17,-27,-3,9,-3,-9,NAN
-2,2,-6,-11,1,-8,-2,-3,NAN
4,2,4,16,-3,-4,-3,8,NAN
0,-2,-7,-8,0,-1,3,13,NAN
-3,2,3,7,-2,5,4,-29,NAN
-5,1,3,2,1,-8,1,3,NAN
2,-1,-8,-4,0,14,0,-19,NAN
-6,-6,2,5,3,-17,-3,-10,NAN
0,-1,-3,7,-3,-1,0,21,NAN
5,1,-4,-5,0,-7,1,28,NAN
-5,-6,-5,4,4,-1,-3,16,NAN
-1,0,-3,-6,-5,-2,4,10,NAN
-6,-4,-3,-5,7,23,1,-17,NAN
8,5,-2,-5,-6,-32,-9,7,NAN
-3,-1,-2,10,0,14,4,4,NAN
2,2,2,1,9,-5,-2,0,NAN
-1,2,-8,-8,-12,-28,-1,28,NAN
-9,-5,6,2,3,7,-4,-42,NAN
1,-2,1,2,0,1,0,29,NAN
-4,-4,-15,-2,3,21,3,-34,NAN
-2,-2,1,2,-3,5,-1,0,NAN
-3,-4,-2,-9,-10,-9,-3,-4,NAN
