C1,C2,C3,C4,C5,C6,C7,C8,Marker
-1,-2,-2,0,0,0,1,-1,NAN
-1,-3,0,-1,-1,-1,-3,-2,NAN
-1,-2,1,-1,-1,1,-1,1,NAN
-1,-1,-3,-1,0,0,1,0,NAN
0,-3,1,-2,-2,-1,-1,0,NAN
0,-1,-3,-2,-1,-1,-1,-1,NAN
-1,-1,-2,-1,0,-2,-2,-1,NAN
-2,-1,2,-2,-5,-4,-3,-5,NAN
-3,-5,-15,-4,-2,-4,-4,-3,NAN
-5,-3,5,2,-4,-3,-1,-2,NAN
-2,6,-4,-3,-3,-2,-1,-1,NAN
-1,-4,0,-1,-1,-1,-1,0,NAN
-1,0,3,3,-2,-2,-2,-2,NAN
-1,-2,0,-2,-3,-2,-1,0,NAN
-1,-9,-14,-3,-2,-2,0,-2,NAN
-3,-2,-3,-1,-1,0,-3,-2,NAN
-2,-1,-2,-2,-2,-2,1,-1,NAN
-2,-4,-2,-2,0,1,-1,-1,NAN
-1,-1,4,-1,0,0,0,-2,NAN
0,1,-2,-2,-1,-2,-2,-2,NAN
-1,-2,-1,-2,0,-1,-1,-2,NAN
-1,2,-1,-1,-1,-2,0,0,NAN
-2,-1,1,0,-2,-2,-2,0,NAN
0,-1,-2,-1,-2,-1,-3,0,NAN
0,0,0,0,-1,-1,0,0,NAN
0,-2,-1,-3,-1,-1,-1,-2,NAN
-1,-2,-1,-1,-1,0,0,1,NAN
-2,-1,-2,-1,-2,0,-1,-1,NAN
-1,0,0,-1,-3,0,1,0,NAN
-3,-2,0,1,-2,-2,0,-1,NAN
-1,-1,0,-2,-1,0,1,-2,NAN
0,-1,-1,-2,-2,-1,0,-1,NAN
0,0,-2,-2,1,-1,-1,0,NAN
-2,0,0,-1,-1,-1,-2,1,NAN
-1,-3,-2,-1,-2,0,-1,-3,NAN
-2,-2,0,1,-1,-1,-2,0,NAN
-1,-2,-1,-1,1,-2,-1,-1,NAN
0,0,0,-1,1,-2,-1,-1,NAN
-2,-1,-1,-1,-2,-2,-1,-2,NAN
0,-1,-1,-2,-1,-1,-1,-1,NAN
0,1,-1,0,-1,-2,-1,-1,NAN
-1,-1,-1,0,0,-1,0,0,NAN
-1,0,0,0,-1,-1,-1,0,NAN
-2,-1,-2,-2,0,-1,-1,-1,NAN
-2,-2,-1,1,0,0,-1,0,NAN
-1,-2,-1,-1,-2,0,-1,-3,NAN
-2,-1,-2,-1,-1,0,-2,-1,NAN
0,-2,-1,0,-3,-2,-2,-2,NAN
-1,-2,-1,-3,-1,0,-2,-2,NAN
-2,-2,-3,-1,-3,0,-2,0,NAN
-1,-1,-1,0,0,-2,-1,1,NAN
0,0,2,-1,1,1,-1,0,NAN
-3,0,-2,-2,-2,-1,-1,-2,NAN
0,-2,-2,0,0,0,-1,-1,NAN
-2,-1,-2,-3,-1,-2,0,-1,NAN
-1,-3,-2,-1,-2,-2,0,0,NAN
0,0,0,0,-2,0,0,-1,NAN
-3,-1,0,-1,-3,0,-1,-1,NAN
-1,-1,-1,-1,-2,0,-3,-2,NAN
-2,-2,4,0,-1,1,0,-2,NAN
-2,-7,-11,-3,-1,0,0,0,NAN
1,1,-1,-2,0,-2,-2,0,NAN
-2,-2,-1,-1,0,1,0,-1,NAN
-1,-1,-2,-1,-2,-1,0,-2,NAN
-1,1,2,0,-1,-1,-2,-1,NAN
0,-3,-1,-2,-1,0,0,0,NAN
1,-2,0,-1,-1,-1,-2,-1,NAN
1,0,0,0,1,-2,-3,-1,NAN
0,0,0,1,0,-2,-3,-1,NAN
-1,-1,-1,-1,-1,-1,0,0,NAN
-1,-2,1,-1,-4,-1,0,0,NAN
0,-1,-3,0,-1,-1,0,-2,NAN
-1,-1,0,1,0,0,0,-1,NAN
-1,-2,1,-1,-1,0,-2,-1,NAN
-2,-1,0,-2,0,0,0,-1,NAN
-2,-1,-4,-3,-2,-1,-2,-1,NAN
-1,-1,-1,-2,-2,-2,-1,0,NAN
-1,-1,-1,-1,0,1,-2,-1,NAN
-1,-1,0,0,-1,-1,-1,2,NAN
-1,0,-2,-2,0,1,0,0,NAN
-1,0,0,0,-1,0,1,-2,NAN
-5,-1,0,-1,-1,-2,0,-1,NAN
0,-1,-2,-1,-3,-3,-6,-2,NAN
-2,-2,-1,-1,-5,-3,16,1,NAN
1,-2,-2,0,1,6,-5,-1,NAN
0,-1,-1,-1,-1,-1,1,-1,NAN
-1,0,0,0,0,0,-1,0,NAN
-1,-3,-2,0,-1,-1,-4,-2,NAN
-1,1,1,-3,-2,-3,-2,-1,NAN
-1,-2,-1,0,1,-1,-4,-1,NAN
-1,-1,-1,-1,0,-2,-4,-3,NAN
-1,-3,-1,-2,-2,-12,-1,-2,NAN
0,-1,2,-1,2,6,4,2,NAN
0,-2,-1,-1,-2,0,-1,-2,NAN
-1,-1,-3,-2,-1,-3,-3,-4,NAN
-2,-3,-3,-2,-6,-3,-3,-2,NAN
-3,-1,-1,-1,2,0,1,0,NAN
-2,-2,-2,-1,-1,-3,-2,-1,NAN
0,-3,-1,-2,-2,0,5,-1,NAN
-1,1,-1,-3,-4,2,8,0,NAN
-1,-2,-1,-4,0,-2,-7,-1,NAN
1,1,-1,1,1,9,13,1,NAN
-1,-2,-2,-2,-3,-3,4,-1,NAN
-3,-3,-1,-1,-1,-3,-25,-4,NAN
-1,1,-1,2,1,-1,-2,0,NAN
-3,-2,-3,-1,-4,-10,0,-5,NAN
0,-1,-1,0,4,3,-2,0,NAN
-1,1,-1,-2,2,6,-5,0,NAN
-1,-2,-3,-8,-19,-18,13,-7,NAN
-4,-1,0,1,3,4,0,0,NAN
-1,-1,-2,-2,-4,-10,-8,-1,NAN
-1,-2,-3,-1,-3,-2,10,-1,NAN
-1,-3,-2,-3,-6,-17,-19,-6,NAN
1,0,2,1,5,7,20,5,NAN
0,-2,0,1,0,-10,-14,-1,NAN
0,-2,0,-1,0,1,11,0,NAN
