Subject,Object,Surface,Repetition,ChannelAvg
P03,ARHand,Inner,1,0.30128487156896366
P03,ARHand,Inner,2,0.1181442713277491
P03,ARHand,Inner,3,0.18278652267313056
P03,ARHand,Inner,4,0.16623134738946446
P03,ARHand,Inner,5,0.30393975287235386
P03,ARHand,Inner,6,0.16481326428589002
P03,ARHand,Outer,1,0.3341909160842238
P03,ARHand,Outer,2,0.19254003890407462
P03,ARHand,Outer,3,0.2719590640471451
P03,ARHand,Outer,4,0.3045291164691486
P03,ARHand,Outer,5,0.19606683685909665
P03,ARHand,Outer,6,0.27990280916779897
P04,ARHand,Inner,1,0.14365977699500437
P04,ARHand,Inner,2,0.17323451183295596
P04,ARHand,Inner,3,0.2634245305190871
P04,ARHand,Inner,4,0.25252055328064554
P04,ARHand,Inner,5,0.22112906080006356
P04,ARHand,Outer,1,0.21464764994706514
P04,ARHand,Outer,2,0.26025713946320583
P04,ARHand,Outer,3,0.21515789755712378
P04,ARHand,Outer,4,0.291236166171421
P04,ARHand,Outer,5,0.27966118496951586
P05,ARHand,Inner,1,0.23720692361467222
P05,ARHand,Inner,2,0.25246234226532005
P05,ARHand,Inner,3,0.2797418739411133
P05,ARHand,Inner,4,0.29474599349654085
P05,ARHand,Inner,5,0.30711464461547605
P05,ARHand,Inner,6,0.28382728208021835
P05,ARHand,Outer,1,0.4953037900293923
P05,ARHand,Outer,2,0.25742197879941225
P05,ARHand,Outer,3,0.25428447232479934
P05,ARHand,Outer,4,0.16022122466885025
P05,ARHand,Outer,5,0.32176822382067305
P05,ARHand,Outer,6,0.24901966269748219
P06,ARHand,Inner,1,0.22298494965874
P06,ARHand,Inner,2,0.3578091770855724
P06,ARHand,Inner,3,0.161933209457179
P06,ARHand,Inner,4,0.29847390127192097
P06,ARHand,Inner,5,0.2482883349690009
P06,ARHand,Inner,6,0.3316071942074549
P06,ARHand,Outer,1,0.35663207454655754
P06,ARHand,Outer,2,0.31302941969129017
P06,ARHand,Outer,3,0.16700433376379467
P06,ARHand,Outer,4,0.25504661037452475
P06,ARHand,Outer,5,0.3100344823404944
P06,ARHand,Outer,6,0.3674711073744331
P07,ARHand,Inner,1,0.41181746547123704
P07,ARHand,Inner,2,0.20094778275531244
P07,ARHand,Inner,3,0.2354175483760808
P07,ARHand,Inner,4,0.17735333157135236
P07,ARHand,Inner,5,0.3157574092611101
P07,ARHand,Inner,6,0.17476010731655542
P07,ARHand,Outer,1,0.517668829771737
P07,ARHand,Outer,2,0.4194200090316067
P07,ARHand,Outer,3,0.14704329602602711
P07,ARHand,Outer,4,0.3258083744944055
P07,ARHand,Outer,5,0.28894200492737276
P07,ARHand,Outer,6,0.29856690813361464
P08,ARHand,Inner,1,0.4521488580045453
P08,ARHand,Inner,2,0.20312951315691274
P08,ARHand,Inner,3,0.4534371249212802
P08,ARHand,Inner,4,0.304523298020492
P08,ARHand,Inner,5,0.270828185044845
P08,ARHand,Inner,6,0.3076718985404003
P08,ARHand,Outer,1,0.1949099583049227
P08,ARHand,Outer,2,0.5617876146443008
P08,ARHand,Outer,3,0.31848831237851644
P08,ARHand,Outer,4,0.5353226089725942
P08,ARHand,Outer,5,0.14946547557370077
P08,ARHand,Outer,6,0.3577256169355396
P09,ARHand,Inner,1,0.420904503833851
P09,ARHand,Inner,2,0.414258939541321
P09,ARHand,Inner,3,0.3764950771473443
P09,ARHand,Inner,4,0.3363056134000244
P09,ARHand,Inner,5,0.26289816645625186
P09,ARHand,Inner,6,0.15754409943978945
P09,ARHand,Outer,1,0.3856199796164562
P09,ARHand,Outer,2,0.44514090955118385
P09,ARHand,Outer,3,0.30852148309371286
P09,ARHand,Outer,4,0.37329312089970745
P09,ARHand,Outer,5,0.3766408704390326
P09,ARHand,Outer,6,0.46623348211107135
P10,ARHand,Inner,1,0.3065611746117002
P10,ARHand,Inner,2,0.30698642554872324
P10,ARHand,Inner,3,0.281611959837272
P10,ARHand,Inner,4,0.27389007219107964
P10,ARHand,Inner,5,0.30179768795965894
P10,ARHand,Inner,6,0.36681707137528907
P10,ARHand,Outer,1,0.3136567637152438
P10,ARHand,Outer,2,0.31474893711814916
P10,ARHand,Outer,3,0.3569358677807754
P10,ARHand,Outer,4,0.3252664093769175
P10,ARHand,Outer,5,0.3207866871774243
P10,ARHand,Outer,6,0.2181699922628645
P11,ARHand,Inner,1,0.2339676719312977
P11,ARHand,Inner,2,0.28718780409441647
P11,ARHand,Inner,3,0.24110629943787842
P11,ARHand,Inner,4,0.2594651774139002
P11,ARHand,Inner,5,0.47577432359393446
P11,ARHand,Inner,6,0.2725949287649687
P11,ARHand,Outer,1,0.3143781875957481
P11,ARHand,Outer,2,0.25997222559900907
P11,ARHand,Outer,3,0.2989522049654302
P11,ARHand,Outer,4,0.29322546828181084
P11,ARHand,Outer,5,0.3926345210623427
P11,ARHand,Outer,6,0.3895337816206129
P12,ARHand,Inner,1,0.31084877699240626
P12,ARHand,Inner,2,0.27968728583949876
P12,ARHand,Inner,3,0.27942505604086887
P12,ARHand,Inner,4,0.29495048002662094
P12,ARHand,Inner,5,0.2261981312253803
P12,ARHand,Inner,6,0.3613654152363628
P12,ARHand,Outer,1,0.26966365358309435
P12,ARHand,Outer,2,0.23692217947199384
P12,ARHand,Outer,3,0.2972278574242818
P12,ARHand,Outer,4,0.27181165025161125
P12,ARHand,Outer,5,0.30710480746365554
P12,ARHand,Outer,6,0.22133584777284587
