Subject,Object,Surface,Repetition,ChannelAvg
P03,ARPen,Inner,1,0.2624034269580765
P03,ARPen,Inner,2,0.22900647425121953
P03,ARPen,Inner,3,0.16199850211940958
P03,ARPen,Inner,4,0.3109943671094817
P03,ARPen,Inner,5,0.26310646960164696
P03,ARPen,Inner,6,0.21562692218162727
P03,ARPen,Outer,1,0.15714911929586167
P03,ARPen,Outer,2,0.1218454296804874
P03,ARPen,Outer,3,0.16638386210052458
P03,ARPen,Outer,4,0.1467147710349062
P03,ARPen,Outer,5,0.25547749998039126
P03,ARPen,Outer,6,0.2739685907310204
P04,ARPen,Inner,1,0.22932606778977244
P04,ARPen,Inner,2,0.2824835832655623
P04,ARPen,Inner,3,0.21049834725440142
P04,ARPen,Inner,4,0.1337883319055015
P04,ARPen,Inner,5,0.36773448456121305
P04,ARPen,Outer,1,0.21959876265125272
P04,ARPen,Outer,2,0.27077891998823506
P04,ARPen,Outer,3,0.2871763494811973
P04,ARPen,Outer,4,0.276833832890106
P04,ARPen,Outer,5,0.19578435545534245
P05,ARPen,Inner,1,0.49774083180179707
P05,ARPen,Inner,2,0.4363108401353877
P05,ARPen,Inner,3,0.3903857131514581
P05,ARPen,Inner,4,0.44393209506882353
P05,ARPen,Inner,5,0.4341070591525494
P05,ARPen,Inner,6,0.17334723734962051
P05,ARPen,Outer,1,0.5075558862575128
P05,ARPen,Outer,2,0.504268887376636
P05,ARPen,Outer,3,0.5101541330466353
P05,ARPen,Outer,4,0.49396423479914464
P05,ARPen,Outer,5,0.45884589983140356
P05,ARPen,Outer,6,0.1212020860255156
P06,ARPen,Inner,1,0.19038056883952756
P06,ARPen,Inner,2,0.33309388105806204
P06,ARPen,Inner,3,0.30701449072947185
P06,ARPen,Inner,4,0.2766440286360007
P06,ARPen,Inner,5,0.227197238574115
P06,ARPen,Inner,6,0.2884815364239204
P06,ARPen,Outer,1,0.36490526810244245
P06,ARPen,Outer,2,0.4996992123721033
P06,ARPen,Outer,3,0.2636060771296874
P06,ARPen,Outer,4,0.13050987144845227
P06,ARPen,Outer,5,0.22883990266989776
P06,ARPen,Outer,6,0.2654196735515396
P07,ARPen,Inner,1,0.20536125075393835
P07,ARPen,Inner,2,0.3508989116094623
P07,ARPen,Inner,3,0.37449575989643064
P07,ARPen,Inner,4,0.2648814991143683
P07,ARPen,Inner,5,0.2995928221010899
P07,ARPen,Inner,6,0.2989844088423773
P07,ARPen,Outer,1,0.4583301491834476
P07,ARPen,Outer,2,0.36194827386945505
P07,ARPen,Outer,3,0.3255403769832438
P07,ARPen,Outer,4,0.2542832866441648
P07,ARPen,Outer,5,0.2980527305519761
P07,ARPen,Outer,6,0.2759281289986032
P08,ARPen,Inner,1,0.292634114482342
P08,ARPen,Inner,2,0.23495804325877986
P08,ARPen,Inner,3,0.429625617874578
P08,ARPen,Inner,4,0.29606907264071747
P08,ARPen,Inner,5,0.2931213511887535
P08,ARPen,Inner,6,0.3085543488204544
P08,ARPen,Outer,1,0.4377882592967891
P08,ARPen,Outer,2,0.21101269557856053
P08,ARPen,Outer,3,0.42002566869210756
P08,ARPen,Outer,4,0.23606419442258764
P08,ARPen,Outer,5,0.2797017691392948
P08,ARPen,Outer,6,0.22853066110846265
P09,ARPen,Inner,1,0.45363963048722616
P09,ARPen,Inner,2,0.43221930998124747
P09,ARPen,Inner,3,0.441510390248965
P09,ARPen,Inner,4,0.4689408652138327
P09,ARPen,Inner,5,0.3520475684223379
P09,ARPen,Inner,6,0.30449557834188007
P09,ARPen,Outer,1,0.38535647212194213
P09,ARPen,Outer,2,0.20448108843721377
P09,ARPen,Outer,3,0.4398091406332862
P09,ARPen,Outer,4,0.54687918487841
P09,ARPen,Outer,5,0.34164795631623
P09,ARPen,Outer,6,0.36589978204250984
P10,ARPen,Inner,1,0.41567011882884775
P10,ARPen,Inner,2,0.4173015687608915
P10,ARPen,Inner,3,0.42405361599852087
P10,ARPen,Inner,4,0.2522367496070004
P10,ARPen,Inner,5,0.39435010698681583
P10,ARPen,Inner,6,0.36943609450412707
P10,ARPen,Outer,1,0.3722654570874957
P10,ARPen,Outer,2,0.39235184578190996
P10,ARPen,Outer,3,0.41221198173918217
P10,ARPen,Outer,4,0.45135890548410884
P10,ARPen,Outer,5,0.3410530819541442
P10,ARPen,Outer,6,0.33768675376659457
P11,ARPen,Inner,1,0.25344922086012633
P11,ARPen,Inner,2,0.1714958038947352
P11,ARPen,Inner,3,0.4700157728355393
P11,ARPen,Inner,4,0.18194449187309875
P11,ARPen,Inner,5,0.296291228170076
P11,ARPen,Inner,6,0.39168743939228895
P11,ARPen,Outer,1,0.36100513951529123
P11,ARPen,Outer,2,0.17333794842687453
P11,ARPen,Outer,3,0.40681411832063835
P11,ARPen,Outer,4,0.17493229730428933
P11,ARPen,Outer,5,0.3734746969921952
P11,ARPen,Outer,6,0.41825897467835194
P12,ARPen,Inner,1,0.24054397341753075
P12,ARPen,Inner,2,0.21185397996352362
P12,ARPen,Inner,3,0.21472945875880675
P12,ARPen,Inner,4,0.39749905909740774
P12,ARPen,Inner,5,0.32151826576879494
P12,ARPen,Inner,6,0.26741772727294466
P12,ARPen,Outer,1,0.19718401962807708
P12,ARPen,Outer,2,0.15743948230404198
P12,ARPen,Outer,3,0.14595013798955758
P12,ARPen,Outer,4,0.13964036404991484
P12,ARPen,Outer,5,0.4036954219276677
P12,ARPen,Outer,6,0.2286001139182442
