Subject,Object,Surface,Repetition,ChannelAvg
P01,MRController,Inner,1,0.2943581886450246
P01,MRController,Inner,2,0.30710627490161757
P01,MRController,Inner,3,0.24990308680391898
P01,MRController,Inner,4,0.35055959182637353
P01,MRController,Inner,5,0.29863908503621656
P01,MRController,Inner,6,0.33140604813185137
P01,MRController,Outer,1,0.3205803298295131
P01,MRController,Outer,2,0.3558806459156128
P01,MRController,Outer,3,0.3430860582254891
P01,MRController,Outer,4,0.22390438468965845
P01,MRController,Outer,5,0.36669890774145714
P01,MRController,Outer,6,0.34275870963776245
P03,MRController,Inner,1,0.10859690020986455
P03,MRController,Inner,2,0.12319046945312145
P03,MRController,Inner,3,0.09182016908456431
P03,MRController,Inner,4,0.12947571895913057
P03,MRController,Outer,1,0.30610215522759887
P03,MRController,Outer,2,0.12536727627736227
P03,MRController,Outer,3,0.11535023590935363
P03,MRController,Outer,4,0.0962086855504503
P03,MRController,Outer,5,0.17168153669686986
P04,MRController,Inner,1,0.3532231176591646
P04,MRController,Inner,2,0.4446814855170185
P04,MRController,Inner,3,0.5246525615057981
P04,MRController,Inner,4,0.3719772501179913
P04,MRController,Inner,5,0.43325629142610084
P04,MRController,Inner,6,0.3438432829818451
P04,MRController,Outer,1,0.4492880285998153
P04,MRController,Outer,2,0.40654689179822834
P04,MRController,Outer,3,0.44164922020661557
P04,MRController,Outer,4,0.4335474630217865
P04,MRController,Outer,5,0.5494141740663162
P04,MRController,Outer,6,0.32436661585680004
P05,MRController,Inner,1,0.28418975616279946
P05,MRController,Inner,2,0.25391270986689574
P05,MRController,Inner,3,0.3274188096967757
P05,MRController,Inner,4,0.2389117437995219
P05,MRController,Inner,5,0.17870091240678782
P05,MRController,Inner,6,0.2450726204079991
P05,MRController,Outer,1,0.30324194893242895
P05,MRController,Outer,2,0.3307256800525431
P05,MRController,Outer,3,0.31182286927784725
P05,MRController,Outer,4,0.2262277110864893
P05,MRController,Outer,5,0.16268882576340452
P05,MRController,Outer,6,0.26562112661714327
P06,MRController,Inner,1,0.1854602975942492
P06,MRController,Inner,2,0.1331054758839675
P06,MRController,Inner,3,0.0843822928305133
P06,MRController,Outer,1,0.24711169030339783
P06,MRController,Outer,2,0.1456020240885622
P06,MRController,Outer,3,0.10502126063209086
P07,MRController,Inner,1,0.310403968134484
P07,MRController,Inner,2,0.2921124973803867
P07,MRController,Inner,3,0.32747514809287015
P07,MRController,Inner,4,0.33696398848600484
P07,MRController,Inner,5,0.3947078480980315
P07,MRController,Inner,6,0.31160610511612635
P07,MRController,Outer,1,0.2882490551966791
P07,MRController,Outer,2,0.39002700017021547
P07,MRController,Outer,3,0.3020865099324999
P07,MRController,Outer,4,0.3691513264223471
P07,MRController,Outer,5,0.3139957482696824
P07,MRController,Outer,6,0.3575976893348157
P09,MRController,Inner,1,0.3094952229277589
P09,MRController,Inner,2,0.3372376089871325
P09,MRController,Inner,3,0.30674146156109977
P09,MRController,Inner,4,0.3813532279196624
P09,MRController,Inner,5,0.38391814266892715
P09,MRController,Inner,6,0.4378648170473264
P09,MRController,Outer,1,0.3949662641610583
P09,MRController,Outer,2,0.3867216115240755
P09,MRController,Outer,3,0.3177286645994024
P09,MRController,Outer,4,0.3591608314050252
P09,MRController,Outer,5,0.36506325923508753
P09,MRController,Outer,6,0.42989625847164
P10,MRController,Inner,1,0.28163256183824437
P10,MRController,Inner,2,0.23030913701501238
P10,MRController,Inner,3,0.30990872653172097
P10,MRController,Inner,4,0.3114912599602852
P10,MRController,Inner,5,0.26902721917275385
P10,MRController,Inner,6,0.2160613589765268
P10,MRController,Outer,1,0.289285039090559
P10,MRController,Outer,2,0.30000214514357315
P10,MRController,Outer,3,0.3049400508617736
P10,MRController,Outer,4,0.3319254641672551
P10,MRController,Outer,5,0.2037078252765678
P10,MRController,Outer,6,0.3002566797471865
P11,MRController,Inner,1,0.36708727438953304
P11,MRController,Inner,2,0.3859210174437657
P11,MRController,Inner,3,0.3418377813439585
P11,MRController,Inner,4,0.3370911413473321
P11,MRController,Inner,5,0.29229143861741813
P11,MRController,Inner,6,0.2696127781092538
P11,MRController,Outer,1,0.320837782207829
P11,MRController,Outer,2,0.3444839814407912
P11,MRController,Outer,3,0.30720957781943325
P11,MRController,Outer,4,0.31688918613430184
P11,MRController,Outer,5,0.31635484074655906
P11,MRController,Outer,6,0.390427332730248
