Subject,Object,Surface,Repetition,ChannelAvg
P01,MRHand,Inner,1,0.10799410130390202
P01,MRHand,Inner,2,0.40504739466986756
P01,MRHand,Inner,3,0.07099875146473114
P01,MRHand,Inner,4,0.21770053630053204
P01,MRHand,Inner,5,0.2800308366954163
P01,MRHand,Inner,6,0.2736726752333006
P01,MRHand,Outer,1,0.15399568829035565
P01,MRHand,Outer,2,0.48527664529834236
P01,MRHand,Outer,3,0.42284467432597106
P01,MRHand,Outer,4,0.2785603287995133
P01,MRHand,Outer,5,0.19055553491496552
P01,MRHand,Outer,6,0.23844700594281354
P02,MRHand,Inner,1,0.20541682697599645
P02,MRHand,Inner,2,0.3721947044122976
P02,MRHand,Inner,3,0.3115380295485827
P02,MRHand,Inner,4,0.289100457499574
P02,MRHand,Inner,5,0.26666991635862347
P02,MRHand,Inner,6,0.2831338267166462
P02,MRHand,Outer,1,0.21435034166168876
P02,MRHand,Outer,2,0.3221815224285973
P02,MRHand,Outer,3,0.2993876169398129
P02,MRHand,Outer,4,0.2711561279453984
P02,MRHand,Outer,5,0.2121191927476794
P02,MRHand,Outer,6,0.25142758382423375
P03,MRHand,Inner,1,0.0807880215003529
P03,MRHand,Outer,1,0.07853636837305727
P03,MRHand,Outer,2,0.09233940751640489
P04,MRHand,Inner,1,0.3355828629659687
P04,MRHand,Inner,2,0.39442048748257785
P04,MRHand,Inner,3,0.23851476233342944
P04,MRHand,Inner,4,0.37186622614516074
P04,MRHand,Inner,5,0.38431837168082866
P04,MRHand,Inner,6,0.3119365079426303
P04,MRHand,Outer,1,0.221905414037468
P04,MRHand,Outer,2,0.3641275105195558
P04,MRHand,Outer,3,0.3423367055121206
P04,MRHand,Outer,4,0.40374806108349554
P04,MRHand,Outer,5,0.398533084091374
P04,MRHand,Outer,6,0.28233619036155466
P05,MRHand,Inner,1,0.2581331377434778
P05,MRHand,Inner,2,0.16792860149215066
P05,MRHand,Inner,3,0.22524132138166908
P05,MRHand,Inner,4,0.1688934551094009
P05,MRHand,Inner,5,0.29507262929949296
P05,MRHand,Outer,1,0.24406329062725943
P05,MRHand,Outer,2,0.22811084440451418
P05,MRHand,Outer,3,0.19807324943491267
P05,MRHand,Outer,4,0.16251692297829728
P05,MRHand,Outer,5,0.30467518825970225
P06,MRHand,Inner,1,0.2098907384390914
P06,MRHand,Inner,2,0.20162439098936458
P06,MRHand,Inner,3,0.10413384725491412
P06,MRHand,Outer,1,0.25393574396331825
P06,MRHand,Outer,2,0.1808646717431957
P06,MRHand,Outer,3,0.11340478292698203
P07,MRHand,Inner,1,0.3311224426072087
P07,MRHand,Inner,2,0.3243441367205948
P07,MRHand,Inner,3,0.4053801436303901
P07,MRHand,Inner,4,0.396040936643056
P07,MRHand,Inner,5,0.29470990124436075
P07,MRHand,Inner,6,0.2768090794529956
P07,MRHand,Outer,1,0.3674557104394446
P07,MRHand,Outer,2,0.28453809558021803
P07,MRHand,Outer,3,0.30751946322819934
P07,MRHand,Outer,4,0.34629773954987053
P07,MRHand,Outer,5,0.3303867156163237
P07,MRHand,Outer,6,0.35116104469448356
P09,MRHand,Inner,1,0.40331369017943053
P09,MRHand,Inner,2,0.2811232961287504
P09,MRHand,Inner,3,0.3205448635419762
P09,MRHand,Inner,4,0.34592630877454467
P09,MRHand,Inner,5,0.34606165858718574
P09,MRHand,Inner,6,0.4289881164740187
P09,MRHand,Outer,1,0.2548184573521307
P09,MRHand,Outer,2,0.3233253628489894
P09,MRHand,Outer,3,0.29335676865745147
P09,MRHand,Outer,4,0.3784045085482865
P09,MRHand,Outer,5,0.3476981454923369
P09,MRHand,Outer,6,0.38959937816794
P10,MRHand,Inner,1,0.4375059975372988
P10,MRHand,Inner,2,0.3971003054352862
P10,MRHand,Inner,3,0.5071752600967563
P10,MRHand,Inner,4,0.2924727485644413
P10,MRHand,Inner,5,0.2727278141006254
P10,MRHand,Inner,6,0.28176397762372185
P10,MRHand,Outer,1,0.22205751459582973
P10,MRHand,Outer,2,0.44112655146767094
P10,MRHand,Outer,3,0.4026871072639432
P10,MRHand,Outer,4,0.33306333894462714
P10,MRHand,Outer,5,0.3912725298600285
P10,MRHand,Outer,6,0.21763081363907794
P11,MRHand,Inner,1,0.20771332453940866
P11,MRHand,Inner,2,0.29765381241344396
P11,MRHand,Inner,3,0.3315102285276782
P11,MRHand,Inner,4,0.32309937396569144
P11,MRHand,Inner,5,0.25845204183131487
P11,MRHand,Inner,6,0.24539910844741297
P11,MRHand,Outer,1,0.27608789345793555
P11,MRHand,Outer,2,0.3246393794194047
P11,MRHand,Outer,3,0.3169353111101724
P11,MRHand,Outer,4,0.3501594058342222
P11,MRHand,Outer,5,0.3086639027982223
P11,MRHand,Outer,6,0.2553498874328016
