Subject,Object,Surface,Repetition,ChannelAvg
P01,MRPen,Inner,1,0.4144309448270852
P01,MRPen,Inner,2,0.27293682041529144
P01,MRPen,Inner,3,0.2890738445912616
P01,MRPen,Inner,4,0.3371587215964338
P01,MRPen,Inner,5,0.27800482091599
P01,MRPen,Inner,6,0.28289661811952405
P01,MRPen,Outer,1,0.3666220581715286
P01,MRPen,Outer,2,0.2577633932906913
P01,MRPen,Outer,3,0.2944555052066492
P01,MRPen,Outer,4,0.22088218189557524
P01,MRPen,Outer,5,0.30709884877593735
P01,MRPen,Outer,6,0.31061134484204145
P02,MRPen,Inner,1,0.4706412892783408
P02,MRPen,Inner,2,0.32373013921657623
P02,MRPen,Inner,3,0.4055250210876133
P02,MRPen,Inner,4,0.326651724397267
P02,MRPen,Inner,5,0.3456569821459325
P02,MRPen,Inner,6,0.30210857334484365
P02,MRPen,Outer,1,0.15584515753928288
P02,MRPen,Outer,2,0.2706880551961969
P02,MRPen,Outer,3,0.2612568737845749
P02,MRPen,Outer,4,0.32728637535955607
P02,MRPen,Outer,5,0.29222454715175794
P02,MRPen,Outer,6,0.2717578975617238
P03,MRPen,Inner,1,0.20743637226875528
P03,MRPen,Inner,2,0.22769680542330106
P03,MRPen,Inner,3,0.1865304785250191
P03,MRPen,Inner,4,0.2472464491667098
P03,MRPen,Inner,5,0.2893841153287263
P03,MRPen,Outer,1,0.2573580490080486
P03,MRPen,Outer,2,0.15082832583029385
P03,MRPen,Outer,3,0.230604476651867
P03,MRPen,Outer,4,0.1591132475123319
P03,MRPen,Outer,5,0.21165724322219567
P04,MRPen,Inner,1,0.34943328587981376
P04,MRPen,Inner,2,0.331756374296202
P04,MRPen,Inner,3,0.39307194353670094
P04,MRPen,Inner,4,0.35404739918595596
P04,MRPen,Inner,5,0.36028915762811187
P04,MRPen,Outer,1,0.27764109342842647
P04,MRPen,Outer,2,0.28838409433508266
P04,MRPen,Outer,3,0.3182356932198123
P04,MRPen,Outer,4,0.3884549615277342
P04,MRPen,Outer,5,0.36090813141729444
P05,MRPen,Inner,1,0.28391540659605996
P05,MRPen,Inner,2,0.2601908739698534
P05,MRPen,Inner,3,0.2965026549871149
P05,MRPen,Inner,4,0.22739756756235685
P05,MRPen,Inner,5,0.1786459067944646
P05,MRPen,Inner,6,0.25781259817025803
P05,MRPen,Outer,1,0.2521069527841219
P05,MRPen,Outer,2,0.11907211926095088
P05,MRPen,Outer,3,0.20754957652742567
P05,MRPen,Outer,4,0.16979793132162002
P05,MRPen,Outer,5,0.2636351760764342
P05,MRPen,Outer,6,0.17224733069783488
P06,MRPen,Inner,1,0.10871265474767228
P06,MRPen,Inner,2,0.10623398836491758
P06,MRPen,Inner,3,0.12949626363293273
P06,MRPen,Inner,4,0.1354644032382053
P06,MRPen,Outer,1,0.20141181960242852
P06,MRPen,Outer,2,0.1055459283108567
P06,MRPen,Outer,3,0.11821674401841684
P06,MRPen,Outer,4,0.13246868286687258
P07,MRPen,Inner,1,0.3535622522897213
P07,MRPen,Inner,2,0.40394555572364366
P07,MRPen,Inner,3,0.3586842079121705
P07,MRPen,Inner,4,0.3544983589938718
P07,MRPen,Inner,5,0.37430404345563617
P07,MRPen,Inner,6,0.30086308260369254
P07,MRPen,Outer,1,0.3470319888189699
P07,MRPen,Outer,2,0.33797445308794516
P07,MRPen,Outer,3,0.2975351669239493
P07,MRPen,Outer,4,0.39088838242594615
P07,MRPen,Outer,5,0.3147705628126177
P07,MRPen,Outer,6,0.3973085715328004
P09,MRPen,Inner,1,0.3221967577341605
P09,MRPen,Inner,2,0.5147164265821074
P09,MRPen,Inner,3,0.38029523510418584
P09,MRPen,Inner,4,0.4196802832795823
P09,MRPen,Inner,5,0.4569371688473436
P09,MRPen,Inner,6,0.40466520574965914
P09,MRPen,Outer,1,0.39445929953271053
P09,MRPen,Outer,2,0.426149682982087
P09,MRPen,Outer,3,0.35962778603790085
P09,MRPen,Outer,4,0.31827678575497087
P09,MRPen,Outer,5,0.3649303910825721
P09,MRPen,Outer,6,0.3562757255250415
P10,MRPen,Inner,1,0.18981762722924916
P10,MRPen,Inner,2,0.22686841975748642
P10,MRPen,Inner,3,0.3086306810086845
P10,MRPen,Inner,4,0.31971070648300576
P10,MRPen,Inner,5,0.29758178347179887
P10,MRPen,Inner,6,0.3200792180069071
P10,MRPen,Outer,1,0.20866010507012517
P10,MRPen,Outer,2,0.30290810166389914
P10,MRPen,Outer,3,0.24998176131677127
P10,MRPen,Outer,4,0.2521937051164013
P10,MRPen,Outer,5,0.3406172934718469
P10,MRPen,Outer,6,0.2253348861128911
P11,MRPen,Inner,1,0.3201280467396562
P11,MRPen,Inner,2,0.37317797456510216
P11,MRPen,Inner,3,0.39173151268305756
P11,MRPen,Inner,4,0.3579537705020579
P11,MRPen,Inner,5,0.4054654359920256
P11,MRPen,Inner,6,0.2053684673815208
P11,MRPen,Outer,1,0.2752436395909809
P11,MRPen,Outer,2,0.3724562409993314
P11,MRPen,Outer,3,0.3787262460745891
P11,MRPen,Outer,4,0.3626035366155528
P11,MRPen,Outer,5,0.37169505720153967
P11,MRPen,Outer,6,0.36554370436448913
