Subject,Object,Surface,Repetition,ChannelAvg
P03,VRController,Inner,1,0.34633316241639245
P03,VRController,Inner,2,0.2708000591802851
P03,VRController,Inner,3,0.3291507934729524
P03,VRController,Inner,4,0.37143748314501024
P03,VRController,Inner,5,0.3358528429370006
P03,VRController,Inner,6,0.2917271523235122
P03,VRController,Outer,1,0.24050236880731662
P03,VRController,Outer,2,0.21843184711859898
P03,VRController,Outer,3,0.3403233745056099
P03,VRController,Outer,4,0.2762636135967877
P03,VRController,Outer,5,0.34836132518802654
P03,VRController,Outer,6,0.20834147096382125
P04,VRController,Inner,1,0.4315857175765695
P04,VRController,Inner,2,0.37475162599149686
P04,VRController,Inner,3,0.47333834722775037
P04,VRController,Inner,4,0.27961753557959756
P04,VRController,Inner,5,0.525963721032528
P04,VRController,Inner,6,0.40946550692707767
P04,VRController,Outer,1,0.44820889411107884
P04,VRController,Outer,2,0.2527509762802662
P04,VRController,Outer,3,0.46175335111356597
P04,VRController,Outer,4,0.282780601978904
P04,VRController,Outer,5,0.5331862500812463
P04,VRController,Outer,6,0.4897851169586395
P05,VRController,Inner,1,0.21564315737829087
P05,VRController,Inner,2,0.49078041348137
P05,VRController,Inner,3,0.47554655646547117
P05,VRController,Inner,4,0.2236141080484521
P05,VRController,Inner,5,0.25724064170952654
P05,VRController,Inner,6,0.2869015378920131
P05,VRController,Outer,1,0.29892614947729346
P05,VRController,Outer,2,0.43842791819342575
P05,VRController,Outer,3,0.46364832817905777
P05,VRController,Outer,4,0.2648841759888088
P05,VRController,Outer,5,0.17450902228018175
P05,VRController,Outer,6,0.22560322160536944
P06,VRController,Inner,1,0.43456513862344437
P06,VRController,Inner,2,0.44558926007871463
P06,VRController,Inner,3,0.5133206913506891
P06,VRController,Inner,4,0.444773820616736
P06,VRController,Inner,5,0.3521075285367127
P06,VRController,Inner,6,0.2857138937130864
P06,VRController,Outer,1,0.41807933523548485
P06,VRController,Outer,2,0.15786538752975543
P06,VRController,Outer,3,0.4182545559188144
P06,VRController,Outer,4,0.5207728394074553
P06,VRController,Outer,5,0.40766625583882576
P06,VRController,Outer,6,0.36156210974307534
P07,VRController,Inner,1,0.43753389025338235
P07,VRController,Inner,2,0.42453936916175683
P07,VRController,Inner,3,0.5326051997017414
P07,VRController,Inner,4,0.39397526934455196
P07,VRController,Inner,5,0.40363267534157
P07,VRController,Inner,6,0.4604346862974712
P07,VRController,Outer,1,0.36791375641762775
P07,VRController,Outer,2,0.4132313778733645
P07,VRController,Outer,3,0.29630231248162364
P07,VRController,Outer,4,0.3988657370547084
P07,VRController,Outer,5,0.37693629319092514
P07,VRController,Outer,6,0.30891434507860394
P08,VRController,Inner,1,0.36256093713076554
P08,VRController,Inner,2,0.38250064880154055
P08,VRController,Inner,3,0.3669910800110128
P08,VRController,Inner,4,
P08,VRController,Inner,5,0.3436436623870495
P08,VRController,Inner,6,0.28356879791883527
P08,VRController,Outer,1,0.4098428204329361
P08,VRController,Outer,2,0.37447244492719794
P08,VRController,Outer,3,0.35184620136693945
P08,VRController,Outer,4,0.24669822515182477
P08,VRController,Outer,5,0.21974361396634973
P08,VRController,Outer,6,0.4583983144874383
P09,VRController,Inner,1,0.3210089499081027
P09,VRController,Inner,2,0.31903698958515214
P09,VRController,Inner,3,0.30178745189199985
P09,VRController,Inner,4,0.2624049192388214
P09,VRController,Inner,5,0.2691476767237988
P09,VRController,Inner,6,0.35622718595300107
P09,VRController,Outer,1,0.366550071328791
P09,VRController,Outer,2,0.3151349518110914
P09,VRController,Outer,3,0.42992836726450867
P09,VRController,Outer,4,0.46446604517412904
P09,VRController,Outer,5,0.2537120288642788
P09,VRController,Outer,6,0.335063423668748
P10,VRController,Inner,1,0.5295990569868179
P10,VRController,Inner,2,0.5400404320307699
P10,VRController,Inner,3,0.5446628496931711
P10,VRController,Inner,4,0.5046872009761472
P10,VRController,Inner,5,0.2583773790391847
P10,VRController,Inner,6,0.26663932043511207
P10,VRController,Outer,1,0.5372802115383882
P10,VRController,Outer,2,0.45070835829493805
P10,VRController,Outer,3,0.4726605682651495
P10,VRController,Outer,4,0.334712879070204
P10,VRController,Outer,5,0.26223144190839665
P10,VRController,Outer,6,0.22963972632083848
