Subject,Object,Surface,Repetition,ChannelAvg
P03,VRHand,Inner,1,0.3776414721452439
P03,VRHand,Inner,2,0.3959444100275968
P03,VRHand,Inner,3,0.44231188373310415
P03,VRHand,Inner,4,0.17183677915491613
P03,VRHand,Inner,5,0.3840325198928526
P03,VRHand,Inner,6,0.4639806567952066
P03,VRHand,Outer,1,0.24439579815736234
P03,VRHand,Outer,2,0.42614678971077524
P03,VRHand,Outer,3,0.4385569479008177
P03,VRHand,Outer,4,0.39789196583808895
P03,VRHand,Outer,5,
P03,VRHand,Outer,6,0.40756970613984483
P04,VRHand,Inner,1,0.32572343110228974
P04,VRHand,Inner,2,0.34984344074988777
P04,VRHand,Inner,3,0.3548846602799789
P04,VRHand,Inner,4,0.40262051589467696
P04,VRHand,Inner,5,0.31938782197688387
P04,VRHand,Inner,6,0.4660748509958436
P04,VRHand,Outer,1,0.26293773071872717
P04,VRHand,Outer,2,0.3051474449113075
P04,VRHand,Outer,3,0.39139912408505645
P04,VRHand,Outer,4,0.32782471250205114
P04,VRHand,Outer,5,0.42946731075458366
P04,VRHand,Outer,6,0.4294304301599103
P05,VRHand,Inner,1,0.36331858920729493
P05,VRHand,Inner,2,0.42821442106536006
P05,VRHand,Inner,3,0.4105605791640634
P05,VRHand,Inner,4,0.2512611512942088
P05,VRHand,Inner,5,0.1632421346237687
P05,VRHand,Inner,6,0.29956834384336994
P05,VRHand,Outer,1,0.21041814464770053
P05,VRHand,Outer,2,0.40102700213511233
P05,VRHand,Outer,3,0.23362535511419874
P05,VRHand,Outer,4,0.24856642905905774
P05,VRHand,Outer,5,0.24412439283396864
P05,VRHand,Outer,6,0.260428510871575
P06,VRHand,Inner,1,0.31839828635801504
P06,VRHand,Inner,2,0.5371515612175388
P06,VRHand,Inner,3,0.4503869453611962
P06,VRHand,Inner,4,0.40731254116329485
P06,VRHand,Inner,5,0.2864389345770694
P06,VRHand,Inner,6,0.3483465777625867
P06,VRHand,Outer,1,0.443173431269936
P06,VRHand,Outer,2,0.5003830332113577
P06,VRHand,Outer,3,0.46257413990133955
P06,VRHand,Outer,4,0.5111756109935923
P06,VRHand,Outer,5,0.26987100475217257
P06,VRHand,Outer,6,0.2756629003595448
P07,VRHand,Inner,1,0.33967717018694815
P07,VRHand,Inner,2,0.43377585609701513
P07,VRHand,Inner,3,0.185591170389386
P07,VRHand,Inner,4,0.24667224269743698
P07,VRHand,Inner,5,0.31634583608447486
P07,VRHand,Inner,6,0.38039798437439876
P07,VRHand,Outer,1,0.37138907206974636
P07,VRHand,Outer,2,0.35850986390016043
P07,VRHand,Outer,3,0.3894553967676442
P07,VRHand,Outer,4,0.2402670564408581
P07,VRHand,Outer,5,0.341937244671364
P07,VRHand,Outer,6,0.32467195483936073
P08,VRHand,Inner,1,0.28553322701264694
P08,VRHand,Inner,2,0.3758752838952769
P08,VRHand,Inner,3,0.39976581716570037
P08,VRHand,Inner,4,0.36896456086697793
P08,VRHand,Inner,5,0.39742443794994076
P08,VRHand,Inner,6,0.3530275861159823
P08,VRHand,Outer,1,0.267367800263368
P08,VRHand,Outer,2,0.3442815568139119
P08,VRHand,Outer,3,0.3893269539135231
P08,VRHand,Outer,4,0.42365410931647524
P08,VRHand,Outer,5,0.4044212115875394
P08,VRHand,Outer,6,0.323793534088341
P09,VRHand,Inner,1,0.45413839644510867
P09,VRHand,Inner,2,0.43199999544359435
P09,VRHand,Inner,3,0.439803649236975
P09,VRHand,Inner,4,0.21974449532776114
P09,VRHand,Inner,5,0.24439906767386027
P09,VRHand,Inner,6,0.26397849416477226
P09,VRHand,Outer,1,0.4441620771150332
P09,VRHand,Outer,2,0.3985352912340196
P09,VRHand,Outer,3,0.41194271573824925
P09,VRHand,Outer,4,0.3001274303511403
P09,VRHand,Outer,5,0.23735704159582344
P09,VRHand,Outer,6,0.30637984085238396
P10,VRHand,Inner,1,0.0998025084216662
P10,VRHand,Inner,2,0.22841268437757928
P10,VRHand,Inner,3,0.3107187798744514
P10,VRHand,Inner,4,0.38987944518226364
P10,VRHand,Inner,5,0.4155124807989594
P10,VRHand,Inner,6,0.25454176142280055
P10,VRHand,Outer,1,0.31439644130791267
P10,VRHand,Outer,2,0.26088414316239056
P10,VRHand,Outer,3,0.2805008999865333
P10,VRHand,Outer,4,0.3922183612947386
P10,VRHand,Outer,5,0.4382621779089475
P10,VRHand,Outer,6,0.30047228910123336
