Subject,Object,Surface,Repetition,ChannelAvg
P03,VRPen,Inner,1,0.4192801270690882
P03,VRPen,Inner,2,0.354140522851747
P03,VRPen,Inner,3,0.3285248515209289
P03,VRPen,Inner,4,0.3818911628848275
P03,VRPen,Inner,5,0.4082355131280324
P03,VRPen,Inner,6,0.3846481536095956
P03,VRPen,Outer,1,0.33771007877186227
P03,VRPen,Outer,2,0.3701685275967209
P03,VRPen,Outer,3,0.36607177224377185
P03,VRPen,Outer,4,0.3370102904887286
P03,VRPen,Outer,5,0.37031830984894976
P03,VRPen,Outer,6,0.3423875758623538
P04,VRPen,Inner,1,0.3205736889773951
P04,VRPen,Inner,2,0.365530920242383
P04,VRPen,Inner,3,0.3500774659120733
P04,VRPen,Inner,4,0.37948291447705945
P04,VRPen,Inner,5,0.3020803108344444
P04,VRPen,Inner,6,0.2768887802368639
P04,VRPen,Outer,1,0.2108569904228884
P04,VRPen,Outer,2,0.341589207553914
P04,VRPen,Outer,3,0.34460148698566784
P04,VRPen,Outer,4,0.3741536522826442
P04,VRPen,Outer,5,0.26412043294097026
P04,VRPen,Outer,6,0.36368317277112316
P05,VRPen,Inner,1,0.42886374031968855
P05,VRPen,Inner,2,0.14019658939328145
P05,VRPen,Inner,3,0.203710805573778
P05,VRPen,Inner,4,0.1885342072438161
P05,VRPen,Inner,5,0.2665436246897403
P05,VRPen,Inner,6,0.2986946585932778
P05,VRPen,Outer,1,0.485879560222495
P05,VRPen,Outer,2,0.40708546227375186
P05,VRPen,Outer,3,0.275281267168071
P05,VRPen,Outer,4,0.2713545305491931
P05,VRPen,Outer,5,0.31159240850634773
P05,VRPen,Outer,6,0.2356339125914722
P06,VRPen,Inner,1,0.22371814867452922
P06,VRPen,Inner,2,0.40409031634411396
P06,VRPen,Inner,3,0.3701194415497697
P06,VRPen,Inner,4,0.37353761240181127
P06,VRPen,Inner,5,0.37177448656181594
P06,VRPen,Inner,6,0.22492967407953005
P06,VRPen,Outer,1,0.310842994630835
P06,VRPen,Outer,2,0.18226659001352818
P06,VRPen,Outer,3,0.2324489496371748
P06,VRPen,Outer,4,0.420258857549866
P06,VRPen,Outer,5,0.4583346005144501
P06,VRPen,Outer,6,0.24906938842071227
P07,VRPen,Inner,1,0.4870224395186698
P07,VRPen,Inner,2,0.5629481599768922
P07,VRPen,Inner,3,0.4934600056106924
P07,VRPen,Inner,4,0.5255141788074306
P07,VRPen,Inner,5,0.5060380601580969
P07,VRPen,Inner,6,0.5820980548317509
P07,VRPen,Outer,1,0.4635862293160373
P07,VRPen,Outer,2,0.4780342896788154
P07,VRPen,Outer,3,0.6006137501922377
P07,VRPen,Outer,4,0.5353409351692672
P07,VRPen,Outer,5,0.5593367220022821
P07,VRPen,Outer,6,0.5939625659983871
P08,VRPen,Inner,1,0.28503425294703383
P08,VRPen,Inner,2,0.28673466080249776
P08,VRPen,Inner,3,0.335299686794393
P08,VRPen,Inner,4,0.34117308041319244
P08,VRPen,Inner,5,0.3787351023618628
P08,VRPen,Inner,6,0.3277985610723504
P08,VRPen,Outer,1,0.338601540114537
P08,VRPen,Outer,2,0.2937211895415497
P08,VRPen,Outer,3,0.35300563392634265
P08,VRPen,Outer,4,0.284509348374005
P08,VRPen,Outer,5,0.2830024727471614
P08,VRPen,Outer,6,0.3957086874844816
P09,VRPen,Inner,1,0.3451410455257179
P09,VRPen,Inner,2,0.3736930915854152
P09,VRPen,Inner,3,0.3175053063270964
P09,VRPen,Inner,4,0.34549410131883684
P09,VRPen,Inner,5,0.3959699443349405
P09,VRPen,Inner,6,0.3374064997683542
P09,VRPen,Outer,1,0.3374458363390074
P09,VRPen,Outer,2,0.369678327534967
P09,VRPen,Outer,3,0.3693464348647105
P09,VRPen,Outer,4,0.39160419445020234
P09,VRPen,Outer,5,0.35050801159195877
P09,VRPen,Outer,6,0.36064456455404614
P10,VRPen,Inner,1,0.4757535230858285
P10,VRPen,Inner,2,0.42630085919076444
P10,VRPen,Inner,3,0.3042823549564473
P10,VRPen,Inner,4,0.4538969270986708
P10,VRPen,Inner,5,0.318065786097563
P10,VRPen,Inner,6,0.32375697704204875
P10,VRPen,Outer,1,0.3887673955058309
P10,VRPen,Outer,2,0.46994436009569873
P10,VRPen,Outer,3,0.41151912104011734
P10,VRPen,Outer,4,0.44715277603545156
P10,VRPen,Outer,5,0.13426711056876534
P10,VRPen,Outer,6,0.33381237507817485
