Timestamp, Angle x, Angle y, Angle z, Marker
20,-1.00587,0.398276,2.82321,0
60,-1.00758,0.403634,2.81879,0
80,-1.00623,0.399196,2.81831,0
100,-1.00342,0.394436,2.81873,0
120,-1.00118,0.392594,2.81945,0
130,-1.00111,0.395076,2.81999,0
150,-1.00402,0.400521,2.82089,0
170,-1.00779,0.40628,2.82104,0
190,-1.01123,0.410212,2.82018,0
210,-1.01347,0.412183,2.81827,0
230,-1.01368,0.411273,2.81574,0
250,-1.01085,0.406971,2.81513,0
260,-1.0069,0.401218,2.81637,0
260,-1.00312,0.39697,2.81823,0
300,-1.00061,0.396354,2.81903,0
310,-1.00015,0.39971,2.8184,0
330,-1.00128,0.404777,2.81672,0
350,-1.00284,0.409335,2.81465,0
370,-1.00354,0.410879,2.81234,0
390,-1.00238,0.408758,2.80985,0
410,-0.999352,0.403719,2.80831,0
430,-0.995305,0.39859,2.80813,0
450,-0.991447,0.396098,2.80937,0
470,-0.990303,0.396789,2.81058,0
500,-0.996668,0.40554,2.81574,0
540,-1.00901,0.408476,2.82086,0
560,-1.01014,0.404478,2.82257,0
570,-1.00802,0.398649,2.82689,0
590,-1.00576,0.393471,2.83269,0
610,-1.00348,0.390825,2.83828,0
630,-1.00232,0.392488,2.84245,0
650,-1.00266,0.396977,2.8449,0
670,-1.00474,0.402299,2.84545,0
690,-1.00753,0.405304,2.84469,0
710,-1.01063,0.405437,2.84295,0
730,-1.00359,0.389235,2.84413,0
750,-1.00142,0.390507,2.84498,0
770,-1.00223,0.39434,2.84457,0
780,-1.00488,0.398766,2.84375,0
810,-1.00778,0.400089,2.84315,0
830,-1.00637,0.39688,2.84361,0
860,-1.00203,0.392647,2.84633,0
880,-1.00263,0.393516,2.84747,0
900,-1.00522,0.395463,2.84803,0
930,-1.01026,0.398245,2.84867,0
960,-1.01042,0.398588,2.8485,0
980,-1.0096,0.398937,2.84828,0
1000,-1.01024,0.399716,2.84759,0
1020,-1.01192,0.400369,2.84673,0
1050,-1.01652,0.402813,2.84476,0
1070,-1.01716,0.404401,2.84393,0
1090,-1.01738,0.40702,2.84308,0
1110,-1.01898,0.40909,2.84184,0
1130,-1.02265,0.410646,2.84088,0
1150,-1.0288,0.412616,2.8411,0
1170,-1.03659,0.41449,2.84202,0
1190,-1.04173,0.415507,2.84388,0
1210,-1.04208,0.416883,2.84639,0
1230,-1.04011,0.418705,2.84853,0
1250,-1.03983,0.419787,2.84994,0
1290,-1.03836,0.418461,2.85122,0
1310,-1.03385,0.416105,2.85103,0
1330,-1.02758,0.41345,2.85043,0
1350,-1.02209,0.410526,2.84962,0
1360,-1.0182,0.407494,2.84813,0
1380,-1.01501,0.404125,2.84629,0
1400,-1.01203,0.400731,2.84467,0
1420,-1.00959,0.397441,2.84326,0
1440,-1.00946,0.395166,2.84227,0
1460,-1.01168,0.393913,2.84119,0
1470,-1.01657,0.392986,2.84011,0
1490,-1.02407,0.393078,2.83922,0
1510,-1.03539,0.396476,2.83899,0
1530,-1.04735,0.400498,2.84038,0
1550,-1.06213,0.406077,2.84087,0
1570,-1.07979,0.413005,2.84056,0
1590,-1.09653,0.420648,2.84094,0
1610,-1.11218,0.427704,2.84236,0
1630,-1.12539,0.434104,2.84467,0
1650,-1.13543,0.439437,2.84752,0
1670,-1.14135,0.44266,2.85028,0
1690,-1.1425,0.444097,2.85308,0
1710,-1.13787,0.443905,2.85598,0
1730,-1.12449,0.439908,2.85867,0
1750,-1.09811,0.434099,2.86144,0
1770,-1.06226,0.424136,2.86381,0
1790,-1.02346,0.416838,2.86545,0
1810,-0.99515,0.408003,2.86461,0
1830,-0.982837,0.401763,2.86082,0
1850,-0.981828,0.401988,2.85611,0
1870,-0.984695,0.403438,2.85207,0
1890,-0.984279,0.400836,2.85066,0
1910,-0.976796,0.395368,2.85413,0
1930,-0.967332,0.391752,2.85994,0
1960,-1.01203,0.400412,2.87092,0
1980,-1.0271,0.401697,2.87203,0
2000,-1.03635,0.402136,2.8729,0
2020,-1.04185,0.403357,2.87264,0
2040,-1.04623,0.405954,2.87003,0
2060,-1.05125,0.410915,2.86479,0
2080,-1.05761,0.417559,2.85809,0
2100,-1.06351,0.425109,2.85163,0
2110,-1.0681,0.431747,2.84664,0
2130,-1.07216,0.436472,2.84325,0
2150,-1.07785,0.439412,2.84096,0
2170,-1.08626,0.441039,2.83909,0
2210,-1.11501,0.441946,2.83727,0
2230,-1.11692,0.441005,2.83879,0
2250,-1.11454,0.4391,2.84089,0
2270,-1.10923,0.436393,2.84234,0
2290,-1.1023,0.433402,2.84275,0
2310,-1.09392,0.430584,2.84286,0
2330,-1.08185,0.427466,2.84358,0
2350,-1.0634,0.421571,2.84486,0
2370,-1.03931,0.413092,2.84662,0
2390,-1.01356,0.404271,2.84701,0
2410,-0.994148,0.396851,2.844,0
2430,-0.98387,0.390543,2.8371,0
2450,-0.980104,0.386073,2.82828,0
2470,-0.97896,0.382854,2.82128,0
2490,-0.976442,0.381077,2.81806,0
2510,-0.970776,0.380326,2.8196,0
2530,-0.965219,0.380459,2.82466,0
2570,-0.966827,0.383392,2.835,0
2580,-0.991799,0.390178,2.84273,0
2600,-1.00511,0.392868,2.84753,0
2620,-1.01323,0.394157,2.85327,0
2640,-1.01368,0.394157,2.85876,0
2660,-1.0092,0.394098,2.86277,0
2680,-1.00307,0.393887,2.86421,0
2700,-0.998277,0.394327,2.86421,0
2720,-0.993074,0.395388,2.86399,0
2740,-0.986994,0.395984,2.86672,0
2760,-0.97573,0.393235,2.8711,0
2780,-0.964873,0.386819,2.87794,0
2800,-0.961608,0.37416,2.88533,0
2820,-0.965592,0.356172,2.89269,0
2840,-0.976074,0.333191,2.90032,0
2860,-0.989791,0.306845,2.90679,0
2880,-1.00395,0.277166,2.91262,0
2900,-1.01402,0.240848,2.92062,0
2920,-1.02133,0.199845,2.92854,0
2950,-1.03693,0.112828,2.94325,0
2970,-1.0481,0.0686599,2.95083,0
3030,-1.11252,-0.137325,2.99752,0
3050,-1.12226,-0.15825,3.00138,0
3070,-1.13265,-0.174687,3.00485,0
3090,-1.14113,-0.187345,3.00715,0
3110,-1.14628,-0.195604,3.00845,0
3130,-1.15073,-0.201663,3.00922,0
3150,-1.15395,-0.205999,3.00882,0
3170,-1.15686,-0.208303,3.00813,0
3190,-1.16037,-0.209046,3.0075,0
3210,-1.16374,-0.209132,3.00717,0
3230,-1.16477,-0.209199,3.00727,0
3250,-1.16285,-0.209581,3.0074,0
3270,-1.16169,-0.211177,3.00763,0
3290,-1.16176,-0.213129,3.00847,0
3310,-1.16244,-0.215118,3.00981,0
3330,-1.16297,-0.217678,3.01093,0
3350,-1.16411,-0.220308,3.01228,0
3370,-1.16587,-0.222911,3.01381,0
3390,-1.16764,-0.225168,3.01541,0
3410,-1.17017,-0.227403,3.01721,0
3430,-1.17283,-0.229956,3.01836,0
3450,-1.17516,-0.232004,3.01929,0
3470,-1.17751,-0.233843,3.02054,0
3490,-1.17956,-0.235633,3.02159,0
3510,-1.18114,-0.236845,3.02252,0
3530,-1.18365,-0.237873,3.02371,0
3550,-1.18567,-0.238359,3.0245,0
3570,-1.18783,-0.23871,3.0255,0
3590,-1.18924,-0.239499,3.02615,0
3610,-1.19039,-0.240655,3.02687,0
3630,-1.19134,-0.2417,3.02705,0
3650,-1.19304,-0.242374,3.0275,0
3670,-1.19488,-0.242809,3.0281,0
3690,-1.19585,-0.243303,3.02866,0
3710,-1.19649,-0.244257,3.02892,0
3730,-1.19727,-0.245184,3.02901,0
3750,-1.19867,-0.245766,3.02952,0
3770,-1.20005,-0.246017,3.02966,0
3790,-1.20128,-0.246262,3.02979,0
3810,-1.20248,-0.246521,3.03007,0
3820,-1.2036,-0.247233,3.03035,0
3850,-1.2039,-0.248104,3.03022,0
3870,-1.20424,-0.249015,3.03027,2000
3890,-1.20477,-0.250096,3.03076,0
3910,-1.20546,-0.251427,3.03113,0
3930,-1.20564,-0.252765,3.03116,0
3940,-1.20648,-0.253692,3.03172,0
3960,-1.20777,-0.254738,3.0324,0
3980,-1.20904,-0.255824,3.03281,0
4000,-1.21034,-0.256847,3.03333,0
4020,-1.21239,-0.257486,3.03411,0
4040,-1.21474,-0.258022,3.0347,0
4060,-1.21564,-0.258135,3.03471,0
4080,-1.21596,-0.258668,3.03466,0
4100,-1.2158,-0.259074,3.03447,0
4120,-1.21562,-0.259666,3.03381,0
4140,-1.21507,-0.260096,3.03285,0
4160,-1.21455,-0.25993,3.03193,0
4180,-1.21403,-0.259978,3.03131,0
4200,-1.21339,-0.259958,3.03078,0
4220,-1.21213,-0.259855,3.03045,0
4240,-1.21123,-0.259884,3.03023,0
4260,-1.21011,-0.259756,3.02974,0
4280,-1.20887,-0.259929,3.02944,0
4300,-1.20888,-0.260103,3.02941,0
4320,-1.20923,-0.260626,3.0298,0
4340,-1.20975,-0.26099,3.03025,0
4360,-1.21012,-0.261543,3.03082,0
4380,-1.21096,-0.261712,3.03161,0
4400,-1.21212,-0.261828,3.03256,0
4420,-1.21274,-0.262228,3.03274,0
4440,-1.21391,-0.262856,3.03359,0
4460,-1.21329,-0.26299,3.03498,0
4480,-1.21238,-0.264234,3.0362,0
4500,-1.21126,-0.265333,3.03655,0
4520,-1.21164,-0.265567,3.03735,0
4540,-1.21387,-0.265487,3.03857,0
4560,-1.21845,-0.266245,3.04015,0
4580,-1.22278,-0.266697,3.03953,0
4600,-1.2267,-0.266975,3.0389,0
4620,-1.22959,-0.267582,3.04052,0
4640,-1.23086,-0.268087,3.04389,0
4660,-1.23305,-0.268996,3.04855,0
4680,-1.23899,-0.271578,3.05328,0
4700,-1.24738,-0.273475,3.05796,0
4720,-1.25433,-0.274991,3.06347,0
4740,-1.2586,-0.277256,3.07034,0
4760,-1.26233,-0.280091,3.07819,0
4780,-1.2658,-0.283398,3.08593,0
4800,-1.27101,-0.287412,3.09446,0
4820,-1.2767,-0.291375,3.10457,0
4840,-1.28114,-0.296546,3.11549,0
4860,-1.28619,-0.304651,3.12751,0
4880,-1.29289,-0.313908,3.14031,0
4900,-1.30081,-0.322793,-3.1296,0
4920,-1.30961,-0.331733,-3.11628,0
4940,-1.319,-0.341223,-3.10318,0
4960,-1.32848,-0.350771,-3.08934,0
4980,-1.33764,-0.359693,-3.07637,0
5000,-1.3483,-0.367475,-3.06397,0
5020,-1.35958,-0.374861,-3.0536,0
5040,-1.37095,-0.381163,-3.04349,0
5060,-1.38073,-0.387835,-3.03504,0
5080,-1.39096,-0.394708,-3.02815,0
5100,-1.40195,-0.401916,-3.0229,0
5120,-1.41273,-0.408246,-3.01815,0
5140,-1.42228,-0.414754,-3.01432,0
5160,-1.43018,-0.423162,-3.01326,0
5180,-1.438,-0.431996,-3.01378,0
5200,-1.44527,-0.439395,-3.01515,0
5220,-1.45158,-0.447037,-3.01802,0
5240,-1.45768,-0.454527,-3.02335,0
5260,-1.46339,-0.461285,-3.03071,0
5280,-1.46901,-0.467044,-3.04049,0
5300,-1.47175,-0.473235,-3.05385,0
5320,-1.47438,-0.480004,-3.0695,0
5340,-1.47636,-0.487424,-3.08707,0
5360,-1.47558,-0.495895,-3.10787,0
5380,-1.4715,-0.505167,-3.1317,0
5400,-1.46759,-0.514769,3.12442,0
5420,-1.46242,-0.523907,3.09382,0
5440,-1.45568,-0.533956,3.06024,0
5460,-1.44738,-0.544436,3.02412,0
5480,-1.43769,-0.555402,2.98607,0
5500,-1.42707,-0.567048,2.94648,0
5520,-1.41557,-0.579536,2.90627,0
5540,-1.4028,-0.592631,2.86499,0
5560,-1.39069,-0.605519,2.82506,0
5580,-1.3785,-0.617622,2.78587,0
5600,-1.3649,-0.629838,2.74757,0
5620,-1.35142,-0.641618,2.71127,0
5640,-1.33748,-0.651087,2.67651,0
5660,-1.32376,-0.65823,2.64437,0
5680,-1.30888,-0.663594,2.61415,0
5700,-1.29498,-0.666988,2.58639,0
5720,-1.28398,-0.666987,2.56209,0
5740,-1.27488,-0.662967,2.54096,0
5760,-1.26435,-0.656393,2.52067,0
5780,-1.25192,-0.648745,2.50118,0
5800,-1.23871,-0.640484,2.48224,0
5820,-1.22759,-0.630443,2.46368,0
5840,-1.21602,-0.619946,2.44502,0
5860,-1.20654,-0.608667,2.42754,0
5880,-1.19638,-0.595597,2.41334,0
5900,-1.18309,-0.582876,2.40244,0
5920,-1.17074,-0.572235,2.39421,0
5940,-1.1614,-0.563649,2.38822,0
5960,-1.15577,-0.556265,2.38541,0
5980,-1.14923,-0.549512,2.38582,0
6000,-1.14259,-0.543812,2.38801,0
6020,-1.13683,-0.538214,2.39156,0
6040,-1.13099,-0.533388,2.3958,0
6060,-1.12671,-0.528665,2.40107,0
6080,-1.12586,-0.524341,2.40825,0
6100,-1.12339,-0.518414,2.41703,0
6120,-1.11848,-0.512563,2.42622,0
