Timestamp, Angle x, Angle y, Angle z, Marker
60,-0.963236,0.329582,1.66874,0
80,-0.962696,0.329724,1.66587,0
100,-0.961722,0.329226,1.66247,0
120,-0.960495,0.328962,1.65907,0
140,-0.959575,0.329719,1.6558,0
150,-0.959188,0.329936,1.65237,0
170,-0.959543,0.329091,1.64898,0
190,-0.959443,0.327207,1.64559,0
210,-0.958496,0.325652,1.64262,0
210,-0.956974,0.325986,1.64046,0
250,-0.956081,0.328715,1.63795,0
270,-0.954742,0.333459,1.63471,0
290,-0.952725,0.334996,1.63439,0
300,-0.950484,0.336983,1.63362,0
320,-0.949889,0.340353,1.63283,0
340,-0.951248,0.344706,1.63223,0
360,-0.952538,0.348357,1.63233,0
370,-0.948571,0.354149,1.63791,0
400,-0.946072,0.360488,1.66891,0
420,-0.946912,0.354047,1.67708,0
420,-0.948071,0.34315,1.68259,0
440,-0.950818,0.32766,1.6843,0
450,-0.956007,0.308217,1.68379,0
470,-0.960968,0.284881,1.68009,0
490,-0.967504,0.253187,1.67415,0
510,-0.969103,0.215938,1.6694,0
530,-0.965066,0.176891,1.66453,0
550,-0.962666,0.138293,1.65967,0
570,-0.968012,0.103157,1.65651,0
590,-0.977207,0.0729149,1.65614,0
610,-0.984064,0.0446204,1.65817,0
630,-0.989884,0.0193093,1.66012,0
650,-0.996875,-0.0029096,1.66154,0
670,-1.00566,-0.0210202,1.662,0
680,-1.01534,-0.034096,1.66244,0
700,-1.02351,-0.0418269,1.66296,0
720,-1.02702,-0.0462222,1.66418,0
740,-1.02824,-0.0460413,1.66736,0
760,-1.0341,-0.0358493,1.67406,0
780,-1.04203,-0.0155751,1.6832,0
800,-1.04077,0.0032563,1.69401,0
820,-1.03233,0.021342,1.70459,0
840,-1.02305,0.0410845,1.71556,0
860,-1.01303,0.0580425,1.72542,0
880,-1.00205,0.0717285,1.73155,0
900,-0.991586,0.0837677,1.73562,0
920,-0.981222,0.093182,1.74062,0
940,-0.967085,0.0992908,1.74706,0
960,-0.951341,0.105263,1.75631,0
980,-0.942547,0.11187,1.76658,0
1000,-0.938693,0.119798,1.77601,0
1020,-0.935409,0.130169,1.78486,0
1040,-0.932316,0.143545,1.79325,0
1060,-0.93193,0.15847,1.80116,0
1080,-0.933988,0.172925,1.80866,0
1100,-0.936591,0.184855,1.81504,0
1120,-0.937287,0.195013,1.82152,0
1130,-0.93571,0.201969,1.82837,0
1130,-0.932381,0.203525,1.83765,0
1150,-0.92807,0.197618,1.83739,0
1150,-0.922318,0.189668,1.83566,0
1170,-0.916654,0.181425,1.83292,0
1190,-0.909231,0.168593,1.82545,0
1210,-0.906594,0.164937,1.82188,0
1230,-0.904205,0.163705,1.81895,0
1250,-0.903084,0.165522,1.81586,0
1310,-0.909462,0.238068,1.79635,0
1350,-0.902319,0.269532,1.79073,0
1370,-0.897566,0.283207,1.78446,0
1390,-0.890479,0.294923,1.77717,0
1410,-0.887277,0.299159,1.76926,0
1430,-0.885518,0.299933,1.76253,0
1450,-0.88507,0.296404,1.75663,0
1470,-0.885209,0.292772,1.75022,0
1490,-0.886847,0.291335,1.74589,0
1510,-0.892478,0.291597,1.7437,0
1530,-0.900892,0.294968,1.74116,0
1550,-0.909932,0.302615,1.74002,0
1570,-0.918855,0.31094,1.74066,0
1590,-0.925036,0.317371,1.74286,0
1610,-0.929313,0.320542,1.74355,0
1630,-0.931274,0.321607,1.74292,0
1650,-0.931089,0.320461,1.7411,0
1670,-0.929715,0.318638,1.73755,0
1690,-0.926621,0.317264,1.73299,0
1710,-0.923062,0.316612,1.72824,0
1730,-0.92051,0.31594,1.72403,0
1750,-0.91956,0.314893,1.71975,0
1770,-0.919193,0.314446,1.71626,0
1790,-0.918943,0.314172,1.71346,0
1810,-0.919305,0.313791,1.71072,0
1830,-0.919396,0.313259,1.708,0
1850,-0.920532,0.313173,1.7062,0
1870,-0.922248,0.313674,1.70517,0
1890,-0.924473,0.314801,1.70486,0
1910,-0.926171,0.31613,1.70542,0
1930,-0.927951,0.317558,1.7064,0
1950,-0.929458,0.318728,1.70764,0
1970,-0.931046,0.319325,1.70859,0
1990,-0.932696,0.320186,1.70882,0
2010,-0.933741,0.321288,1.70936,0
2050,-0.935255,0.324029,1.71005,0
2100,-0.936574,0.325723,1.71218,0
2120,-0.935134,0.32564,1.7134,0
2140,-0.93473,0.324724,1.71423,0
2160,-0.934272,0.324003,1.71544,0
2180,-0.933409,0.323472,1.71827,0
2210,-0.933868,0.322723,1.72086,0
2230,-0.93473,0.322566,1.72179,0
2250,-0.935662,0.32248,1.72206,0
2270,-0.936208,0.322416,1.72255,0
2310,-0.935722,0.322179,1.72242,0
2330,-0.935722,0.322179,1.72242,0
2350,-0.935635,0.322297,1.72253,0
2370,-0.935635,0.322297,1.72253,0
2390,-0.934895,0.322873,1.72293,0
2410,-0.934652,0.323604,1.72327,0
2430,-0.934712,0.325002,1.72446,0
2450,-0.934726,0.325488,1.72523,0
2470,-0.934148,0.325803,1.72581,0
2490,-0.933693,0.32621,1.72638,0
2510,-0.933538,0.326716,1.72685,0
2530,-0.933332,0.327091,1.72687,0
2550,-0.933156,0.327542,1.72664,0
2570,-0.932607,0.328281,1.72636,0
2590,-0.932102,0.328906,1.72588,0
2610,-0.931863,0.329418,1.72517,0
2630,-0.931538,0.329942,1.72481,0
2650,-0.931669,0.330841,1.72437,0
2670,-0.931732,0.331911,1.72422,0
2690,-0.931655,0.332729,1.72413,0
2710,-0.93167,0.333671,1.72406,0
2730,-0.931003,0.334211,1.72402,0
2750,-0.929802,0.334386,1.72392,0
2770,-0.928299,0.334463,1.72393,0
2790,-0.926749,0.334304,1.72373,0
2810,-0.92568,0.33414,1.72354,0
2830,-0.924721,0.334259,1.7233,0
2860,-0.922535,0.334261,1.72368,0
2880,-0.921472,0.334338,1.72413,0
2900,-0.920797,0.334285,1.72458,0
2910,-0.920453,0.3343,1.7249,0
2930,-0.920471,0.334351,1.72507,0
2950,-0.919827,0.334268,1.7255,0
2970,-0.918988,0.334128,1.72588,0
2990,-0.918988,0.334128,1.72588,0
3010,-0.918988,0.334128,1.72588,0
3030,-0.91876,0.334102,1.72583,0
3050,-0.91876,0.334102,1.72583,0
3070,-0.918674,0.33422,1.72595,0
3090,-0.918569,0.334287,1.7259,0
3110,-0.918447,0.334194,1.7259,0
3130,-0.918808,0.33434,1.72553,0
3150,-0.918961,0.334511,1.72528,0
3160,-0.919292,0.334579,1.72515,0
3190,-0.919188,0.334646,1.72509,0
3220,-0.918283,0.334909,1.72743,0
3240,-0.917018,0.335139,1.72889,0
3260,-0.917297,0.335526,1.73106,0
3280,-0.916594,0.336197,1.73285,0
3300,-0.916927,0.336958,1.73508,0
3320,-0.918674,0.338334,1.73737,0
3340,-0.922245,0.339802,1.73971,0
3360,-0.926584,0.340979,1.74134,0
3380,-0.930497,0.342163,1.74307,0
3400,-0.934202,0.343134,1.74427,0
3420,-0.936743,0.344153,1.74465,0
3440,-0.938144,0.345051,1.74434,0
3460,-0.9388,0.345725,1.74342,0
3480,-0.938612,0.346135,1.74155,0
3500,-0.937422,0.346114,1.73951,0
3520,-0.935486,0.345748,1.73701,0
3550,-0.930873,0.344206,1.73132,0
3570,-0.92925,0.343719,1.72859,0
3590,-0.92782,0.343621,1.72677,0
3610,-0.926729,0.343945,1.72524,0
3630,-0.926397,0.344528,1.72397,0
3650,-0.92713,0.345493,1.72344,0
3670,-0.927644,0.346349,1.72318,0
3690,-0.927706,0.347179,1.72343,0
3710,-0.930333,0.350185,1.72409,0
3720,-0.930291,0.351083,1.72429,0
3740,-0.930029,0.351983,1.72451,0
3770,-0.92905,0.352482,1.72368,0
3790,-0.928396,0.352806,1.7231,0
3810,-0.927263,0.352595,1.72267,0
3830,-0.926518,0.352147,1.72245,0
3850,-0.926379,0.351895,1.722,0
3870,-0.926379,0.351895,1.722,0
3890,-0.926484,0.351828,1.72205,0
3910,-0.926484,0.351828,1.72205,0
3930,-0.926531,0.352064,1.72226,0
3950,-0.927236,0.352519,1.7224,0
3970,-0.927488,0.353056,1.7228,0
3990,-0.927329,0.353127,1.7237,0
4010,-0.926913,0.352987,1.72451,0
4030,-0.928406,0.353592,1.72258,0
4050,-0.93068,0.355751,1.71914,0
4070,-0.928567,0.358524,1.71491,0
4090,-0.922217,0.358264,1.71051,0
4110,-0.915875,0.353172,1.70311,0
4130,-0.918931,0.342892,1.69149,0
4150,-0.932231,0.328699,1.67455,0
4170,-0.95484,0.287566,1.63875,0
4190,-0.956805,0.256454,1.62627,0
4210,-0.957989,0.222748,1.6171,0
4230,-0.962445,0.187179,1.61292,0
4240,-0.967687,0.153233,1.61479,0
4260,-0.968089,0.122615,1.62151,0
4280,-0.963644,0.0971685,1.63167,0
4300,-0.957971,0.0781138,1.64494,0
4320,-0.954513,0.0652235,1.66018,0
4340,-0.953655,0.0590613,1.67772,0
4360,-0.954776,0.0604394,1.69788,0
4380,-0.956435,0.0686904,1.7192,0
4400,-0.959231,0.0822085,1.74051,0
4420,-0.961355,0.100756,1.75944,0
4440,-0.962363,0.123309,1.77627,0
4460,-0.96108,0.148706,1.78937,0
4480,-0.958705,0.175508,1.79805,0
4500,-0.954305,0.203687,1.80286,0
4520,-0.949824,0.230429,1.80381,0
4540,-0.946591,0.253503,1.80089,0
4560,-0.942414,0.272337,1.7942,0
4580,-0.940632,0.286329,1.78346,0
4600,-0.941975,0.294928,1.76874,0
4630,-0.961449,0.290795,1.70646,0
4650,-0.969845,0.280383,1.68503,0
4680,-0.987826,0.250098,1.6482,0
4700,-0.995431,0.231752,1.63229,0
4720,-1.00081,0.213268,1.6184,0
4740,-1.00402,0.195083,1.60641,0
4760,-1.00497,0.177384,1.59711,0
4780,-1.00481,0.160349,1.59,0
4800,-1.00388,0.144835,1.58488,0
4820,-1.00247,0.131338,1.5816,0
4840,-1.00091,0.120107,1.57963,0
4860,-0.999787,0.111217,1.57907,0
4880,-0.998408,0.104851,1.57975,0
4900,-0.996771,0.101071,1.58143,0
4920,-0.995773,0.0997223,1.58399,0
4940,-0.995207,0.100289,1.58714,0
4960,-0.994114,0.102247,1.59047,0
4980,-0.99373,0.105722,1.59384,0
5000,-0.993809,0.109675,1.59746,0
5020,-0.993708,0.115577,1.59588,0
5040,-0.992053,0.122959,1.58931,0
5060,-0.986762,0.134969,1.58013,0
