Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,0.1875,-0.4375,-0.3125,0
60,0.1875,-0.3125,-0.5,0
80,0.375,-0.1875,-0.625,0
100,0.6875,-0.1875,-0.5625,0
120,0.4375,-0.0625,-0.375,0
120,0,0,-0.125,0
160,-0.4375,0.125,0.5,0
180,-0.5625,0.0625,0.5,0
200,-0.3125,0,0.375,0
220,0.25,-0.0625,0.375,0
240,0.5,-0.1875,0.125,0
260,0.625,-0.125,-0.125,0
280,0.4375,-0.0625,-0.0625,0
300,0.1875,0,0,0
320,-0.1875,0.0625,0.0625,0
340,-0.3125,0.0625,0.1875,0
360,-0.5,0.125,0.1875,0
380,-0.6875,0.0625,0.0625,0
400,-0.5,0.0625,0,0
420,0.125,-0.0625,-0.1875,0
440,0.75,-0.0625,-0.0625,0
460,1.1875,-0.3125,0.0625,0
480,0.9375,-0.25,-0.0625,0
500,0.5,0,0.1875,0
520,-0.875,-0.0625,0.4375,0
540,-1.5625,0.25,0.1875,0
560,-1.25,0.3125,-0.125,0
580,-0.375,0.1875,-0.1875,0
600,0.1875,0,-0.125,0
620,0.125,-0.25,-0.5,0
640,-0.0625,-0.25,-0.625,0
660,0.25,-0.1875,-0.5,0
680,0.25,-0.0625,-0.4375,0
700,0,0.125,0.0625,0
720,-0.25,0.25,0.1875,0
740,-0.5625,0.0625,0.4375,0
760,-0.5625,0.1875,0.375,0
780,-0.25,-0.125,0.1875,0
800,0.3125,-0.0625,0.0625,0
820,0.5,-0.1875,-0.125,0
840,0.375,-0.0625,-0.1875,0
860,0.4375,0,-0.0625,0
880,0.25,-0.0625,0,0
900,-0.1875,0.0625,0.0625,0
920,-0.5,0.0625,0.125,0
940,-0.5,0.0625,0.125,0
960,-0.5,0.125,0.125,0
980,-0.5625,0.1875,-0.0625,0
1000,-0.25,0.0625,-0.25,0
1020,0.1875,0.1875,-0.25,0
1040,0.8125,-0.1875,-0.125,0
1060,1.125,-0.4375,0,0
1080,0.75,-0.25,-0.0625,0
1100,-0.375,-0.125,0.125,0
1120,-1.3125,0,0.0625,0
1140,-1.5625,0.375,0,0
1160,-0.9375,0.3125,-0.125,0
1180,-0.25,0.25,-0.0625,0
1200,-0.125,-0.0625,-0.3125,0
1220,-0.3125,-0.25,-0.5,0
1240,-0.25,-0.1875,-0.625,0
1260,0.125,-0.125,-0.5625,0
1280,0.125,0,-0.3125,0
1300,-0.3125,0.3125,-0.1875,0
1320,-0.8125,0.25,0.5625,0
1340,-0.8125,0.1875,0.5625,0
1360,-0.5,0.125,0.5,0
1380,-0.1875,0,0.375,0
1400,0.125,-0.0625,0.1875,0
1420,0.1875,-0.0625,-0.0625,0
1440,0.1875,0,-0.125,0
1460,0.3125,0.0625,-0.0625,0
1480,-0.125,0.0625,0.0625,0
1500,-0.4375,0.0625,0.125,0
1520,-0.625,0.0625,0.1875,0
1540,-0.5625,0.0625,0,0
1550,-0.6875,0.125,-0.0625,0
1570,-0.5625,0.1875,-0.0625,0
1590,-0.25,0.0625,-0.125,0
1610,0.125,0.25,-0.125,0
1630,0.625,-0.0625,0,0
1650,0.625,-0.25,-0.0625,0
1670,0.125,-0.0625,0.125,0
1690,-0.75,0.0625,0.3125,0
1710,-1.6875,0.1875,0.1875,0
1730,-1.5,0.3125,-0.1875,0
1750,-0.75,0.3125,-0.3125,0
1770,0,0.125,-0.3125,0
1790,-0.125,-0.25,-0.4375,0
1810,-0.375,-0.25,-0.5625,0
1830,-0.125,-0.125,-0.625,0
1850,0.125,0,-0.5,0
1870,0.0625,0.1875,-0.3125,0
1890,-0.25,0.1875,0.125,0
1910,-0.6875,0.125,0.4375,0
1930,-0.75,0.1875,0.375,0
1950,-0.3125,0,0.375,0
1970,0.125,-0.125,0.125,0
1990,0.375,-0.0625,0.0625,0
2010,0.3125,-0.125,0,0
2030,0.3125,0,-0.0625,0
2050,0.3125,0,-0.125,0
2070,-0.1875,-0.0625,0.0625,0
2090,-0.3125,0,0.1875,0
2110,-0.4375,-0.0625,0.1875,0
2130,-0.25,0,0,0
2150,-0.1875,0.125,0,0
2170,-0.4375,0.1875,-0.0625,0
2190,-0.25,0.125,-0.25,0
2210,0,0.0625,-0.1875,0
2230,0.4375,-0.0625,-0.125,0
2250,0.625,-0.375,0.0625,0
2270,0.5625,-0.25,-0.0625,0
2290,0,0.125,0.1875,0
2310,-1.25,0.125,0.25,0
2330,-1.5625,0.25,0.0625,0
2350,-1.25,0.3125,-0.1875,0
2370,-0.375,0.25,-0.125,0
2390,-0.125,-0.0625,-0.25,0
2410,-0.25,-0.3125,-0.4375,0
2430,-0.3125,-0.0625,-0.5625,0
2450,0.0625,-0.0625,-0.625,0
2470,0.0625,0,-0.5,0
2490,-0.1875,0.1875,-0.25,0
2510,-0.5625,0.25,0.1875,0
2530,-0.6875,0.0625,0.5,0
2550,-0.5,0,0.5,0
2570,-0.125,-0.0625,0.4375,0
2590,0.0625,-0.125,0.3125,0
2610,0.3125,-0.0625,-0.0625,0
2630,0.375,-0.0625,-0.125,0
2650,0.1875,-0.0625,-0.125,0
2670,-0.5,0.25,-0.0625,0
2690,-2.375,0.625,0.1875,0
2710,-5.375,1.3125,0.125,0
2730,-7.4375,2.0625,-0.25,0
2750,-8.6875,2.5,-1.0625,0
2770,-9.4375,3,-2.125,0
2790,-10.1875,3.625,-3.125,0
2810,-10.875,4.5,-3.625,0
2830,-11.0625,5.125,-3.9375,0
2850,-10.875,5.1875,-4.25,0
2870,-11.25,5.125,-4.3125,0
2890,-12,5.75,-4.0625,0
2910,-12.9375,6.25,-3.125,0
2930,-15,7.25,-2.0625,0
2950,-17.8125,8.375,-1.1875,0
2970,-20.6875,9.4375,-0.3125,0
2990,-22.5625,9.75,0.1875,0
3010,-23.8125,10.125,0.3125,0
3030,-26.4375,11.5,1.375,0
3050,-27.0625,12.0625,1.8125,0
3070,-27.25,12.5625,2.375,0
3090,-26.25,13.3125,3.125,0
3110,-26.3125,13.8125,4.4375,0
3130,-25.4375,14.0625,5.6875,0
3150,-25,14,6.625,0
3170,-24.5,13.75,7.25,0
3190,-24.3125,13.6875,7.5625,0
3210,-23.25,13.375,7.4375,0
3230,-22.625,12.875,7.9375,0
3250,-22.4375,12.625,7.875,0
3270,-22.4375,11.75,7.625,0
