Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
30,-0.27002,-0.648438,0.71875,0
50,-0.269043,-0.649902,0.717285,0
70,-0.272461,-0.650879,0.722168,0
90,-0.271484,-0.649414,0.729492,0
110,-0.271484,-0.640625,0.732422,0
110,-0.266113,-0.64502,0.723633,0
120,-0.272461,-0.661621,0.722168,0
130,-0.277344,-0.654785,0.714355,0
150,-0.279297,-0.655273,0.720215,0
170,-0.282715,-0.65332,0.713379,0
190,-0.270996,-0.655273,0.712891,0
200,-0.270996,-0.655762,0.710449,0
200,-0.274414,-0.657715,0.717285,0
220,-0.274902,-0.658203,0.712891,0
240,-0.274902,-0.664062,0.71875,0
280,-0.27832,-0.657715,0.704102,0
300,-0.280762,-0.654785,0.712402,0
320,-0.282715,-0.660645,0.713379,0
340,-0.287109,-0.655762,0.703125,0
340,-0.281738,-0.664551,0.702148,0
340,-0.28125,-0.669922,0.705078,0
390,-0.280762,-0.666016,0.699219,0
420,-0.27832,-0.666504,0.703613,0
430,-0.28125,-0.662598,0.699219,0
450,-0.281738,-0.663574,0.692871,0
450,-0.279297,-0.668945,0.703125,0
460,-0.276855,-0.666992,0.710938,0
480,-0.280273,-0.665039,0.710449,0
500,-0.278809,-0.665527,0.709473,0
520,-0.282715,-0.664062,0.706543,0
540,-0.283691,-0.665527,0.696777,0
560,-0.286133,-0.665527,0.700195,0
590,-0.287598,-0.661621,0.701172,0
610,-0.279785,-0.666504,0.706055,0
630,-0.281738,-0.668945,0.702148,0
650,-0.276367,-0.66748,0.708496,0
660,-0.274414,-0.666504,0.706055,0
680,-0.277344,-0.668457,0.70166,0
700,-0.279785,-0.663086,0.700684,0
730,-0.277832,-0.662598,0.706543,0
750,-0.283203,-0.663574,0.70752,0
770,-0.27832,-0.659668,0.709473,0
790,-0.279297,-0.660156,0.708984,0
810,-0.28125,-0.668457,0.706055,0
830,-0.281738,-0.660156,0.703613,0
840,-0.279297,-0.662598,0.695312,0
850,-0.278809,-0.660156,0.702637,0
870,-0.273926,-0.664062,0.70752,0
870,-0.277344,-0.663574,0.717773,0
890,-0.273438,-0.658691,0.706543,0
910,-0.276367,-0.654785,0.713867,0
930,-0.282227,-0.662598,0.710938,0
970,-0.276367,-0.661621,0.713867,0
990,-0.277344,-0.665039,0.708984,0
990,-0.273438,-0.661133,0.712402,0
990,-0.27832,-0.651367,0.713867,0
990,-0.280273,-0.658203,0.708008,0
1000,-0.279785,-0.666016,0.709473,0
1010,-0.285645,-0.663574,0.710449,0
1030,-0.282227,-0.666016,0.700684,0
1050,-0.286621,-0.666016,0.705566,0
1070,-0.278809,-0.663086,0.712402,0
1090,-0.277344,-0.660645,0.710449,0
1110,-0.279297,-0.660156,0.70166,0
1130,-0.284668,-0.661621,0.706055,0
1160,-0.28125,-0.663086,0.692871,0
1190,-0.283691,-0.665039,0.708008,0
1210,-0.289551,-0.661133,0.712891,0
1220,-0.288086,-0.664062,0.706055,0
1240,-0.286621,-0.663574,0.698242,0
1260,-0.288574,-0.666016,0.691895,0
1280,-0.281738,-0.661133,0.703125,0
1300,-0.277832,-0.665039,0.705566,0
1320,-0.280762,-0.671875,0.706543,0
1340,-0.276855,-0.66748,0.709961,0
1360,-0.283203,-0.659668,0.70459,0
1380,-0.284668,-0.662598,0.706055,0
1400,-0.286621,-0.662109,0.699707,0
1430,-0.288086,-0.665527,0.70166,0
1450,-0.28418,-0.668457,0.700195,0
1460,-0.28418,-0.666016,0.700195,0
1480,-0.288574,-0.662109,0.700195,0
1500,-0.287598,-0.665527,0.703125,0
1510,-0.28125,-0.664551,0.695312,0
1540,-0.282227,-0.661621,0.689453,0
1560,-0.283203,-0.664062,0.691895,0
1580,-0.279297,-0.665039,0.700684,0
1600,-0.279785,-0.665527,0.715332,0
1630,-0.289551,-0.746094,0.685059,0
1650,-0.291992,-0.901367,0.626953,0
1660,-0.294434,-1.15039,0.571777,0
1680,-0.213379,-1.27441,0.469727,0
1710,-0.45459,-1.43311,0.445801,0
1730,-0.665039,-1.2793,0.578613,0
1750,-0.57373,-1.20215,0.58252,0
1770,-0.27832,-1.19434,0.592773,0
1790,-0.121094,-0.991211,0.617676,0
1810,-0.0429688,-0.862793,0.664551,0
1830,-0.138672,-0.740723,0.708984,0
1870,-0.112793,-0.0820312,1.01758,0
1890,-0.178711,-0.102051,0.891602,0
1910,-0.365723,-0.0908203,0.787598,0
1930,-0.460938,-0.0429688,0.694824,0
1950,-0.366211,-0.0307617,0.67041,0
1970,-0.257324,0.0878906,0.64209,0
1990,-0.23291,0.128906,0.706055,0
2010,-0.250488,0.0581055,0.672852,0
2030,-0.191406,-0.135742,0.625977,0
2050,-0.114746,-0.35791,0.655273,0
2070,-0.046875,-0.56543,0.732422,0
2090,-0.0805664,-0.59375,0.652344,0
2110,-0.0532227,-0.717773,0.530762,0
2130,0.0078125,-1.12793,0.638184,0
2150,-0.141602,-1.38477,0.703125,0
2170,-0.21875,-1.39746,0.614258,0
2190,-0.0898438,-1.22363,0.358398,0
2210,0.101562,-1.6333,0.279785,0
2230,0.179688,-1.7207,0.335938,0
2250,0.154297,-1.52686,0.42627,0
2270,0.135742,-1.37988,0.47998,0
2290,0.121582,-1.15088,0.497559,0
2310,0.106445,-0.944336,0.583008,0
2330,0.12207,-0.822754,0.620117,0
2350,0.137695,-0.702148,0.619629,0
2370,0.192871,-0.581543,0.725098,0
2390,0.251465,-0.459473,0.85498,0
2410,0.164062,-0.323242,0.908691,0
2430,-0.0102539,-0.183594,0.944336,0
2450,-0.0825195,-0.145508,0.952148,0
2470,-0.192871,-0.186523,0.886719,0
2490,-0.243164,-0.188965,0.819336,0
2510,-0.142578,-0.126953,0.779785,0
2530,-0.0166016,-0.0180664,0.801758,0
2550,0.0263672,0.145508,0.837402,0
2570,-0.015625,0.202637,0.847168,0
2590,0.0292969,-0.00830078,0.851562,0
2610,0.125977,-0.273926,0.912109,0
2630,0.143555,-0.475098,0.95459,0
2650,0.101074,-0.606445,0.862305,0
2670,0.012207,-0.725098,0.790039,0
2690,-0.143555,-0.858398,0.77832,0
2710,-0.198242,-1.01709,0.71582,0
2730,-0.164062,-1.36475,0.532227,0
2750,-0.191406,-1.69287,0.495605,0
2770,-0.175293,-1.54736,0.55957,0
2790,-0.0478516,-1.38232,0.473633,0
2800,0.097168,-1.39404,0.449707,0
2820,0.152344,-1.36816,0.500488,0
2840,0.118164,-1.27393,0.424805,0
2860,0.125,-1.14893,0.44873,0
2880,0.182617,-0.890137,0.401855,0
2900,0.249023,-0.789062,0.38623,0
2920,0.308105,-0.698242,0.402344,0
2940,0.291992,-0.609375,0.349121,0
2960,0.257324,-0.626953,0.396973,0
2980,0.258789,-0.662598,0.583984,0
3000,0.29834,-0.682129,0.750977,0
3020,0.324707,-0.713379,0.814941,0
3040,0.217773,-0.770508,0.837402,0
3060,0.0664062,-0.880371,0.827637,0
3080,-0.0102539,-0.833008,0.741699,0
3100,-0.0283203,-0.656738,0.78125,0
3120,-0.0429688,-0.499023,0.866699,0
3140,-0.059082,-0.443359,0.96582,0
3160,-0.000976562,-0.385254,0.992188,0
3180,0.0678711,-0.313477,0.970703,0
3200,0.0898438,-0.347168,0.891602,0
3220,0.158203,-0.339844,0.776855,0
3240,0.168945,-0.290527,0.725586,0
3260,0.00878906,-0.362305,0.728027,0
3280,-0.14502,-0.492676,0.72168,0
3300,-0.185059,-0.631348,0.740723,0
3320,-0.128418,-0.788574,0.722168,0
3340,-0.102051,-0.95459,0.709961,0
3360,-0.112793,-1.14111,0.501465,0
3380,-0.15332,-1.42822,0.37207,0
3400,-0.194824,-1.63232,0.37793,0
3420,-0.19873,-1.57129,0.710449,0
3440,-0.243164,-1.08594,0.769531,0
3460,-0.128418,-0.963867,0.457031,0
3470,0.0263672,-1.08789,0.240234,0
3490,0.124023,-1.09033,0.148926,0
3510,0.090332,-1.11768,0.219727,0
3530,0.00830078,-1.01855,0.23877,0
3550,-0.0366211,-0.993652,0.22998,0
3570,-0.0307617,-1.01758,0.228516,0
3590,-0.00927734,-0.980957,0.257324,0
3610,0.0205078,-0.905762,0.314453,0
3630,0.0810547,-0.815918,0.373535,0
3650,0.128418,-0.749512,0.48291,0
3670,0.0839844,-0.733887,0.59668,0
3690,0.0375977,-0.719727,0.736816,0
3710,0.0463867,-0.767578,0.834961,0
3730,0.0561523,-0.82959,0.894531,0
3750,0.0317383,-0.755859,0.846191,0
3770,-0.0473633,-0.598145,0.838867,0
3790,-0.121582,-0.516113,0.888672,0
3810,-0.106934,-0.394531,0.90332,0
3830,0.012207,-0.16748,0.861328,0
3850,0.115723,-0.00292969,0.876465,0
3870,0.133789,0.0180664,0.878906,0
3890,0.163086,0.0522461,0.793945,0
3910,0.206055,0.117676,0.814453,0
3930,0.132324,-0.0273438,0.950684,0
3950,-0.00927734,-0.150391,0.983887,0
3970,-0.109863,-0.325684,0.846191,0
3990,-0.0810547,-0.531738,0.871582,0
4010,0.0136719,-0.527832,0.794922,0
4030,0.0385742,-0.670898,0.690918,0
4050,0.00390625,-0.989746,0.667969,0
4070,-0.0874023,-1.33643,0.513184,0
4090,-0.184082,-1.60889,0.461914,0
4110,-0.219727,-1.67676,0.423828,0
4130,-0.108887,-1.62158,0.590332,0
4150,-0.046875,-1.39795,0.651855,0
