Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,23,1,1,2,-63,-22,-3,2,0
5,-23,-10,-29,-79,-89,-51,-30,-24,0
10,31,-3,9,47,13,-11,-15,13,0
15,3,-6,-25,-62,-41,-10,-5,6,0
20,13,8,40,72,102,51,9,17,0
25,-11,42,22,43,79,40,22,-4,0
30,-34,-2,-29,-36,-43,-48,-38,8,0
35,42,-48,-11,-35,-83,-48,-5,19,0
40,-5,10,-21,-55,-55,-40,-12,-14,0
45,2,-21,50,36,73,32,7,5,0
50,-17,37,2,43,34,15,11,-12,0
55,-29,22,-10,2,16,15,-11,-4,0
60,8,-34,4,-27,-36,-23,-13,12,0
65,-35,-32,14,-1,-15,2,0,0,0
70,-20,-48,-28,-8,2,3,11,-10,0
75,-46,4,-9,-15,17,16,16,-2,0
80,32,26,46,97,93,42,12,-1,0
85,19,-6,-1,8,-57,-29,-11,3,0
90,-29,-56,-87,-17,6,15,-9,-13,0
95,14,42,30,0,-12,-4,-7,-13,0
100,-43,-21,11,-16,-33,-34,-6,7,0
105,20,103,57,-3,-6,-40,-16,8,0
110,-35,-82,-39,-17,-28,33,17,4,0
115,2,0,-20,-1,37,41,16,33,0
120,3,-41,-46,-6,-35,-40,-13,-10,0
125,-36,-37,-43,-11,-2,-32,-17,-23,0
130,17,-18,4,2,4,38,38,-11,0
135,2,24,16,-1,25,1,-28,-14,0
140,24,66,80,5,-13,-1,27,15,0
145,-37,-11,-64,-4,-3,6,-30,-3,0
150,-4,-80,-44,-10,-14,-26,43,-6,0
155,-27,-6,0,-2,13,55,9,-8,0
160,41,63,43,5,-2,-7,-9,1,0
165,-3,-13,-16,1,8,-13,8,0,0
170,-2,12,0,5,-10,-7,-18,12,0
175,5,-25,-22,-6,4,-6,1,-21,0
180,6,-3,1,-1,-7,0,7,14,0
185,13,40,38,14,11,-4,-1,7,0
190,-12,-16,-16,-4,-20,5,-1,-4,0
195,6,22,13,-3,2,-3,-7,-12,0
200,-10,-16,-15,1,-5,-11,46,0,0
205,9,7,13,0,-20,-14,-22,0,0
210,-3,5,2,-6,-2,0,-24,-17,0
215,1,-7,-16,-8,-2,-14,-49,-4,0
220,-4,-8,-2,9,14,12,25,4,0
225,17,10,8,3,-3,-4,25,0,0
230,-5,-5,-4,-19,-9,-10,-8,6,0
235,-1,-7,-15,-9,-22,-9,-13,9,0
240,-7,-6,-7,-2,-8,-13,35,-14,0
245,1,2,0,-5,-7,-10,57,14,0
250,9,6,8,10,9,14,24,21,0
255,-12,-9,-10,-10,-18,-22,9,-9,0
260,-6,-3,-4,-9,-9,-7,-9,-12,0
265,2,0,0,2,-4,-19,7,14,0
270,-9,-5,-9,-25,-33,-32,-15,-24,0
275,9,9,10,10,24,30,37,26,0
280,3,-5,-9,-1,-24,-10,-29,-11,0
285,-8,-6,-11,-45,-40,-3,5,-11,0
290,0,-1,-1,14,36,31,-10,11,0
295,-9,-1,4,-1,-18,-19,-29,-48,0
300,7,1,-2,-9,-13,1,8,45,0
305,-1,-1,2,16,14,-1,-13,-5,0
310,6,16,26,60,98,46,85,-4,0
315,-6,-25,-31,10,-55,-83,-107,6,0
320,3,-5,-11,-22,55,59,40,26,0
325,7,16,25,47,26,25,13,-1,0
330,-17,-24,-18,-34,-49,-3,32,-14,0
335,13,9,8,-14,20,35,7,28,0
340,1,5,3,9,-14,-51,-52,7,0
345,7,1,1,6,19,67,-12,9,0
350,-8,-5,-4,-1,-11,-20,-40,-31,0
355,-2,-3,1,5,3,-20,18,-13,0
360,6,-5,3,2,1,17,69,8,0
365,-3,-7,-5,-6,-12,-25,13,-22,0
370,-2,-2,2,6,10,-4,42,-2,0
375,8,3,2,3,-6,18,95,28,0
380,-2,-3,-2,5,0,5,15,6,0
385,-3,-3,-2,-2,-4,1,76,19,0
390,-12,-2,0,6,1,-12,-14,-11,0
395,5,1,-1,4,14,-12,4,8,0
400,-2,-2,-5,-9,-19,-12,-52,-5,0
405,-4,-4,-6,-5,1,34,-14,3,0
410,2,3,4,7,8,-2,59,-4,0
415,-3,-1,-1,10,10,1,-72,-14,0
420,0,0,-5,2,-2,10,26,4,0
425,4,3,2,6,21,-15,-57,4,0
430,-1,1,0,-5,-5,19,-42,-6,0
435,-6,-6,-6,-6,-14,-30,-35,-18,0
440,5,3,5,6,18,15,-36,14,0
445,-3,-1,-4,-9,-20,-26,17,-6,0
450,5,3,6,8,13,15,6,3,0
455,-7,1,2,8,1,6,-7,-14,0
460,-5,-1,-3,-16,-18,-19,-33,-27,0
465,0,-2,-1,-1,-7,-44,-21,1,0
470,1,0,0,-6,-5,13,-20,-10,0
475,-2,-1,-1,-2,6,-3,-5,9,0
480,-4,-3,-4,9,2,-5,-5,5,0
485,-28,-6,-8,-24,-17,23,13,-31,0
490,10,-3,-7,-14,-20,-54,4,5,0
495,12,-1,2,-3,-1,14,18,19,0
500,5,2,2,8,25,55,55,17,0
505,5,-1,2,10,7,-54,-2,26,0
510,-8,-2,-4,-6,-13,2,-21,-13,0
515,-11,-2,1,-1,6,16,2,-11,0
520,-2,-6,-3,-6,-11,-17,10,-7,0
525,2,-1,-3,0,7,34,29,-3,0
530,-10,-3,-3,-3,-12,-22,46,-10,0
535,-1,-1,-1,-6,-7,-36,-79,-26,0
540,7,0,-2,-8,-31,-35,-88,2,0
545,17,1,2,5,15,74,108,50,0
550,-3,0,1,4,12,-6,-33,-9,0
555,-1,0,-1,-8,-21,0,-17,4,0
560,-7,2,6,11,25,-3,-10,-9,0
565,0,0,-1,5,2,-23,-17,-13,0
570,-1,-1,-1,-10,-20,7,-11,4,0
575,-4,-4,-5,-20,-20,-27,9,-1,0
580,-4,-5,-11,-16,-9,-16,5,-10,0
585,1,0,0,-4,-9,13,-14,-7,0
590,0,2,2,11,25,21,36,3,0
595,2,3,5,15,6,-45,19,-6,0
600,3,1,2,3,8,31,28,9,0
605,2,0,3,4,5,-7,-41,-5,0
610,-5,-6,-8,-9,-13,-3,39,3,0
615,2,3,7,10,11,33,48,8,0
620,0,-2,-2,5,15,22,19,11,0
625,1,1,1,-4,-15,-28,-15,-3,0
630,-5,-2,0,-11,-28,-16,-63,-21,0
635,5,-3,-9,-7,-8,6,57,33,0
640,1,3,4,6,7,9,31,-1,0
645,-4,2,2,6,16,24,-1,-2,0
650,3,-1,-1,2,10,4,12,8,0
655,-3,-1,-1,-2,-4,17,-15,-10,0
660,-2,-3,-1,-4,-10,-10,-1,-5,0
665,0,-1,-3,-6,-12,-17,4,1,0
670,-2,-1,0,3,4,2,-6,0,0
675,-1,1,0,8,19,26,16,-1,0
680,0,-2,-1,-4,-9,-17,36,0,0
685,0,1,1,-1,-8,5,-32,-8,0
690,0,-2,-2,-4,-10,-60,7,2,0
695,3,2,3,7,19,26,-18,3,0
700,0,-1,0,-2,-10,14,-30,0,0
705,1,-1,0,2,10,11,3,7,0
710,1,2,3,5,5,1,-6,4,0
715,-2,-4,-5,-7,-9,-23,-4,8,0
720,-3,2,2,5,6,6,-12,-12,0
725,4,-1,-5,-4,-9,-8,-19,11,0
730,-1,-1,-1,-2,-1,2,-2,-3,0
735,-4,1,1,5,4,-1,-13,-15,0
740,0,1,1,2,7,-7,-26,-13,0
745,-5,-3,-2,0,-5,-17,19,-7,0
750,0,-1,-3,-4,-6,17,-27,0,0
755,-6,-3,-3,-1,-11,-26,5,-19,0
760,6,-1,-5,-14,-20,61,53,24,0
765,-1,0,0,3,4,-3,-13,-7,0
770,3,1,1,3,10,5,-11,6,0
775,1,-1,0,0,9,20,37,4,0
780,-7,-6,-3,-2,1,-26,-27,-10,0
785,0,0,2,2,5,6,13,-4,0
790,-2,-1,3,3,5,21,19,11,0
795,-4,-4,-6,-7,-13,-13,-31,-7,0
800,0,-2,-2,1,3,1,39,6,0
805,1,0,-4,-4,-3,-17,-32,-4,0
810,0,-1,0,-1,-4,-1,6,-1,0
815,-4,-1,0,-6,-9,-14,22,0,0
820,0,0,1,2,6,-3,-36,-1,0
825,1,0,1,3,3,-20,23,6,0
830,-2,-2,-1,5,13,39,-6,-6,0
835,1,0,-4,-9,-14,-1,1,1,0
840,1,1,0,2,3,-3,-1,0,0
845,-1,-1,0,-3,-3,-1,1,1,0
850,-2,0,-2,-1,-4,-14,5,2,0
855,0,-1,-1,0,3,15,7,1,0
860,-3,-1,2,4,2,-24,-15,-4,0
865,1,4,3,5,12,32,-2,-8,0
870,-3,-1,-1,-3,-8,-14,-12,-13,0
875,5,2,0,2,11,18,21,-6,0
880,-2,1,1,-2,2,-12,-23,-7,0
885,-1,0,2,4,5,15,23,3,0
890,-1,-2,-4,-5,-4,-12,-18,-5,0
