Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,-2,0,6,14,7,1,5,0,0
5,-1,-2,-6,-14,-12,-16,-4,-1,0
10,-3,-4,-7,-8,7,10,0,-3,0
15,0,1,1,12,-15,-14,-3,-1,0
20,-2,-2,-3,-24,1,-16,-4,-3,0
25,1,0,1,4,-6,-8,0,0,0
30,1,2,5,5,8,-1,2,2,0
35,-2,-2,-2,3,5,22,-1,0,0
40,-4,-4,-4,-1,0,19,-1,-3,0
45,7,1,0,0,-6,-31,-1,0,0
50,-2,0,-1,0,-9,31,2,1,0
55,-1,0,1,-2,22,-7,3,1,0
60,0,2,2,4,-4,25,-4,-2,0
65,-3,-3,-3,-5,-3,-26,-11,-3,0
70,2,2,4,15,13,60,1,-4,0
75,-1,-2,-3,-11,-3,-18,1,-1,0
80,0,0,1,2,-3,-41,-5,-2,0
85,-3,-1,-3,-6,4,6,4,0,0
90,1,0,-4,-1,5,2,1,0,0
95,-3,-1,2,4,-6,-6,-4,-2,0
100,1,0,4,5,3,-5,4,-1,0
105,0,-3,1,0,15,16,0,-3,0
110,3,-1,-3,-2,-23,-38,2,-1,0
115,-4,-5,-7,-7,2,12,-2,-4,0
120,-2,-2,-3,-2,5,-15,-2,0,0
125,0,1,1,-2,-22,-13,-10,1,0
130,1,1,2,16,15,20,-1,0,0
135,-2,0,1,4,13,24,11,-2,0
140,1,-1,1,-8,-17,-36,-8,3,0
145,-3,-2,-5,-3,-5,-14,-9,-5,0
150,-2,-4,-3,-9,-5,-2,-2,-1,0
155,-2,-2,-6,-4,-3,3,9,-3,0
160,-3,-4,-4,-14,-5,24,-2,-5,0
165,2,4,2,5,4,-3,-6,2,0
170,-1,-1,1,3,8,-4,-7,-3,0
175,0,-1,0,0,1,5,-2,0,0
180,-3,-2,-2,-11,-4,-26,-7,-2,0
185,1,2,0,4,19,59,-3,1,0
190,0,-2,-1,0,5,-2,8,-2,0
195,0,0,0,2,-4,-2,10,5,0
200,-1,-1,0,1,-5,-13,-2,-2,0
205,-3,-4,-3,-3,-6,-18,-8,-4,0
210,-2,-2,-2,1,1,-3,-26,-3,0
215,0,0,-1,-1,0,3,-1,-1,0
220,0,0,-2,0,7,13,6,0,0
225,-1,0,0,-5,-22,-9,-5,0,0
230,1,1,3,11,17,-10,9,-5,0
235,-3,-4,-9,-16,-14,8,5,0,0
240,-3,-2,-1,-2,1,0,-7,-4,0
245,2,3,3,5,2,7,1,-1,0
250,-3,0,1,5,15,-2,-5,-3,0
255,-1,0,-1,4,-23,-27,-10,-3,0
260,-1,-3,-4,-12,12,22,4,-1,0
265,-2,-2,-5,-12,-19,-12,1,-1,0
270,0,-1,-2,-5,-8,11,9,1,0
275,-2,0,6,21,44,-7,-8,-4,0
280,1,-3,-6,-7,-26,18,0,-1,0
285,-1,0,6,11,27,-17,9,1,0
290,2,-3,-10,-29,-74,0,9,6,0
295,0,-1,-4,-4,3,-3,-7,-3,0
300,-1,1,3,2,7,6,1,-2,0
305,0,-1,0,4,1,-7,-3,-2,0
310,-3,-1,-2,-5,8,-4,-1,-2,0
315,-3,-3,-6,-9,-13,5,-11,-4,0
320,3,1,5,9,1,-6,-1,1,0
325,1,1,0,-3,-5,-20,-2,1,0
330,-3,0,2,6,13,7,-5,-2,0
335,-2,-2,-3,-14,-9,8,6,-1,0
340,-2,0,-2,8,9,-2,-3,-1,0
345,-3,-3,-2,-3,12,10,0,-2,0
350,-2,1,-2,-1,-20,-26,-6,-1,0
355,1,1,4,3,5,18,4,1,0
360,-1,-2,1,5,9,11,2,1,0
365,1,0,-2,-6,-3,-1,-4,-2,0
370,-5,-5,-8,-15,-19,-25,-4,-4,0
375,-1,0,1,1,12,38,3,0,0
380,1,3,4,5,-4,-18,-4,0,0
385,1,0,-3,-5,-12,-6,2,0,0
390,0,-1,0,4,16,4,-1,1,0
395,1,2,5,10,6,-8,-4,0,0
400,0,-4,-8,-14,-10,-38,-3,-4,0
405,-1,-1,2,6,7,26,0,2,0
410,0,-2,0,4,9,5,-4,-1,0
415,-1,-1,5,6,-5,-12,-3,-2,0
