Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
50,-0.594727,-0.744629,0.158691,0
70,-0.617676,-0.726562,0.165527,0
90,-0.647461,-0.733398,0.162598,0
110,-0.652344,-0.797852,0.131348,0
130,-0.614746,-0.875977,0.121582,0
140,-0.596191,-0.869629,0.126465,0
140,-0.625488,-0.808105,0.136719,0
180,-0.621094,-0.791504,0.181641,0
200,-0.591309,-0.765625,0.277344,0
220,-0.611816,-0.702637,0.300781,0
240,-0.655762,-0.680176,0.304199,0
260,-0.58252,-0.726074,0.305664,0
280,-0.532227,-0.828125,0.315918,0
300,-0.587402,-0.783691,0.299805,0
320,-0.672852,-0.710938,0.313965,0
340,-0.689941,-0.698242,0.358887,0
360,-0.626953,-0.666992,0.33252,0
380,-0.638672,-0.632324,0.314453,0
400,-0.651367,-0.584473,0.361328,0
420,-0.657227,-0.604004,0.369141,0
440,-0.643066,-0.681641,0.36377,0
460,-0.631348,-0.717285,0.372559,0
480,-0.647461,-0.699219,0.383789,0
500,-0.662598,-0.677246,0.358887,0
520,-0.641602,-0.666992,0.370605,0
540,-0.636719,-0.65625,0.392578,0
560,-0.672852,-0.646484,0.387695,0
580,-0.679199,-0.65332,0.370117,0
600,-0.664062,-0.679688,0.36084,0
620,-0.641602,-0.705078,0.337402,0
640,-0.660156,-0.6875,0.334961,0
660,-0.679688,-0.682617,0.32959,0
680,-0.669922,-0.675781,0.321289,0
700,-0.641113,-0.691406,0.325684,0
720,-0.643066,-0.69873,0.336426,0
740,-0.647949,-0.696777,0.338867,0
760,-0.632812,-0.726562,0.333008,0
780,-0.619629,-0.724609,0.335449,0
800,-0.632324,-0.728027,0.349121,0
820,-0.638184,-0.726562,0.339355,0
840,-0.618652,-0.745117,0.32959,0
860,-0.612305,-0.743652,0.345215,0
880,-0.645508,-0.729492,0.338867,0
900,-0.649414,-0.729004,0.325684,0
920,-0.615234,-0.734375,0.323242,0
940,-0.619629,-0.73291,0.334961,0
960,-0.635254,-0.73291,0.327148,0
980,-0.669922,-0.712402,0.306641,0
1000,-0.661133,-0.706543,0.302246,0
1020,-0.642578,-0.683594,0.324219,0
1040,-0.658691,-0.694336,0.322266,0
1060,-0.675781,-0.712402,0.317383,0
1080,-0.660645,-0.703125,0.33252,0
1100,-0.645508,-0.686035,0.348145,0
1120,-0.660156,-0.657227,0.367676,0
1140,-0.682129,-0.627441,0.368164,0
1160,-0.696777,-0.604004,0.374512,0
1180,-0.676758,-0.602539,0.390137,0
1200,-0.666504,-0.600586,0.414062,0
1220,-0.668945,-0.603027,0.421875,0
1240,-0.659668,-0.62207,0.425293,0
1260,-0.586914,-0.641113,0.445801,0
1280,-0.564941,-0.634277,0.473633,0
1300,-0.605957,-0.620605,0.475586,0
1320,-0.582031,-0.613281,0.466797,0
1340,-0.548828,-0.619141,0.487793,0
1360,-0.544434,-0.612793,0.489258,0
1380,-0.558105,-0.60498,0.505859,0
1400,-0.581543,-0.599121,0.50293,0
1420,-0.560547,-0.61377,0.504883,0
1440,-0.52002,-0.645996,0.521484,0
1460,-0.533691,-0.643555,0.532227,0
1480,-0.557617,-0.638184,0.527344,0
1500,-0.538086,-0.65332,0.535156,0
1520,-0.51709,-0.669922,0.540527,0
1540,-0.52002,-0.675781,0.541016,0
1560,-0.521484,-0.673828,0.53125,0
1580,-0.530273,-0.676758,0.528809,0
1600,-0.546387,-0.663086,0.523926,0
1620,-0.562988,-0.652344,0.513184,0
1640,-0.558594,-0.653809,0.514648,0
1660,-0.570312,-0.652832,0.512207,0
1680,-0.585938,-0.639648,0.510742,0
1700,-0.585938,-0.635742,0.499512,0
1720,-0.594727,-0.626953,0.492188,0
1740,-0.599609,-0.611328,0.477051,0
1760,-0.623535,-0.616211,0.466309,0
1780,-0.598145,-0.629883,0.44873,0
1800,-0.603516,-0.648926,0.452148,0
1820,-0.643555,-0.625488,0.463379,0
1840,-0.629883,-0.591797,0.452637,0
1860,-0.618164,-0.607422,0.442383,0
1880,-0.646973,-0.618164,0.446289,0
1900,-0.640137,-0.632812,0.438477,0
1920,-0.65332,-0.614746,0.441895,0
1940,-0.661133,-0.59375,0.436035,0
1960,-0.638184,-0.604004,0.439941,0
1980,-0.641602,-0.619141,0.425781,0
2000,-0.647461,-0.644531,0.410156,0
2020,-0.64502,-0.644531,0.413574,0
2040,-0.632324,-0.648926,0.416992,0
2060,-0.63623,-0.64209,0.402832,0
2080,-0.652832,-0.637207,0.396973,0
2100,-0.66748,-0.647949,0.364258,0
2120,-0.662109,-0.674805,0.328613,0
2140,-0.595215,-0.696777,0.325195,0
2160,-0.547363,-0.715332,0.336914,0
2180,-0.545898,-0.73584,0.373047,0
2200,-0.566406,-0.773438,0.39502,0
2220,-0.578613,-0.791016,0.404785,0
2240,-0.556152,-0.806152,0.389648,0
2260,-0.539551,-0.802246,0.398438,0
