Timestamp, Angle x, Angle y, Angle z, Marker
20,-1.02491,0.357978,2.54505,0
50,-1.02507,0.358137,2.54511,0
70,-1.0251,0.358174,2.54522,0
90,-1.0251,0.358174,2.54522,0
110,-1.02495,0.358196,2.54519,0
130,-1.0251,0.358174,2.54522,0
140,-1.0251,0.358174,2.54522,0
140,-1.02546,0.358141,2.54528,0
180,-1.02546,0.358141,2.54528,0
200,-1.02546,0.358141,2.54528,0
220,-1.02546,0.358141,2.54528,0
240,-1.02546,0.358141,2.54528,0
260,-1.02548,0.358087,2.54519,0
280,-1.02548,0.358087,2.54519,0
300,-1.0254,0.357977,2.54523,0
320,-1.02552,0.358155,2.54564,0
340,-1.02561,0.358538,2.54583,0
360,-1.02561,0.358866,2.54615,0
380,-1.02574,0.359225,2.54659,0
400,-1.02649,0.359774,2.54677,0
420,-1.02701,0.360235,2.54697,0
440,-1.02749,0.360866,2.5472,0
460,-1.02764,0.361415,2.54743,0
480,-1.02753,0.361898,2.54742,0
500,-1.02795,0.362365,2.5476,0
520,-1.02832,0.362909,2.54762,0
540,-1.02919,0.3634,2.54773,0
560,-1.02961,0.363775,2.54771,0
580,-1.03003,0.364242,2.5479,0
600,-1.03046,0.36471,2.54808,0
620,-1.03086,0.365233,2.54836,0
640,-1.03128,0.365701,2.54854,0
660,-1.03174,0.366296,2.54866,0
680,-1.03246,0.366809,2.54874,0
700,-1.03316,0.367197,2.54888,0
720,-1.03359,0.367666,2.54906,0
740,-1.03399,0.368189,2.54933,0
760,-1.03427,0.36868,2.54949,0
780,-1.03427,0.36868,2.54949,0
800,-1.0343,0.368718,2.54959,0
820,-1.03424,0.368553,2.54955,0
840,-1.03409,0.368574,2.54952,0
860,-1.03409,0.368574,2.54952,0
880,-1.03409,0.368574,2.54952,0
900,-1.03409,0.368574,2.54952,0
920,-1.03409,0.368574,2.54952,0
940,-1.03409,0.368574,2.54952,0
960,-1.03401,0.368464,2.54956,0
980,-1.03401,0.368464,2.54956,0
1000,-1.03401,0.368464,2.54956,0
1020,-1.03401,0.368464,2.54956,0
1040,-1.03401,0.368464,2.54956,0
1060,-1.03401,0.368464,2.54956,0
1080,-1.03401,0.368464,2.54956,0
1100,-1.03389,0.368524,2.54964,0
1120,-1.03389,0.368524,2.54964,0
1140,-1.03389,0.368524,2.54964,0
1160,-1.03389,0.368524,2.54964,0
1180,-1.03381,0.368413,2.54968,0
1200,-1.03381,0.368413,2.54968,0
1220,-1.03381,0.368413,2.54968,0
1240,-1.03325,0.368301,2.54955,0
1260,-1.03281,0.368129,2.54934,0
1280,-1.03281,0.368129,2.54934,0
1300,-1.03296,0.368108,2.54937,0
1320,-1.03296,0.368108,2.54937,0
1340,-1.03296,0.368108,2.54937,0
1360,-1.03296,0.368108,2.54937,0
1380,-1.03273,0.368018,2.54938,0
1400,-1.03273,0.368018,2.54938,0
1420,-1.03273,0.368018,2.54938,0
1440,-1.03273,0.368018,2.54938,0
1460,-1.03273,0.368018,2.54938,0
1480,-1.03273,0.368018,2.54938,0
1500,-1.0327,0.367892,2.54944,0
1520,-1.0327,0.367892,2.54944,0
1540,-1.0327,0.367892,2.54944,0
1560,-1.0327,0.367892,2.54944,0
1580,-1.0327,0.367892,2.54944,0
1600,-1.0327,0.367892,2.54944,0
1620,-1.03262,0.367781,2.54949,0
1640,-1.03262,0.367781,2.54949,0
1660,-1.03262,0.367781,2.54949,0
1680,-1.03262,0.367781,2.54949,0
1700,-1.03262,0.367781,2.54949,0
1720,-1.03262,0.367781,2.54949,0
1740,-1.03262,0.367781,2.54949,0
1760,-1.03262,0.367781,2.54949,0
1780,-1.03262,0.367781,2.54949,0
1800,-1.03277,0.36776,2.54952,0
1820,-1.03257,0.367616,2.54944,0
1840,-1.03257,0.367616,2.54944,0
1860,-1.03272,0.367595,2.54947,0
1880,-1.03272,0.367595,2.54947,0
1900,-1.03249,0.367506,2.54949,0
1920,-1.03249,0.367506,2.54949,0
1940,-1.03249,0.367506,2.54949,0
1960,-1.03266,0.36743,2.54942,0
1980,-1.03258,0.367319,2.54947,0
2000,-1.03258,0.367319,2.54947,0
2020,-1.03258,0.367319,2.54947,0
2040,-1.03207,0.36713,2.5495,0
2060,-1.03145,0.366853,2.54932,0
2080,-1.0316,0.366832,2.54935,0
2100,-1.03157,0.366793,2.54924,0
2120,-1.0315,0.366683,2.54929,0
2140,-1.03152,0.366628,2.5492,0
2160,-1.03152,0.366628,2.5492,0
2180,-1.03147,0.366556,2.54935,0
2200,-1.03147,0.366556,2.54935,0
2220,-1.03147,0.366556,2.54935,0
2240,-1.03139,0.366446,2.54939,0
2260,-1.03141,0.366391,2.5493,0
2280,-1.03141,0.366391,2.5493,0
2300,-1.03133,0.366281,2.54935,0
2320,-1.03133,0.366281,2.54935,0
2340,-1.03133,0.366281,2.54935,0
2360,-1.03133,0.366281,2.54935,0
2380,-1.03128,0.366116,2.5493,0
2400,-1.03128,0.366116,2.5493,0
2420,-1.03131,0.366154,2.54941,0
2440,-1.03123,0.366044,2.54945,0
2450,-1.03123,0.366044,2.54945,0
2470,-1.03123,0.366044,2.54945,0
2490,-1.03123,0.366044,2.54945,0
2510,-1.03117,0.365879,2.5494,0
2530,-1.03117,0.365879,2.5494,0
2550,-1.03117,0.365879,2.5494,0
2570,-1.03132,0.365857,2.54943,0
2590,-1.0311,0.365768,2.54945,0
2610,-1.0311,0.365768,2.54945,0
2630,-1.03111,0.365714,2.54936,0
2650,-1.03104,0.365603,2.5494,0
2670,-1.03104,0.365603,2.5494,0
2690,-1.03107,0.365642,2.54951,0
2710,-1.03099,0.365531,2.54955,0
2730,-1.03099,0.365531,2.54955,0
2750,-1.03101,0.365477,2.54946,0
2770,-1.03101,0.365477,2.54946,0
2790,-1.03108,0.365345,2.54954,0
2810,-1.03108,0.365345,2.54954,0
2830,-1.03101,0.365235,2.54958,0
2850,-1.03086,0.365256,2.54955,0
2870,-1.03055,0.365118,2.54946,0
2890,-1.03055,0.365118,2.54946,0
2910,-1.03055,0.365118,2.54946,0
2930,-1.03047,0.365007,2.54951,0
2950,-1.03047,0.365007,2.54951,0
2970,-1.03047,0.365007,2.54951,0
2990,-1.03052,0.364991,2.54952,0
3010,-1.03044,0.364881,2.54957,0
3030,-1.03044,0.364881,2.54957,0
3050,-1.03044,0.364881,2.54957,0
3070,-1.03044,0.364881,2.54957,0
3090,-1.03038,0.364716,2.54952,0
3110,-1.03038,0.364716,2.54952,0
3130,-1.03031,0.364605,2.54957,0
3150,-1.03034,0.364644,2.54967,0
3170,-1.03011,0.364555,2.54969,0
3190,-1.03011,0.364555,2.54969,0
3210,-1.03005,0.36439,2.54964,0
3230,-1.03005,0.36439,2.54964,0
3250,-1.03005,0.36439,2.54964,0
3270,-1.02998,0.364279,2.54969,0
3290,-1.02998,0.364279,2.54969,0
3310,-1.03,0.364318,2.54979,0
3330,-1.02995,0.364153,2.54975,0
3350,-1.02995,0.364153,2.54975,0
3370,-1.03007,0.364093,2.54967,0
3390,-1.0301,0.364131,2.54977,0
3410,-1.03041,0.36427,2.54987,0
3430,-1.03033,0.364159,2.54991,0
3450,-1.03033,0.364159,2.54991,0
3470,-1.03033,0.364159,2.54991,0
3490,-1.03025,0.364049,2.54996,0
3510,-1.03027,0.363994,2.54986,0
3530,-1.03021,0.364158,2.55014,0
3550,-1.03065,0.36433,2.55035,0
3570,-1.03095,0.364615,2.55073,0
3590,-1.03129,0.364881,2.55076,0
3610,-1.03159,0.365167,2.55114,0
3630,-1.03196,0.365471,2.55128,0
3650,-1.03246,0.365808,2.55154,0
3670,-1.033,0.366218,2.55165,0
3690,-1.03302,0.366492,2.55187,0
3710,-1.03302,0.366492,2.55187,0
3730,-1.03302,0.366492,2.55187,0
3750,-1.03319,0.366746,2.55213,0
3770,-1.03366,0.367045,2.55229,0
3790,-1.03434,0.367489,2.55251,0
3810,-1.03476,0.367717,2.55282,0
3830,-1.03526,0.368056,2.55308,0
3850,-1.03546,0.368437,2.55328,0
3870,-1.03568,0.368856,2.55358,0
3890,-1.03594,0.369161,2.55395,0
3910,-1.03642,0.369555,2.5543,0
3930,-1.03675,0.369971,2.55462,0
3950,-1.0369,0.37028,2.55497,0
3970,-1.03727,0.370679,2.5553,0
3990,-1.03738,0.371248,2.55552,0
4010,-1.0375,0.371672,2.55581,0
4030,-1.03729,0.371858,2.55606,0
4050,-1.03729,0.371858,2.55606,0
4070,-1.03726,0.371731,2.55612,0
4090,-1.03726,0.371731,2.55612,0
4110,-1.03718,0.371621,2.55616,0
4130,-1.03718,0.371621,2.55616,0
4150,-1.03718,0.371621,2.55616,0
4170,-1.03718,0.371621,2.55616,0
4190,-1.03707,0.371862,2.55627,0
4210,-1.03711,0.372083,2.55641,0
4230,-1.0371,0.372231,2.5567,0
4250,-1.03741,0.372372,2.55679,0
4270,-1.03745,0.372593,2.55693,0
4290,-1.03759,0.372809,2.55709,0
4310,-1.03764,0.372793,2.5571,0
4330,-1.03749,0.372813,2.55707,0
4350,-1.03749,0.372813,2.55707,0
4370,-1.03741,0.372703,2.55711,0
4390,-1.03741,0.372703,2.55711,0
4410,-1.03741,0.372703,2.55711,0
4420,-1.03741,0.372703,2.55711,0
4440,-1.03741,0.372703,2.55711,0
4460,-1.03761,0.372606,2.55731,0
4480,-1.03761,0.372606,2.55731,0
4500,-1.03754,0.372495,2.55736,0
4520,-1.03707,0.372375,2.55724,0
4540,-1.03707,0.372375,2.55724,0
4560,-1.03724,0.3723,2.55717,0
4580,-1.03717,0.372189,2.55722,0
4600,-1.03717,0.372189,2.55722,0
4620,-1.03717,0.372189,2.55722,0
4640,-1.03717,0.372189,2.55722,0
4660,-1.03709,0.372078,2.55726,0
4680,-1.03709,0.372078,2.55726,0
4700,-1.03714,0.372062,2.55728,0
4720,-1.03711,0.372023,2.55717,0
4740,-1.03703,0.371913,2.55722,0
4760,-1.03703,0.371913,2.55722,0
4780,-1.03706,0.371951,2.55732,0
4800,-1.03706,0.371951,2.55732,0
4820,-1.037,0.371786,2.55728,0
4840,-1.037,0.371786,2.55728,0
4860,-1.037,0.371786,2.55728,0
4880,-1.03693,0.371675,2.55732,0
4900,-1.03693,0.371675,2.55732,0
4920,-1.03695,0.37162,2.55723,0
4940,-1.03687,0.37151,2.55728,0
4960,-1.03687,0.37151,2.55728,0
4980,-1.03687,0.37151,2.55728,0
5000,-1.03694,0.371378,2.55735,0
5020,-1.03696,0.371323,2.55726,0
5040,-1.03696,0.371323,2.55726,0
5060,-1.03689,0.371213,2.5573,0
5080,-1.03689,0.371213,2.5573,0
5100,-1.03683,0.371047,2.55726,0
5120,-1.03683,0.371047,2.55726,0
5140,-1.03686,0.371086,2.55736,0
5160,-1.03678,0.370975,2.55741,0
5180,-1.03678,0.370975,2.55741,0
5200,-1.03678,0.370975,2.55741,0
5220,-1.03672,0.37081,2.55736,0
5240,-1.03672,0.37081,2.55736,0
5260,-1.03665,0.370699,2.55741,0
5280,-1.03665,0.370699,2.55741,0
5300,-1.03659,0.370533,2.55736,0
5320,-1.03662,0.370572,2.55747,0
5340,-1.03662,0.370572,2.55747,0
5360,-1.03596,0.370401,2.55747,0
5380,-1.03598,0.370346,2.55738,0
5400,-1.03605,0.370214,2.55745,0
5420,-1.0359,0.370235,2.55742,0
5440,-1.03582,0.370125,2.55747,0
5460,-1.03584,0.37007,2.55738,0
5480,-1.03599,0.370049,2.5574,0
5500,-1.03599,0.370049,2.5574,0
5520,-1.03592,0.369938,2.55745,0
5540,-1.03592,0.369938,2.55745,0
5560,-1.03592,0.369938,2.55745,0
5580,-1.03586,0.369773,2.5574,0
5600,-1.03586,0.369773,2.5574,0
5620,-1.03589,0.369811,2.55751,0
5640,-1.03566,0.369722,2.55753,0
5660,-1.03566,0.369722,2.55753,0
5680,-1.03566,0.369722,2.55753,0
5700,-1.03558,0.369611,2.55757,0
5720,-1.0356,0.369556,2.55748,0
5740,-1.0356,0.369556,2.55748,0
5760,-1.03553,0.369446,2.55753,0
5780,-1.03553,0.369446,2.55753,0
5800,-1.03553,0.369446,2.55753,0
5820,-1.03568,0.369425,2.55755,0
5840,-1.0357,0.36937,2.55746,0
5860,-1.03562,0.369259,2.55751,0
5880,-1.03562,0.369259,2.55751,0
5900,-1.03562,0.369259,2.55751,0
5920,-1.03554,0.369149,2.55755,0
5940,-1.03554,0.369149,2.55755,0
5960,-1.03556,0.369094,2.55746,0
5980,-1.03556,0.369094,2.55746,0
6000,-1.03549,0.368983,2.55751,0
6020,-1.03549,0.368983,2.55751,0
6040,-1.03551,0.369022,2.55761,0
6060,-1.03546,0.368856,2.55757,0
6080,-1.03546,0.368856,2.55757,0
6100,-1.03546,0.368856,2.55757,0
6120,-1.03538,0.368746,2.55761,0
6140,-1.03538,0.368746,2.55761,0
6160,-1.03538,0.368746,2.55761,0
6180,-1.0353,0.368635,2.55766,0
6200,-1.03487,0.368554,2.55764,0
6220,-1.03489,0.368499,2.55755,0
6240,-1.03481,0.368388,2.5576,0
6260,-1.03481,0.368388,2.5576,0
6280,-1.03474,0.368278,2.55764,0
6300,-1.03477,0.368316,2.55775,0
6320,-1.03463,0.368282,2.55763,0
6340,-1.03471,0.368151,2.5577,0
6360,-1.03471,0.368151,2.5577,0
6380,-1.03471,0.368151,2.5577,0
6400,-1.03463,0.36804,2.55775,0
6420,-1.03463,0.36804,2.55775,0
6440,-1.03465,0.367985,2.55765,0
6460,-1.03465,0.367985,2.55765,0
6480,-1.03458,0.367875,2.5577,0
6500,-1.03432,0.36823,2.55798,0
6520,-1.03464,0.368794,2.55859,0
6540,-1.03612,0.369629,2.55897,0
6560,-1.03733,0.370455,2.55896,0
6580,-1.03799,0.370958,2.55928,0
6600,-1.0381,0.370565,2.55973,0
6620,-1.03807,0.370196,2.55991,0
6640,-1.03715,0.370621,2.56007,0
6660,-1.03655,0.371611,2.56084,0
6680,-1.03716,0.372191,2.561,0
6700,-1.03878,0.373123,2.56074,0
6720,-1.04096,0.374987,2.5607,0
6740,-1.04344,0.376868,2.5608,0
6760,-1.04592,0.378416,2.56083,0
6780,-1.04794,0.379603,2.56061,0
6800,-1.04917,0.38019,2.5601,0
6820,-1.04985,0.380695,2.55957,0
6840,-1.0501,0.380877,2.55914,0
6860,-1.05017,0.380705,2.55825,0
6890,-1.04886,0.380026,2.55683,0
6910,-1.04732,0.379443,2.55632,0
6930,-1.04579,0.378956,2.55601,0
6950,-1.04416,0.378414,2.55583,0
6970,-1.04303,0.377974,2.55604,0
6990,-1.04228,0.377362,2.55637,0
7010,-1.0417,0.376911,2.55677,0
7030,-1.04073,0.376391,2.55715,0
7050,-1.03972,0.376041,2.55757,0
7070,-1.03874,0.375338,2.55792,0
7090,-1.03826,0.375125,2.55821,0
7110,-1.03781,0.374708,2.55873,0
7130,-1.03702,0.374111,2.55905,0
7150,-1.03582,0.37356,2.55929,0
7170,-1.03466,0.372898,2.55936,0
7190,-1.03379,0.372493,2.55945,0
7210,-1.03302,0.37199,2.55936,0
7230,-1.03214,0.37125,2.55937,0
7250,-1.0313,0.37073,2.55952,0
7270,-1.03021,0.370086,2.55994,0
7290,-1.0292,0.369492,2.56048,0
7310,-1.02853,0.368984,2.56101,0
7330,-1.02797,0.368564,2.56175,0
7350,-1.02768,0.368307,2.56233,0
7370,-1.02775,0.368262,2.56284,0
7390,-1.02814,0.368272,2.56301,0
7410,-1.02814,0.368272,2.56301,0
7430,-1.02812,0.368326,2.5631,0
7450,-1.02755,0.367968,2.56308,0
7470,-1.0271,0.367612,2.56284,0
7490,-1.02628,0.367186,2.56258,0
7510,-1.02547,0.366707,2.56223,0
7530,-1.02462,0.366155,2.56203,0
7550,-1.0242,0.365685,2.56184,0
7570,-1.0236,0.365108,2.56168,0
7590,-1.02311,0.364619,2.56174,0
7610,-1.0227,0.364242,2.56175,0
7630,-1.02207,0.363774,2.56178,0
7650,-1.02143,0.363307,2.5618,0
7670,-1.02094,0.362819,2.56186,0
7690,-1.02016,0.362373,2.56186,0
7710,-1.01967,0.361885,2.56191,0
7730,-1.01899,0.361344,2.56209,0
7750,-1.01845,0.360934,2.56198,0
7770,-1.01776,0.360545,2.56184,0
7790,-1.01659,0.360092,2.56167,0
7810,-1.01561,0.359656,2.56164,0
7820,-1.01471,0.359361,2.56191,0
7840,-1.01466,0.359196,2.56186,0
7860,-1.0151,0.359064,2.56234,0
7880,-1.01617,0.359036,2.56273,0
7900,-1.01657,0.359316,2.56313,0
7920,-1.0173,0.359537,2.56324,0
7940,-1.01794,0.359761,2.56333,0
7960,-1.01851,0.360064,2.56326,0
7980,-1.01851,0.360064,2.56326,0
8000,-1.01892,0.36026,2.56321,0
8020,-1.01892,0.36026,2.56321,0
8040,-1.01892,0.36026,2.56321,0
8060,-1.01895,0.360478,2.56335,0
8080,-1.01895,0.360478,2.56335,0
8100,-1.01912,0.360731,2.56361,0
8120,-1.01947,0.360944,2.56356,0
8140,-1.01982,0.360733,2.56358,0
8160,-1.01982,0.360733,2.56358,0
8180,-1.01982,0.360733,2.56358,0
8200,-1.01982,0.360733,2.56358,0
8220,-1.01942,0.360451,2.56318,0
8240,-1.0186,0.360028,2.56292,0
8260,-1.01772,0.359502,2.56246,0
8280,-1.01681,0.359031,2.56209,0
8300,-1.01602,0.358313,2.56186,0
8320,-1.01489,0.357511,2.56162,0
8340,-1.01398,0.356701,2.56178,0
8360,-1.01282,0.356007,2.56173,0
8380,-1.01195,0.355658,2.5619,0
8400,-1.01112,0.35514,2.56205,0
8420,-1.01063,0.354798,2.56239,0
8440,-1.00993,0.354547,2.56279,0
8460,-1.00963,0.354582,2.56333,0
8480,-1.00904,0.354507,2.56414,0
8500,-1.00895,0.354623,2.56491,0
8520,-1.00909,0.354587,2.56579,0
8540,-1.00915,0.354682,2.5666,0
8560,-1.00961,0.354883,2.56716,0
8580,-1.00954,0.355188,2.56773,0
8600,-1.0099,0.355492,2.56787,0
8620,-1.01033,0.355907,2.56797,0
8640,-1.01123,0.356053,2.56801,0
8660,-1.01119,0.35607,2.568,0
8680,-1.01128,0.355218,2.56818,0
8700,-1.01115,0.352535,2.56765,0
8720,-1.01223,0.355273,2.56924,0
8740,-1.01752,0.360536,2.56556,0
8760,-1.0183,0.362889,2.56803,0
8780,-1.01784,0.359241,2.57083,0
8800,-1.01656,0.355143,2.57241,0
8820,-1.01892,0.356939,2.57003,0
8840,-1.01941,0.361476,2.56983,0
8860,-1.02042,0.358552,2.56872,0
8880,-1.02125,0.354461,2.56502,0
8900,-1.02281,0.359868,2.56572,0
8920,-1.02468,0.365174,2.56749,0
8940,-1.0254,0.36424,2.5689,0
8960,-1.02326,0.362071,2.5698,0
8980,-1.02083,0.36207,2.56888,0
9000,-1.02085,0.36266,2.56738,0
9020,-1.02209,0.361334,2.56649,0
9040,-1.02362,0.361014,2.56587,0
9060,-1.02537,0.364066,2.56594,0
9080,-1.02756,0.365577,2.56584,0
9100,-1.02749,0.365466,2.56589,0
9120,-1.02646,0.365713,2.56539,0
9140,-1.02631,0.365796,2.5646,0
9160,-1.0279,0.365403,2.5639,0
9180,-1.02917,0.365522,2.56401,0
9200,-1.02979,0.366132,2.56512,0
9220,-1.03075,0.366865,2.56598,0
9240,-1.0319,0.367618,2.56637,0
9260,-1.03334,0.367906,2.56629,0
9280,-1.03424,0.368022,2.56599,0
9300,-1.03424,0.368022,2.56599,0
9320,-1.03499,0.368158,2.56565,0
9340,-1.0356,0.368018,2.56531,0
9360,-1.03612,0.367974,2.56516,0
9380,-1.03633,0.367878,2.56475,0
9400,-1.03601,0.367702,2.5643,0
9420,-1.03564,0.367636,2.56404,0
9440,-1.03566,0.367581,2.56395,0
9460,-1.03541,0.367456,2.56362,0
9480,-1.03497,0.36728,2.5634,0
9500,-1.03437,0.366942,2.56313,0
9520,-1.03354,0.366515,2.56287,0
9540,-1.03264,0.36607,2.56285,0
9560,-1.03183,0.365829,2.56298,0
9580,-1.03079,0.365256,2.56325,0
9600,-1.02979,0.364811,2.56347,0
9620,-1.02852,0.363966,2.56372,0
9640,-1.02727,0.363066,2.56388,0
9660,-1.02565,0.362098,2.56403,0
9680,-1.02435,0.361035,2.56414,0
9700,-1.0229,0.359992,2.56422,0
9720,-1.02135,0.358712,2.5644,0
9740,-1.01961,0.35738,2.5647,0
9760,-1.01788,0.35623,2.56504,0
9780,-1.0161,0.355007,2.56553,0
9800,-1.01431,0.353838,2.5661,0
9810,-1.0127,0.352775,2.56665,0
9830,-1.01117,0.351822,2.56715,0
9850,-1.01027,0.350768,2.56742,0
9870,-1.00928,0.350081,2.56775,0
9890,-1.00899,0.34979,2.56796,0
9910,-1.00892,0.34968,2.56801,0
9930,-1.00892,0.34968,2.56801,0
9950,-1.00909,0.349786,2.56798,0
9970,-1.00947,0.350036,2.56803,0
9990,-1.0099,0.35045,2.56813,0
10010,-1.01025,0.350663,2.56807,0
10030,-1.01058,0.350839,2.56827,0
10050,-1.01051,0.350729,2.56832,0
10070,-1.01051,0.350729,2.56832,0
10090,-1.01051,0.350729,2.56832,0
10110,-1.01053,0.350675,2.56822,0
10130,-1.01053,0.350675,2.56822,0
10150,-1.01008,0.350647,2.5683,0
10170,-1.01008,0.350647,2.5683,0
10190,-1.00998,0.3505,2.56824,0
10210,-1.00998,0.3505,2.56824,0
10230,-1.01013,0.350479,2.56827,0
10250,-1.01013,0.350479,2.56827,0
10270,-1.01013,0.350479,2.56827,0
10290,-1.00998,0.3505,2.56824,0
10310,-1.01029,0.350972,2.56841,0
10330,-1.01131,0.351628,2.56859,0
10350,-1.01343,0.352152,2.56897,0
10370,-1.01575,0.352912,2.56928,0
10390,-1.01733,0.353505,2.56956,0
