Timestamp, Angle x, Angle y, Angle z, Marker
40,-1.16069,-0.106369,-1.61163,0
50,-1.15025,-0.109434,-1.6126,0
70,-1.13796,-0.114441,-1.61524,0
80,-1.12526,-0.118145,-1.61894,0
100,-1.11257,-0.121383,-1.62224,0
120,-1.08771,-0.12749,-1.62989,0
140,-1.07769,-0.131708,-1.63523,0
170,-1.05883,-0.132777,-1.64459,0
190,-1.04996,-0.130318,-1.64827,0
210,-1.05976,-0.126397,-1.66737,0
230,-1.05986,-0.129304,-1.66672,0
240,-1.05768,-0.132991,-1.66437,0
260,-1.05597,-0.137417,-1.65941,0
280,-1.05843,-0.139514,-1.65601,0
300,-1.06529,-0.140645,-1.65376,0
330,-1.0811,-0.147013,-1.64837,0
350,-1.08202,-0.149501,-1.64449,0
360,-1.08162,-0.150991,-1.641,0
360,-1.08285,-0.153162,-1.63884,0
390,-1.09267,-0.158408,-1.63561,0
420,-1.10825,-0.159986,-1.63597,0
440,-1.11119,-0.162254,-1.63852,0
460,-1.11368,-0.163305,-1.64149,0
490,-1.11464,-0.162716,-1.6438,0
510,-1.11451,-0.161422,-1.64461,0
530,-1.11267,-0.161522,-1.64652,0
550,-1.11132,-0.162994,-1.6487,0
590,-1.09771,-0.160613,-1.65658,0
610,-1.09571,-0.15238,-1.6582,0
630,-1.0992,-0.150612,-1.65998,0
640,-1.10677,-0.149757,-1.66122,0
670,-1.09785,-0.144262,-1.65843,0
690,-1.09236,-0.14207,-1.65825,0
700,-1.09451,-0.142434,-1.65985,0
720,-1.09725,-0.142974,-1.66096,0
730,-1.09845,-0.142161,-1.66068,0
740,-1.09906,-0.140168,-1.66063,0
760,-1.10053,-0.139284,-1.66041,0
780,-1.1039,-0.13946,-1.66001,0
790,-1.10638,-0.140226,-1.66098,0
810,-1.10691,-0.141919,-1.66302,0
830,-1.10522,-0.141305,-1.66495,0
840,-1.10452,-0.132438,-1.6653,0
860,-1.10666,-0.132124,-1.6653,0
880,-1.10827,-0.131052,-1.66668,0
890,-1.11678,-0.130051,-1.66562,0
920,-1.12549,-0.13225,-1.66239,0
940,-1.12964,-0.133327,-1.6609,0
970,-1.1334,-0.134906,-1.65454,0
990,-1.13232,-0.135083,-1.65041,0
1010,-1.13114,-0.13455,-1.64742,0
1030,-1.13154,-0.13574,-1.6448,0
1050,-1.13227,-0.136622,-1.64293,0
1070,-1.1316,-0.136596,-1.64185,0
1090,-1.12894,-0.136083,-1.64135,0
1110,-1.12644,-0.135451,-1.64232,0
1130,-1.1239,-0.135125,-1.64442,0
1150,-1.1209,-0.134766,-1.64676,0
1170,-1.11728,-0.133429,-1.64788,0
1190,-1.11397,-0.13199,-1.64861,0
1210,-1.1115,-0.129782,-1.64858,0
1230,-1.10971,-0.127101,-1.64783,0
1250,-1.10899,-0.125613,-1.6476,0
1280,-1.10742,-0.122292,-1.64608,0
1300,-1.10654,-0.121931,-1.64508,0
