Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,-0.3125,-0.0625,-0.1875,0
50,-0.4375,-0.1875,0,0
60,-0.4375,-0.25,-0.0625,0
80,-0.4375,-0.0625,-0.0625,0
100,-0.625,0,-0.1875,0
120,-0.9375,0.25,-0.1875,0
130,-0.9375,0.375,-0.125,0
130,-0.5,0.25,-0.125,0
170,-0.25,0.1875,-0.1875,0
190,-0.1875,0.0625,0.0625,0
210,-0.5,0,0.125,0
230,-0.375,0.0625,0.125,0
250,-0.3125,0.0625,0.0625,0
270,-0.4375,0.3125,-0.125,0
290,-0.4375,0.3125,-0.25,0
310,-0.75,0.3125,-0.1875,0
330,-0.4375,0.375,0.125,0
350,0.1875,0.0625,0.0625,0
370,0.4375,0,0.0625,0
390,-0.0625,0.1875,0.6875,0
410,-0.625,0,1.3125,0
430,-1.25,-0.0625,1.1875,0
450,-2.4375,-0.375,1.5625,0
470,-2.8125,-0.4375,1.1875,0
490,-2.375,-0.125,0.3125,0
510,-1.0625,0.375,-0.25,0
530,0.375,0.625,-0.625,0
550,0.9375,0.8125,-0.875,0
570,0.5,0.75,-0.75,0
590,0.125,0.6875,-0.3125,0
610,-0.1875,0.5,-0.1875,0
630,-0.5625,0.375,-0.0625,0
650,-0.8125,0.125,0,0
670,-1,-0.25,0.125,0
690,-0.9375,-0.25,0.0625,0
710,-0.9375,-0.4375,0.0625,0
730,-0.8125,-0.4375,0.3125,0
750,-0.3125,-0.375,0.1875,0
770,0.125,0,0.0625,0
790,0.4375,-0.25,-0.0625,0
810,1.3125,-0.5625,0.1875,0
830,1.625,-0.5,0.75,0
850,1.25,-0.3125,1.3125,0
870,0.125,-0.1875,0.4375,0
890,-1,0.0625,-0.1875,0
910,-1.125,0.1875,-0.5,0
930,-0.875,0.1875,-0.75,0
950,-0.5625,0.125,-0.5625,0
970,0.5625,0.3125,-0.5,0
990,0.875,0.25,-0.4375,0
1010,0.1875,-0.0625,-0.5,0
1030,-0.9375,-0.125,-0.4375,0
1050,-1.875,-0.1875,-0.1875,0
1070,-2.0625,-0.25,0.0625,0
1090,-1.0625,-0.3125,0.5,0
