Timestamp, Angle x, Angle y, Angle z, Marker
30,-1.57223,0.569647,0.300456,0
50,-1.57307,0.570135,0.300409,0
70,-1.57368,0.570603,0.300621,0
90,-1.57409,0.570852,0.300699,0
110,-1.57432,0.571368,0.300971,0
120,-1.57435,0.571739,0.301142,0
140,-1.57435,0.571739,0.301142,0
170,-1.57481,0.57216,0.301001,0
190,-1.57543,0.572439,0.301024,0
210,-1.57601,0.572524,0.301022,0
230,-1.57601,0.572524,0.301022,0
250,-1.57601,0.572537,0.301064,0
270,-1.57598,0.572445,0.301153,0
290,-1.57598,0.572445,0.301153,0
310,-1.57619,0.572562,0.301171,0
330,-1.57636,0.57269,0.301393,0
350,-1.5768,0.573032,0.301382,0
370,-1.57704,0.573433,0.301498,0
390,-1.57709,0.573809,0.301506,0
410,-1.57709,0.573809,0.301506,0
430,-1.57709,0.573809,0.301506,0
450,-1.57732,0.574122,0.30155,0
470,-1.57712,0.574079,0.301563,0
490,-1.57712,0.574093,0.301604,0
510,-1.57712,0.574093,0.301604,0
530,-1.57692,0.574063,0.301659,0
550,-1.57689,0.57397,0.301749,0
570,-1.57689,0.57397,0.301749,0
590,-1.57689,0.573868,0.301634,0
610,-1.57689,0.573868,0.301634,0
630,-1.57689,0.573882,0.301676,0
650,-1.57704,0.573828,0.301914,0
670,-1.57704,0.573726,0.301799,0
690,-1.57704,0.573828,0.301914,0
710,-1.57704,0.573828,0.301914,0
730,-1.57683,0.573784,0.301927,0
750,-1.57683,0.573798,0.301969,0
770,-1.57683,0.573798,0.301969,0
790,-1.57683,0.573798,0.301969,0
810,-1.5766,0.573662,0.302071,0
830,-1.5766,0.573662,0.302071,0
850,-1.5766,0.57356,0.301957,0
870,-1.5766,0.573574,0.301998,0
890,-1.57657,0.573481,0.302088,0
910,-1.57657,0.573481,0.302088,0
930,-1.57657,0.573481,0.302088,0
950,-1.57637,0.573437,0.302101,0
970,-1.5768,0.573794,0.302131,0
990,-1.5768,0.573794,0.302131,0
1010,-1.5768,0.573794,0.302131,0
1030,-1.5768,0.573808,0.302173,0
1050,-1.5764,0.573646,0.302168,0
1070,-1.57576,0.573477,0.302463,0
1090,-1.57576,0.573477,0.302463,0
1110,-1.57555,0.573434,0.302476,0
1130,-1.57552,0.573239,0.302451,0
1150,-1.57552,0.573253,0.302492,0
1170,-1.57486,0.572978,0.302835,0
1190,-1.57486,0.572978,0.302835,0
1210,-1.57503,0.573017,0.302984,0
1230,-1.57544,0.573267,0.303062,0
1250,-1.57585,0.573415,0.303025,0
1270,-1.57565,0.573487,0.303195,0
1290,-1.57565,0.573487,0.303195,0
1310,-1.57565,0.573487,0.303195,0
1330,-1.57544,0.573457,0.30325,0
1350,-1.57579,0.573345,0.30336,0
1370,-1.57617,0.573108,0.303111,0
1390,-1.57615,0.573015,0.3032,0
1410,-1.57556,0.572828,0.303087,0
1430,-1.57533,0.572705,0.303231,0
1450,-1.57533,0.572705,0.303231,0
1470,-1.57571,0.572672,0.303211,0
1480,-1.57571,0.572672,0.303211,0
1500,-1.57571,0.572686,0.303252,0
1520,-1.57571,0.572686,0.303252,0
1540,-1.57571,0.572686,0.303252,0
1560,-1.57586,0.572618,0.303449,0
1580,-1.57586,0.572618,0.303449,0
1600,-1.57565,0.572589,0.303504,0
1620,-1.57586,0.572632,0.303491,0
1640,-1.57565,0.572589,0.303504,0
1660,-1.57565,0.572589,0.303504,0
1680,-1.57565,0.572589,0.303504,0
1700,-1.57563,0.57251,0.303635,0
1720,-1.57542,0.572466,0.303648,0
1740,-1.57542,0.572466,0.303648,0
1760,-1.57542,0.57248,0.303689,0
1780,-1.57522,0.572436,0.303702,0
1800,-1.57519,0.572343,0.303791,0
1820,-1.57519,0.572357,0.303833,0
1840,-1.57519,0.572255,0.303718,0
1860,-1.57519,0.572357,0.303833,0
1880,-1.57519,0.572255,0.303718,0
1900,-1.57496,0.572132,0.303862,0
1920,-1.57496,0.572132,0.303862,0
1940,-1.57493,0.572039,0.303951,0
1960,-1.57493,0.572053,0.303993,0
1980,-1.57493,0.572053,0.303993,0
2000,-1.57493,0.571951,0.303878,0
2020,-1.5749,0.571872,0.304009,0
2040,-1.5747,0.571829,0.304022,0
2060,-1.5747,0.571829,0.304022,0
2080,-1.5747,0.571842,0.304063,0
2100,-1.5747,0.571842,0.304063,0
2120,-1.57447,0.571706,0.304165,0
2140,-1.57447,0.571719,0.304207,0
2160,-1.57427,0.571676,0.30422,0
2180,-1.57427,0.571676,0.30422,0
2200,-1.57424,0.571597,0.304351,0
2220,-1.57424,0.571597,0.304351,0
2240,-1.57424,0.571495,0.304236,0
2260,-1.57401,0.571372,0.304379,0
2280,-1.57401,0.571386,0.304421,0
2300,-1.57378,0.571249,0.304523,0
2320,-1.57378,0.571263,0.304565,0
2340,-1.57378,0.571263,0.304565,0
2360,-1.57354,0.57114,0.304708,0
2380,-1.57354,0.571038,0.304593,0
2400,-1.57354,0.571052,0.304635,0
2420,-1.57354,0.571154,0.30475,0
2440,-1.57334,0.57111,0.304762,0
2460,-1.57334,0.57111,0.304762,0
2480,-1.57352,0.570959,0.304724,0
2500,-1.57352,0.570959,0.304724,0
2520,-1.57361,0.57053,0.304952,0
2540,-1.57403,0.569794,0.305266,0
2560,-1.5739,0.569141,0.305523,0
2580,-1.5739,0.569141,0.305523,0
2600,-1.57245,0.568838,0.305991,0
2620,-1.5712,0.568768,0.306634,0
2640,-1.57039,0.568851,0.30708,0
2660,-1.57039,0.568851,0.30708,0
2680,-1.57039,0.568851,0.30708,0
2700,-1.5697,0.568394,0.307435,0
2720,-1.56886,0.567904,0.307479,0
2740,-1.56785,0.567374,0.307373,0
2760,-1.56704,0.566977,0.307327,0
2780,-1.56681,0.566854,0.30747,0
2800,-1.56681,0.566854,0.30747,0
2820,-1.56757,0.566701,0.307357,0
2840,-1.56835,0.566728,0.30723,0
2860,-1.56832,0.566635,0.307319,0
2880,-1.56812,0.566592,0.307331,0
2900,-1.56812,0.566605,0.307373,0
2920,-1.56812,0.566605,0.307373,0
2940,-1.56792,0.566663,0.3075,0
2960,-1.56807,0.566609,0.307738,0
2980,-1.56839,0.566492,0.30801,0
3000,-1.56875,0.566366,0.30808,0
3020,-1.56872,0.566273,0.308168,0
3040,-1.56872,0.566273,0.308168,0
3060,-1.56872,0.566273,0.308168,0
3080,-1.56895,0.566586,0.308214,0
3100,-1.5693,0.56665,0.308471,0
3120,-1.56968,0.566706,0.308526,0
3140,-1.57003,0.566682,0.30871,0
3160,-1.57003,0.566695,0.308751,0
3180,-1.57003,0.566695,0.308751,0
3200,-1.56983,0.566652,0.308764,0
3220,-1.56983,0.566652,0.308764,0
3240,-1.56983,0.566665,0.308805,0
3260,-1.5696,0.566529,0.308906,0
3280,-1.56884,0.566404,0.308756,0
3300,-1.56788,0.566263,0.308701,0
3320,-1.56652,0.565846,0.308484,0
3340,-1.56531,0.5652,0.308356,0
3360,-1.56387,0.564444,0.308411,0
3380,-1.56218,0.563461,0.308654,0
3400,-1.55999,0.561871,0.309207,0
3420,-1.55801,0.560413,0.309818,0
3440,-1.55606,0.558948,0.310223,0
3460,-1.55403,0.557291,0.310962,0
3480,-1.55224,0.556059,0.311901,0
3500,-1.55085,0.555147,0.312956,0
3520,-1.54948,0.554702,0.314301,0
3540,-1.5487,0.554633,0.315792,0
3560,-1.54837,0.554998,0.317194,0
3580,-1.54789,0.555506,0.318435,0
3600,-1.54726,0.556082,0.319481,0
3620,-1.54648,0.556528,0.320101,0
3640,-1.54513,0.556975,0.320793,0
3660,-1.5442,0.55729,0.320987,0
3680,-1.54325,0.557224,0.320962,0
3700,-1.54201,0.556581,0.321186,0
3720,-1.54061,0.555814,0.321185,0
3740,-1.53866,0.555243,0.321283,0
3760,-1.53609,0.554377,0.321469,0
3780,-1.53368,0.553567,0.322045,0
3800,-1.53204,0.552586,0.322264,0
3820,-1.53095,0.551521,0.322537,0
3840,-1.53004,0.550566,0.322993,0
3860,-1.52953,0.550049,0.323566,0
3880,-1.52941,0.549765,0.324187,0
3900,-1.53089,0.5502,0.324729,0
3920,-1.53277,0.550768,0.325,0
3940,-1.53507,0.551423,0.325248,0
3960,-1.53665,0.552407,0.325394,0
3980,-1.53772,0.553679,0.325554,0
4000,-1.53861,0.555003,0.325638,0
4020,-1.53957,0.556795,0.325653,0
4040,-1.54095,0.55873,0.325434,0
4060,-1.5425,0.560237,0.325065,0
4070,-1.54398,0.561389,0.324921,0
4090,-1.54507,0.562193,0.324574,0
4110,-1.54556,0.562803,0.32427,0
4130,-1.54603,0.563133,0.323861,0
4150,-1.54679,0.562895,0.323672,0
4170,-1.54732,0.562319,0.323349,0
4190,-1.54803,0.561706,0.323143,0
4210,-1.54783,0.561575,0.32308,0
4230,-1.54783,0.561575,0.32308,0
4250,-1.54688,0.561895,0.323479,0
4270,-1.5461,0.562053,0.323797,0
4290,-1.54549,0.562248,0.324264,0
4310,-1.5458,0.562136,0.324738,0
4330,-1.54872,0.560761,0.324165,0
4350,-1.55156,0.560098,0.323482,0
4370,-1.55435,0.560016,0.323779,0
4390,-1.55656,0.559923,0.324107,0
4410,-1.5579,0.560253,0.324421,0
4430,-1.55794,0.560716,0.324511,0
4450,-1.55728,0.561324,0.324346,0
4470,-1.55722,0.561926,0.323907,0
4490,-1.55747,0.561954,0.323489,0
4510,-1.55709,0.561796,0.323317,0
4530,-1.55709,0.561896,0.323433,0
4550,-1.55689,0.561865,0.323486,0
4570,-1.55631,0.561764,0.323442,0
4590,-1.55551,0.561362,0.32339,0
4610,-1.55451,0.561119,0.323581,0
4630,-1.55391,0.560937,0.323666,0
4650,-1.55409,0.560788,0.323625,0
4670,-1.5542,0.560258,0.323731,0
4690,-1.55417,0.560454,0.324125,0
4710,-1.55417,0.560831,0.324506,0
4730,-1.55479,0.561395,0.32464,0
4750,-1.55584,0.562001,0.324423,0
4770,-1.55726,0.562691,0.324344,0
4790,-1.55872,0.563184,0.323871,0
4810,-1.55982,0.563686,0.323171,0
4830,-1.5607,0.56409,0.322694,0
4850,-1.56116,0.564136,0.322181,0
4870,-1.56161,0.564093,0.321593,0
4890,-1.56161,0.564093,0.321593,0
4910,-1.56161,0.564194,0.321708,0
4930,-1.56159,0.563811,0.321491,0
4950,-1.56159,0.563811,0.321491,0
4970,-1.56099,0.563339,0.321271,0
4990,-1.56,0.563088,0.32126,0
5010,-1.55935,0.562443,0.321257,0
5030,-1.55908,0.561756,0.321194,0
5050,-1.55906,0.561575,0.321207,0
5070,-1.55906,0.561575,0.321207,0
5090,-1.55944,0.561544,0.321189,0
5110,-1.56002,0.561532,0.321076,0
5130,-1.56047,0.561968,0.320984,0
5150,-1.56072,0.562273,0.320829,0
5170,-1.56051,0.562242,0.320882,0
5190,-1.5596,0.562559,0.320913,0
5210,-1.55779,0.56298,0.320703,0
5230,-1.55469,0.563299,0.320133,0
5250,-1.55221,0.563315,0.318943,0
5270,-1.55051,0.563164,0.317396,0
5290,-1.55064,0.563671,0.315587,0
5310,-1.55231,0.564327,0.3138,0
5330,-1.55543,0.564461,0.311877,0
5350,-1.55903,0.564317,0.310348,0
5370,-1.56157,0.56395,0.309422,0
5390,-1.56291,0.56339,0.308778,0
5410,-1.56349,0.56311,0.308444,0
5430,-1.56349,0.563198,0.308517,0
5450,-1.56349,0.563211,0.308558,0
5470,-1.56326,0.563075,0.308659,0
5490,-1.56303,0.563255,0.309145,0
5510,-1.56303,0.563444,0.309333,0
5530,-1.5628,0.563308,0.309434,0
5550,-1.56243,0.563454,0.309609,0
5570,-1.56142,0.563392,0.30995,0
5590,-1.56109,0.563813,0.310023,0
5610,-1.56109,0.5638,0.309982,0
