Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,0,0,-1,0,-1,-1,-1,-2,0
5,0,0,1,-1,0,-3,-1,-2,0
10,-1,0,-1,0,-2,0,-1,-2,0
15,-2,-2,0,-2,-2,0,-1,0,0
20,-1,-1,0,-1,-1,-2,-1,-1,0
25,-1,0,-1,0,-2,-2,0,-1,0
30,-1,-1,0,-1,1,-1,-1,1,0
35,0,-2,-2,0,-1,-1,0,0,0
40,-1,-3,-1,-1,-2,-2,-2,-2,0
45,-1,-3,-1,-2,1,1,-2,-2,0
50,1,1,1,-1,0,-1,0,-2,0
55,-1,0,-1,-1,-1,0,-3,-5,0
60,-1,-1,-2,-1,-1,-2,-1,-2,0
65,0,-2,-1,0,-2,-2,0,0,0
70,-1,-2,-3,-2,-1,-2,-1,-1,0
75,-2,0,0,-1,1,-1,-1,-1,0
80,-2,-2,-3,-2,-2,1,-2,0,0
85,-1,0,-2,-1,0,-1,-1,-1,0
90,-1,-2,0,-2,-3,-2,0,-3,0
95,-2,-2,0,-2,-1,0,-1,0,0
100,0,-2,1,-2,-1,-2,-1,-1,0
105,-1,-1,0,-1,-1,-1,0,0,0
110,-2,-2,-2,0,-1,-1,0,0,0
115,1,0,-2,-2,-1,-1,-1,-2,0
120,0,0,0,-1,-1,-2,-2,0,0
125,-1,-1,-2,-1,-2,1,-1,0,0
130,-2,-2,-1,-1,-1,-2,0,0,0
135,-1,-1,-3,0,-2,0,-3,-2,0
140,-2,-1,0,-2,-1,-1,0,-2,0
145,0,-1,-2,-1,-1,-1,-3,-1,0
150,-1,0,-1,-1,-1,1,-2,-1,0
155,-1,0,-1,-2,-2,-1,0,-2,0
160,2,0,-2,-1,-1,0,0,-2,0
165,-2,0,0,0,-2,0,-3,-2,0
170,0,-2,0,0,-1,-1,1,-2,0
175,-1,-2,-1,-1,0,-2,-1,-1,0
180,-1,-1,1,-2,-1,0,-1,-1,0
185,1,0,0,-3,-1,0,0,-1,0
190,-2,0,-2,-2,0,0,-1,-2,0
195,-1,-2,-1,0,-1,-1,0,-1,0
200,-1,-1,-2,-1,-1,-1,-1,0,0
205,-1,-1,-1,0,-1,0,-1,0,0
210,-1,1,0,-1,0,-1,-1,-1,0
215,0,-1,-3,-2,-1,-1,-2,-2,0
220,-2,-1,-1,-1,-1,-3,-3,-1,0
225,-2,-2,-1,0,-1,-1,0,-1,0
230,0,-2,-2,-1,0,-1,-1,0,0
235,-1,0,-1,-2,-2,-1,-1,1,0
240,-1,-2,-1,-2,-1,-1,-1,-2,0
245,-2,-1,-1,-1,-2,-1,0,-2,0
250,0,0,-1,-1,-1,1,0,1,0
255,0,-1,-1,-2,-3,-1,-2,-2,0
260,0,-1,-2,0,0,-1,-1,-3,0
265,-2,2,-1,-2,1,0,-1,-1,0
270,-3,-1,0,-1,1,0,-1,-1,0
275,0,0,-1,0,0,-2,-3,-1,0
280,-1,-1,-2,0,-1,-1,-1,2,0
285,1,-2,-1,1,-2,-2,-1,-2,0
