Timestamp, Acceleration x, Acceleration y, Acceleration z, Marker
40,-0.369629,-0.676758,0.585449,0
60,-0.37207,-0.678711,0.583984,0
80,-0.376953,-0.679199,0.586914,0
100,-0.366699,-0.680664,0.583984,0
120,-0.365234,-0.680664,0.58252,0
120,-0.373535,-0.682129,0.588867,0
170,-0.376953,-0.676758,0.59375,0
170,-0.376465,-0.679688,0.587891,0
190,-0.368652,-0.685059,0.577148,0
210,-0.37207,-0.67334,0.574707,0
230,-0.370605,-0.67041,0.591797,0
250,-0.371094,-0.673828,0.587402,0
270,-0.367188,-0.677734,0.588379,0
290,-0.36377,-0.680176,0.580566,0
310,-0.37207,-0.680664,0.57959,0
330,-0.376953,-0.678711,0.576172,0
350,-0.375977,-0.670898,0.57373,0
370,-0.37207,-0.679199,0.581055,0
390,-0.378418,-0.677246,0.583984,0
410,-0.380371,-0.670898,0.577148,0
430,-0.381348,-0.672363,0.581543,0
450,-0.376953,-0.675781,0.580566,0
470,-0.368652,-0.67041,0.575195,0
490,-0.369629,-0.670898,0.580566,0
510,-0.376465,-0.686523,0.584961,0
530,-0.384766,-0.682129,0.587891,0
550,-0.385742,-0.678711,0.585449,0
570,-0.384277,-0.673828,0.57666,0
590,-0.380859,-0.671387,0.574219,0
610,-0.382812,-0.669922,0.584473,0
630,-0.377441,-0.679688,0.57959,0
650,-0.374512,-0.677246,0.581055,0
670,-0.380371,-0.674805,0.575195,0
690,-0.375,-0.674316,0.578125,0
710,-0.376465,-0.678223,0.584473,0
730,-0.374023,-0.675781,0.580078,0
750,-0.376953,-0.680176,0.579102,0
770,-0.380371,-0.680176,0.580566,0
790,-0.376953,-0.67334,0.57666,0
810,-0.373047,-0.669922,0.581543,0
830,-0.378906,-0.680664,0.581543,0
840,-0.37207,-0.677734,0.586426,0
860,-0.378418,-0.674316,0.586914,0
880,-0.383301,-0.678711,0.583984,0
900,-0.376953,-0.670898,0.581055,0
920,-0.374023,-0.667969,0.584473,0
940,-0.375488,-0.678223,0.583008,0
960,-0.378906,-0.680664,0.588867,0
980,-0.373535,-0.679688,0.593262,0
1000,-0.375977,-0.681152,0.580566,0
1020,-0.376465,-0.676758,0.574707,0
1040,-0.380371,-0.670898,0.578125,0
1060,-0.37793,-0.67334,0.577637,0
1080,-0.369141,-0.672363,0.580078,0
1100,-0.376953,-0.668945,0.585938,0
1120,-0.383301,-0.681152,0.586914,0
1140,-0.378906,-0.687988,0.58252,0
1160,-0.375488,-0.681152,0.580078,0
1180,-0.375488,-0.672363,0.571777,0
1200,-0.379883,-0.669922,0.578613,0
1220,-0.378418,-0.672363,0.574707,0
