Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,0,-2,-5,-3,0,-1,-1,-2,0
5,-1,0,-2,-3,0,-2,-1,-2,0
10,0,-1,3,-1,0,0,-1,0,0
15,-2,0,3,0,-1,-3,-2,-3,0
20,1,1,0,0,-2,-1,0,2,0
25,0,-1,0,-2,-1,-2,-2,-4,0
30,-3,-2,0,0,-1,-1,0,-2,0
35,0,0,-1,-1,1,-1,-1,0,0
40,-2,-2,1,0,-1,-1,-1,-3,0
45,0,0,-5,-2,-2,-3,0,1,0
50,0,-3,-5,-2,0,-1,1,1,0
55,-7,-15,-4,0,1,-1,-2,-1,0
60,8,4,1,1,-2,-2,1,0,0
65,0,1,-2,-2,-1,-1,-2,-1,0
70,-12,-5,4,1,-1,-1,-1,0,0
75,5,2,-1,-1,-1,1,1,-1,0
80,1,-5,-5,-1,1,0,0,4,0
85,-5,-4,-1,-1,-1,0,-1,-2,0
90,4,0,1,-3,-3,-2,-1,1,0
95,-7,-2,-6,-1,-2,0,-3,-4,0
100,-1,0,2,-1,0,0,-2,0,0
105,1,1,0,-1,-1,-2,-1,0,0
110,0,-1,-2,0,0,-1,-1,-3,0
115,-4,1,1,-3,-1,-2,-1,-3,0
120,0,-1,0,0,-1,-2,-2,-1,0
125,-2,-2,-3,0,-1,0,-1,0,0
130,-1,-1,-1,-1,-2,-1,-1,0,0
135,10,-5,2,-3,-1,-2,-2,-1,0
140,-19,13,-7,1,1,-1,1,-4,0
145,3,3,4,0,0,-2,-1,0,0
150,-4,-3,1,-2,-2,-1,-1,0,0
155,2,2,-6,-1,-2,0,-1,-3,0
160,0,-7,-1,-2,-3,0,-1,0,0
165,5,-2,0,-3,-3,-1,-2,-1,0
170,-10,1,-4,0,-1,0,1,-4,0
175,-3,-3,4,-1,-1,-1,-1,-1,0
180,4,-3,0,0,0,0,0,0,0
185,-2,-1,-4,-1,-1,0,0,-1,0
190,6,-1,-1,-2,-1,-1,-2,0,0
195,-3,-2,-1,-1,-2,0,-1,-1,0
200,1,-3,-3,-2,-1,0,0,-1,0
205,1,-1,1,0,-1,-2,0,0,0
210,-2,-3,-3,-2,0,-2,-1,1,0
215,1,2,-2,-1,-2,-3,0,1,0
