Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,-0.0625,-0.125,0.125,0
60,-0.0625,0.125,0.1875,0
80,0.8125,0.125,0.3125,0
100,0.5,-0.3125,0.5625,0
120,0.125,0,0.125,0
120,0,0.0625,0.5,0
170,-0.1875,0.375,0.5,0
170,-0.125,0.375,1,0
190,-0.6875,0.1875,1.125,0
210,-1.125,0,0.5,0
230,-0.625,0,0.625,0
250,-0.4375,0.3125,1.0625,0
270,-0.375,0.4375,1.375,0
290,-0.25,0.4375,1,0
310,-0.125,0.75,0.9375,0
330,0.1875,0.6875,1.0625,0
350,-0.25,0.5,1.3125,0
370,-0.75,0.4375,1.125,0
390,-1.0625,0.75,0.875,0
410,-0.6875,0.625,0.625,0
430,0.125,0.5625,0.5,0
450,1,0.125,0.625,0
470,1.5,0.0625,0.5625,0
490,1.1875,0,0.5,0
510,-0.4375,0.1875,0.375,0
530,-0.5625,0.125,0.125,0
550,-0.125,-0.0625,0.1875,0
570,0.6875,-0.125,0.125,0
590,-0.1875,-0.0625,-0.0625,0
610,0.375,-0.5625,-0.1875,0
630,0.375,-0.625,-1.25,0
650,0.1875,-0.3125,-1.375,0
670,1.375,-0.1875,-1.1875,0
690,1.9375,-0.375,-0.9375,0
710,0.625,-0.1875,-1,0
730,-0.0625,-0.125,-1,0
750,-0.125,-0.25,-0.5625,0
770,0.375,0,-0.1875,0
790,0.375,-0.3125,0.0625,0
810,0.1875,-0.125,-0.0625,0
830,0.0625,-0.125,0.125,0
840,-0.4375,-0.25,0.25,0
860,0.0625,-0.1875,-0.25,0
880,0.5,-0.125,-0.25,0
900,0.375,-0.375,-0.0625,0
920,0.1875,-0.1875,-0.25,0
940,-0.3125,0,-0.1875,0
960,-0.3125,0.125,-0.0625,0
980,-0.125,0.1875,0.1875,0
1000,-0.1875,0,0.3125,0
1020,-0.8125,0,0.125,0
1040,-0.8125,0.25,-0.125,0
1060,0.1875,-0.0625,0.125,0
1080,0.6875,-0.1875,-0.0625,0
1100,-0.1875,0.125,-0.1875,0
1120,-0.3125,0.1875,-0.1875,0
1140,-0.125,0,0.0625,0
1160,0.375,-0.1875,-0.125,0
1180,0.125,-0.25,-0.625,0
1200,-0.25,-0.25,-0.9375,0
1220,0.875,-0.375,-0.6875,0
1240,1.125,-0.625,-0.5625,0
1260,1.3125,-0.5625,-0.9375,0
1280,1.625,-0.4375,-1,0
1300,2,-0.75,-0.8125,0
1320,1.625,-0.875,-1.1875,0
1340,0.8125,-0.375,-1,0
1360,0.6875,-0.375,0,0
1380,-0.1875,-0.3125,0.125,0
1400,-0.4375,-0.1875,-0.125,0
1420,-0.6875,0,0.375,0
1440,-1.125,0,0.3125,0
1460,-1.4375,0.0625,-0.125,0
1480,-0.375,-0.0625,-0.5,0
1500,1.4375,-0.0625,-0.4375,0
1520,1.4375,-0.3125,-0.25,0
1540,1.0625,0.125,-0.8125,0
1560,0.8125,0.125,-0.5625,0
1580,1.25,0,-0.375,0
1600,0.5,-0.1875,-0.6875,0
1620,-0.1875,-0.375,-1.0625,0
1640,0.3125,-0.5625,-0.75,0
1660,1.0625,-0.4375,-0.5,0
1680,0.4375,-0.375,-0.625,0
1700,0.4375,-0.4375,-0.8125,0
1720,0.9375,-0.3125,-0.25,0
1740,1.3125,-0.3125,-0.125,0
1760,0,-0.3125,-0.5,0
1780,-0.3125,-0.0625,-0.6875,0
1800,1.125,-0.4375,-0.375,0
1820,1,-0.3125,-0.375,0
1840,0.1875,-0.125,-0.5625,0
1860,0.625,-0.25,-0.5,0
1880,0.375,-0.375,0.1875,0
1900,0.625,-0.4375,0.3125,0
1920,-0.1875,-0.375,-0.25,0
1940,-0.6875,-0.375,-0.25,0
1960,-0.9375,-0.0625,0.0625,0
1980,-0.375,-0.125,0.0625,0
2000,-0.5,-0.125,-0.5625,0
2020,0.625,-0.3125,-0.9375,0
2040,1.375,-0.3125,-0.25,0
2060,0.5,-0.1875,-0.375,0
2080,0.125,-0.1875,-1.125,0
2100,0.25,-0.375,-1.3125,0
2120,1.0625,-0.625,-1.5625,0
2140,1.8125,-1.3125,-2.125,0
2160,2.4375,-1.375,-1.75,0
2180,1.75,-1.4375,-1.9375,0
2200,3.1875,-1.5625,-2.125,0
2220,3.75,-1.6875,-2.125,0
2240,3.5625,-1.3125,-1.625,0
2260,2.125,-0.9375,-0.875,0
2280,0.5625,-0.6875,-0.5625,0
2300,0.5,-0.6875,-0.0625,0
2320,0.375,-1,-0.0625,0
2340,-0.8125,-0.875,0,0
2360,-1.4375,-0.25,0.25,0
2380,-1.3125,-0.4375,0,0
2400,-0.125,-0.5625,-0.375,0
2420,1.4375,-0.75,-0.875,0
2440,2.1875,-0.5,-0.875,0
2460,1.0625,-0.5,-0.625,0
2480,0.375,-0.4375,-0.875,0
2500,-0.125,-0.1875,-1.125,0
2520,0.4375,0,-0.625,0
2540,0.0625,-0.4375,-0.5625,0
2560,-0.375,-0.25,-1.3125,0
2580,0.5625,0.0625,-1.5625,0
2600,1.625,0.0625,-1.125,0
2620,0.75,-0.0625,-0.4375,0
2640,-0.5,0.4375,-1.0625,0
2660,-0.3125,0.25,-0.625,0
2680,-0.5,-0.125,-0.3125,0
2700,-0.125,-0.4375,-0.1875,0
2720,-1.0625,-0.0625,-0.375,0
2740,-0.9375,0.0625,-0.1875,0
2760,-1.625,-0.1875,0.0625,0
2780,-2.8125,-0.25,0.0625,0
2800,-4.1875,-0.3125,0.75,0
2820,-6.875,-0.9375,1.4375,0
2840,-8.5,-0.625,1.5,0
2860,-7.125,-1.0625,1.625,0
2880,-5.375,-1.4375,1.1875,0
2900,-3.4375,-1,1.0625,0
2920,-0.8125,-0.5625,0.6875,0
2940,1.0625,-0.5625,0.3125,0
2960,1.5,-0.5625,0.125,0
2980,1,-0.125,0.125,0
3000,-0.625,0.0625,0.375,0
3020,-0.875,-0.125,0.125,0
3040,-1.4375,0.125,-0.0625,0
3060,-1.375,0.25,0.3125,0
3080,-0.875,0.125,0.0625,0
3100,0.125,0.0625,-0.5,0
3120,0.5,-0.125,-0.625,0
3140,1,-0.1875,-0.8125,0
3160,1.0625,-0.25,-1.125,0
3180,1.625,-0.625,-1.1875,0
3200,0.375,-0.8125,-1.0625,0
3220,-0.375,-0.5625,-0.375,0
3240,-0.25,-0.5,-0.4375,0
3260,0.375,-0.4375,-0.6875,0
3280,1,-0.3125,-0.25,0
3300,-0.125,-0.625,-0.1875,0
3320,0.1875,-0.5625,-0.25,0
3340,0.875,-0.5,0.0625,0
3360,0.375,-0.5,0.1875,0
3380,-2,-0.125,-0.0625,0
3400,-1.75,0.125,-0.1875,0
3420,-1.3125,0.125,0.4375,0
3440,-2.5,0.125,0.9375,0
3460,-3.0625,0.1875,0.125,0
3480,-2.5,0.25,-0.1875,0
3500,-0.0625,0.25,0.375,0
3520,0.5625,-0.375,0.1875,0
3530,-0.375,0.0625,-0.1875,0
3550,0.3125,-0.0625,-0.1875,0
3570,0.625,-0.3125,-0.25,0
3590,0.375,0.0625,-0.0625,0
3610,0.5625,0.125,0.125,0
3630,-0.5,0.0625,0.625,0
3650,-2.1875,0,1.0625,0
3670,-4.0625,-0.1875,1.625,0
3690,-3.6875,-0.375,1.375,0
3710,-3.125,-0.0625,1.1875,0
3730,-1.5,-0.25,1.375,0
3750,-0.125,-0.5,0.9375,0
3770,0.0625,-0.3125,0.0625,0
3790,0.625,-0.1875,-0.375,0
3810,1.4375,-0.0625,-0.5625,0
3830,2.4375,-0.3125,-0.5625,0
3850,2.125,-0.5,-1.0625,0
3870,1.625,-0.125,-0.6875,0
3890,0.1875,-0.375,0.125,0
3910,-0.4375,-0.25,0.0625,0
3930,-0.25,-0.25,-0.5625,0
3950,0.3125,-0.1875,0.125,0
3970,-1,-0.3125,0.9375,0
3990,-2.4375,0.375,0.0625,0
4010,-0.9375,0.1875,-0.5625,0
4030,-0.9375,-0.1875,0.1875,0
4050,-0.875,0.1875,0.4375,0
4070,-0.5,0.0625,0.0625,0
4090,-0.125,-0.3125,-0.25,0
4110,-0.0625,-0.1875,-0.125,0
4130,-0.4375,-0.125,0.0625,0
4150,-0.3125,0.3125,-0.4375,0
4170,0.9375,0.5625,-0.625,0
4190,1.3125,0.375,0,0
4210,0.0625,0.625,-0.125,0
4230,-0.1875,0.75,-0.1875,0
4250,0.6875,0.3125,0.375,0
4270,-0.4375,-0.0625,0.5625,0
4290,-2.0625,0.1875,0.0625,0
4310,0.375,0.1875,-0.0625,0
4330,2.625,-0.125,0.375,0
4350,2,0.125,0.3125,0
4370,-0.125,0.4375,-0.0625,0
4390,-0.6875,0.6875,-0.25,0
4410,0.6875,0.4375,0.125,0
4430,1.5625,0.4375,0.125,0
4450,2,0.5625,0.4375,0
4470,1.0625,0.375,0.75,0
4490,0.375,0.5625,1.125,0
4510,0.625,0.375,1.5,0
4530,0.625,0.5625,1.375,0
