Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,-9,-7,1,-2,-3,-4,-10,-49,0
5,4,-5,0,-2,0,2,1,30,0
10,-5,-12,-1,-4,-2,-2,-3,1,0
15,0,3,2,0,1,2,-4,-6,0
20,10,3,-1,-1,0,1,7,15,0
25,-2,-1,-1,-2,-3,-3,-7,-16,0
30,-9,-5,-3,3,-1,-4,-7,-7,0
35,-5,-11,-11,-4,-1,3,6,6,0
40,-6,-30,-11,-3,-1,1,-11,-3,0
45,7,49,20,3,-2,-1,1,-9,0
50,3,0,-1,-1,1,2,6,14,0
55,3,-5,9,-1,0,0,0,-7,0
60,-8,32,3,1,1,-4,-1,7,0
65,24,-29,-1,-3,3,7,4,8,0
70,2,-1,-12,-2,-4,-5,1,-3,0
75,-5,7,-2,-3,-2,-7,-8,12,0
80,-2,-7,-5,-2,-2,-2,-4,5,0
85,0,-11,4,-3,-3,-4,-1,2,0
90,0,14,-4,-1,1,6,0,-15,0
95,6,-9,-3,1,2,-2,3,5,0
100,2,-2,-1,-5,-5,-5,-2,-1,0
105,-16,-2,-1,-1,-2,-5,4,-9,0
110,-4,-7,1,0,-2,-4,-18,-5,0
115,-6,4,-4,0,-3,-4,2,-10,0
120,1,-2,5,-1,-1,7,20,5,0
125,-8,0,-8,-1,-1,-6,-34,-8,0
130,-2,-2,2,-1,2,-1,6,-3,0
135,-5,-13,1,-3,-3,-6,-2,-5,0
140,21,26,5,2,2,1,6,9,0
145,-13,-12,-8,-4,-4,-8,-12,-14,0
150,29,5,4,4,2,12,15,18,0
155,-18,3,0,-1,0,0,-16,-34,0
160,-8,-1,0,-1,-3,-3,-7,-3,0
165,2,-2,-1,-2,-1,-3,4,-3,0
170,0,0,0,0,-1,-2,-1,0,0
175,-4,-6,-5,-2,-2,-2,0,-2,0
180,-2,-8,-4,-4,-2,-4,-8,-13,0
185,2,-1,3,0,0,-2,-7,8,0
190,-3,-1,0,1,1,2,11,5,0
195,6,4,3,1,0,3,2,5,0
200,-11,4,5,1,-2,-1,10,-6,0
205,5,-8,-16,-2,-3,1,10,-5,0
210,-6,-14,-6,0,1,3,-10,-7,0
215,2,-8,2,0,0,0,1,9,0
220,-2,3,-2,0,1,2,-2,3,0
225,-7,7,4,-2,-2,-4,-1,-2,0
230,15,13,13,1,-1,-3,0,-5,0
235,-11,3,-12,-2,-2,-2,6,-8,0
240,13,-11,0,-2,-4,-7,-19,-5,0
245,0,3,-1,0,-1,7,9,-5,0
250,2,-2,-4,-3,-3,-3,-11,5,0
255,4,5,-1,-1,0,-1,6,-4,0
260,10,7,1,-1,0,0,16,10,0
265,-7,-4,-2,-1,-1,-1,-10,-10,0
270,0,-1,-6,-3,-2,0,2,5,0
275,-6,10,5,-2,0,-1,-3,-13,0
280,-2,-1,-3,-2,1,0,-5,6,0
285,17,-5,-3,-2,0,-2,4,16,0
290,11,-4,1,-2,-1,-1,-7,6,0
295,-2,12,3,3,-2,-4,-7,-2,0
300,-6,-5,-8,-2,-3,-1,-3,-14,0
305,2,3,11,-1,-3,-4,-16,-4,0
310,1,-16,-20,-7,-4,-7,12,12,0
315,10,-1,-10,1,0,1,-5,4,0
320,-13,7,2,1,-1,-1,3,-1,0
325,13,-9,6,-1,-3,-4,-2,0,0
330,-12,9,2,-2,-4,-5,-7,-26,0
335,-1,-10,-6,-3,-1,-4,-41,0,0
340,4,-3,0,0,0,2,15,4,0
345,0,-1,-9,-4,-2,-2,0,1,0
350,-6,1,6,-1,-2,-2,1,11,0
355,-1,-1,2,-1,-1,0,9,-7,0
360,4,-10,-4,0,1,-1,-8,-13,0
365,-17,-1,0,0,0,-1,-5,5,0
370,20,-17,-7,-4,-5,-5,-2,2,0
375,-26,-5,-4,-4,-3,4,4,-12,0
380,1,-3,-3,2,-3,-6,-9,8,0
385,-9,4,-2,1,1,2,-4,-16,0
390,6,22,4,0,-2,-1,-3,2,0
395,12,-9,2,0,1,-4,1,4,0
400,12,1,0,-5,-3,-2,-4,-5,0
405,-3,-3,-10,-1,-1,-4,-6,0,0
410,-9,4,2,-1,0,0,-2,-4,0
415,-5,1,3,-2,-2,3,5,2,0
420,-4,10,5,-2,-1,0,4,-14,0
425,-4,-23,-1,1,0,1,0,13,0
430,-9,1,0,1,2,1,-15,-3,0
435,7,-3,-4,-2,-1,0,13,24,0
440,-2,2,2,2,3,5,9,2,0
445,6,17,2,-2,-2,-2,-1,11,0
450,-8,-16,-3,-1,-1,4,-3,-16,0
455,4,-15,-4,-1,-2,-2,1,-10,0
460,-10,12,2,1,-1,-3,-6,3,0
465,-9,0,0,-2,-4,-4,1,-5,0
470,5,-1,-4,-1,0,3,1,6,0
475,25,11,3,0,1,0,0,-16,0
480,-2,-22,-1,0,-1,4,3,21,0
485,0,7,-2,-1,-2,-1,4,-9,0
490,-3,-6,1,-1,-2,-7,-3,-3,0
