Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,8,13.6875,-9.9375,0
60,22.25,7,-5.875,0
80,35.5,-0.75,-6.375,0
100,36.8125,-3.375,-9.8125,0
120,28.8125,-5.1875,-7,0
140,18.75,-4.375,-4.25,0
160,4.8125,-2.4375,-1.6875,0
160,-5.375,-1.875,1.75,0
160,-7.0625,-0.5625,3.125,0
210,-2.6875,0.6875,1.4375,0
230,-2.3125,4.625,-0.3125,0
250,1.1875,4.75,-0.6875,0
270,7.0625,-0.5,-0.8125,0
290,11.125,-3.8125,-1.125,0
310,10.0625,-3,0.3125,0
330,10.1875,-1.875,-0.25,0
350,9,-0.75,0.25,0
370,6.5625,-1.9375,-0.25,0
390,6.0625,-2.5625,-0.75,0
410,9.5625,-0.5,-3.5,0
430,11.3125,1.9375,-4.9375,0
450,9.9375,4.3125,-5.1875,0
470,2.8125,5.3125,-4.0625,0
490,-0.9375,4.1875,-1.6875,0
510,-4.8125,4.75,2,0
530,-12.5625,5.375,5.0625,0
550,-20.6875,6.625,7.5625,0
570,-23,7.0625,7.25,0
590,-20.3125,7.125,5.875,0
610,-17.0625,6.6875,1.3125,0
630,-11.5,5.0625,-2.8125,0
650,-4.375,1.625,-5.25,0
670,2.3125,0.1875,-6.1875,0
690,9,0.5625,-6.3125,0
710,9.125,1.9375,-5.75,0
730,7.1875,3.25,-4.9375,0
750,4.0625,3.3125,-3.5,0
770,1.75,4.25,-2.75,0
790,1,5.75,-2.6875,0
810,-0.4375,6.1875,-0.4375,0
830,0.3125,7.875,1.875,0
850,1.625,8.0625,1.5,0
870,2.3125,5.9375,0.3125,0
890,1.75,3.3125,-0.4375,0
910,0.875,1.125,-0.1875,0
930,1.8125,-0.4375,-0.6875,0
950,2.875,-2.875,-2.5625,0
970,1.6875,-4.5,-2.8125,0
990,1.125,-3.5,-2.3125,0
1010,3.125,-3.75,-1.9375,0
1030,3.9375,-4.6875,-3.25,0
1050,2.9375,-5.125,-3.125,0
1070,1.4375,-4.75,-2.25,0
1090,2.125,-4.375,-1.6875,0
1110,1,-2.75,-2.5,0
1130,-0.5,-3,-3.1875,0
1150,-0.3125,-2.6875,-1.4375,0
1170,1,-1.875,-1.0625,0
1190,0.4375,-0.5625,-1.8125,0
1210,2.25,0,-3.0625,0
1230,2.875,-0.8125,-2.75,0
1250,2.875,-0.4375,-1.1875,0
1260,-1,0.25,-1.9375,0
1280,-2.1875,-0.5,-1.5,0
1300,-2.375,-2.25,-0.6875,0
1320,3.5625,-4.0625,0.0625,0
1340,6.5625,-4.625,0.875,0
1360,8.6875,-4.25,1.4375,0
1380,8.25,-3.25,2.875,0
1400,6.625,-2.375,4,0
1420,2.1875,-1.5625,3.25,0
1440,-3.3125,-1.0625,2.0625,0
1460,-6.625,-0.5,1.375,0
1480,-8.125,-0.875,1.5,0
1500,-4,-1,0.25,0
1520,0,-0.875,-1.125,0
1540,2,-0.75,-1.125,0
1560,1.4375,-0.75,-1.4375,0
1580,-0.25,-0.4375,-0.9375,0
1600,-1.5,0.1875,-1.125,0
1620,-1.75,0.625,-1.3125,0
1640,-2.25,1.4375,0.3125,0
1660,-4.5,2.125,1.375,0
1680,-5.4375,2.625,2,0
1700,-5.875,1.5625,1.9375,0
1720,-4.875,0.0625,1.625,0
1740,-4.9375,0.375,2.4375,0
1760,-3.75,1.625,2.625,0
1780,-3.25,2.375,2.5625,0
1800,-4.375,2.4375,1.5,0
1820,-3.875,1.625,0.4375,0
1840,-5.25,2,-0.25,0
1860,-6.125,2.25,-0.8125,0
1880,-5.75,1.75,-0.1875,0
1900,-5.375,1.1875,0.25,0
1920,-7.1875,1.625,-0.9375,0
1940,-8.625,0.5625,-1.0625,0
1960,-9.0625,0.0625,-0.9375,0
1980,-10.625,3.4375,-1.1875,0
2000,-7.75,4.125,-1.6875,0
2020,-4.5625,3.5625,-1.875,0
2040,-2.875,2.875,-2.75,0
2060,-3.875,2.8125,-4.375,0
2080,-7.125,4,-4.8125,0
2100,-8.625,3.75,-3.875,0
2120,-11.25,2.8125,-0.125,0
2140,-12.8125,4.875,1.5625,0
2160,-14.0625,6.4375,2.375,0
2180,-13.375,6.8125,2.1875,0
2200,-15.875,5.8125,2.1875,0
2220,-19.9375,7.0625,2.0625,0
2240,-21.25,7.375,0.125,0
