Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
0,-3,-1,0,-1,-3,-2,0,-1,0
5,-1,-1,-1,-3,-3,-2,0,-2,0
10,0,-1,-1,-1,-1,1,-3,-3,0
15,0,-2,0,0,-2,-2,0,-4,0
20,1,-1,-1,-1,0,3,1,-2,0
25,0,-4,-2,-2,-1,-1,-2,-3,0
30,-2,1,-1,0,-1,0,-1,0,0
35,0,-1,2,0,1,-1,2,-4,0
40,0,-1,-1,1,-1,-1,0,2,0
45,-2,0,-1,-3,1,1,2,0,0
50,-1,2,-1,-2,0,-2,-2,-3,0
55,-1,-2,-2,0,0,-1,0,-1,0
60,-2,-3,-1,0,-1,-2,-3,0,0
65,0,-1,-2,-2,-1,0,-1,0,0
70,-1,-5,2,-1,-2,-1,1,0,0
75,1,1,0,0,0,-2,-1,-1,0
80,-1,-1,-1,-2,-2,-3,-2,-1,0
85,-1,2,-4,-1,-3,3,3,-3,0
90,-2,-2,-1,-3,-1,-5,-3,-5,0
95,0,-3,-1,0,0,-1,-1,3,0
100,2,-1,-1,-1,0,-1,1,-3,0
105,0,-3,-3,-1,0,-2,-3,0,0
110,1,-1,0,-3,-1,0,-4,-4,0
115,0,0,0,0,-3,-2,-3,-1,0
120,-1,-2,0,-2,-1,-3,-5,-2,0
125,-3,2,2,0,0,-1,3,1,0
130,0,2,-2,-1,-1,-2,-2,1,0
135,-2,-2,-1,-2,0,-1,-4,-1,0
140,0,-2,-2,-3,0,-1,0,-3,0
145,0,-2,0,2,0,-1,0,-1,0
150,0,-1,-3,-1,0,-1,-2,1,0
155,1,-1,-2,-1,-3,0,-3,-1,0
160,0,-2,-2,-1,-3,-2,-5,2,0
165,0,-1,2,-2,1,-1,-1,-1,0
170,2,-3,0,1,2,2,1,-2,0
175,-2,-1,-1,-2,-2,-5,1,-2,0
180,0,1,-1,-1,-1,-1,-2,1,0
185,-3,-1,0,-1,-2,-2,-4,-3,0
190,1,-2,-1,-1,0,-3,-4,-1,0
195,0,-1,1,0,-1,-1,2,-1,0
200,-3,-1,-2,-2,-1,-2,-2,-4,0
205,0,-1,-2,1,-2,-1,-1,3,0
210,-2,-2,2,-1,-2,0,0,-2,0
215,-3,-2,-1,-1,-1,0,-3,4,0
220,0,-1,1,-2,-1,1,1,-1,0
225,-1,1,1,2,0,-4,-2,-1,0
230,1,0,1,4,0,-2,-2,0,0
235,-4,-3,-4,-8,-5,-1,-4,-2,0
240,0,1,1,3,2,-3,0,-4,0
245,1,-1,2,-3,2,2,2,-3,0
250,-2,-2,-2,-4,-6,-6,-2,-1,0
255,-2,-8,-10,-13,-12,-5,-3,-5,0
260,-3,-1,3,14,24,9,1,-1,0
