Timestamp, Rotation x, Rotation y, Rotation z, Marker
40,60.0625,-13.5625,39.9375,0
60,47.9375,-42.875,63.25,0
80,90.9375,-43.25,117.438,0
100,74.5625,-26.6875,107.125,0
120,21.0625,-12,99.0625,0
130,-23.625,-12.0625,77.5,0
130,-38.875,-10.6875,44.6875,0
180,-7,-2.6875,16.6875,0
200,17.125,0.25,-18.625,0
220,22.0625,-15.875,-51.25,0
240,4.875,-41.75,-48.6875,0
260,9.125,-50.75,-28.9375,0
280,20.9375,-41.625,-25.5,0
300,25.125,-39.75,-17.0625,0
320,23.875,-39.375,4.875,0
340,29.6875,-32.75,36.1875,0
360,27.9375,-34.875,43.625,0
380,0.9375,-23.9375,32.75,0
400,-21.375,-18.6875,26.1875,0
420,-46.5,-22.125,28.875,0
440,-52.125,-24.5,42.1875,0
460,-52.25,-25.9375,52.1875,0
480,-58.1875,-25.5,62.1875,0
500,-60.0625,-23.5625,61.6875,0
520,-60.8125,-27.3125,55.3125,0
540,-69.9375,-33,52,0
560,-61.0625,-34.1875,44,0
580,-37.8125,-33.3125,31.25,0
600,-13.0625,-34.25,19.4375,0
620,-4.4375,-32.8125,10.9375,0
630,-2.4375,-24.75,3.875,0
650,3.625,-15.3125,-6.1875,0
670,12.3125,-6.8125,-12.4375,0
690,18.6875,4.5,-14.4375,0
710,16.1875,10.4375,-16.5625,0
730,10.375,7.5,-12.5,0
750,4.9375,1.3125,-8.25,0
770,5.6875,5.625,-10.0625,0
790,-3.3125,6.375,-16,0
810,0.9375,3.875,-27.6875,0
830,-1.6875,-2.5,-33.5,0
850,1.0625,-1.5625,-41.0625,0
870,7.25,4,-51.875,0
890,21.5625,3.6875,-64.0625,0
910,32.625,-1,-70.9375,0
930,50.25,-5.3125,-75.75,0
950,60.8125,-6.3125,-89.9375,0
970,70.3125,-12.375,-100.5,0
990,71.625,-17.4375,-100.5,0
1010,57.8125,-18.3125,-96.5625,0
1030,16.25,-27.25,-83.0625,0
1050,1.375,-32.5625,-86.125,0
1070,-0.875,-34.75,-98.25,0
1090,4.5,-39.8125,-94.625,0
1110,0.875,-36.5,-98.1875,0
1130,5.1875,-29.5625,-107.875,0
1150,22.6875,-10.75,-115.062,0
1170,11.0625,4.1875,-122.062,0
1190,-15.5,1.9375,-131,0
1210,-14,0.9375,-136.875,0
1230,-9,1.625,-135.562,0
1250,9.625,-1.5,-135.312,0
1270,36.8125,-1.3125,-126.5,0
1290,36.8125,-3.125,-108.375,0
1310,36.8125,-4.1875,-105.125,0
1330,22.6875,6.9375,-103.562,0
1350,-0.6875,17.5,-92.4375,0
1370,-3.9375,24.75,-87.375,0
1390,-1.8125,45.5625,-82.875,0
1410,-3.875,48.5625,-67.0625,0
1430,-14.125,53.8125,-55.125,0
1450,-29.0625,59.125,-53.0625,0
1470,-34,65.8125,-53.6875,0
1490,-33.8125,71.5625,-48.25,0
1510,-18.75,74.1875,-49,0
1530,8.1875,71.875,-53.3125,0
1550,42,69.4375,-58.125,0
1570,58.8125,71.9375,-61.3125,0
1590,59.5,74.3125,-59.5625,0
1610,50.3125,72.75,-50.875,0
1630,40.5625,69.125,-38.0625,0
1650,37.4375,67,-30.8125,0
1670,31.0625,64.75,-25.75,0
1690,23,62.875,-16.25,0
1710,8.8125,60.625,-9.4375,0
1730,-2.6875,66.375,-10.625,0
1750,-7.375,71.625,-9.1875,0
1770,-5.5,74.125,-3.125,0
1790,-8.1875,69.9375,10.0625,0
1810,-19.3125,65.1875,18.625,0
1830,-22.8125,66.5,12.6875,0
1850,-11.25,66.625,2.5625,0
1870,2.6875,66.3125,-3.4375,0
1890,13.25,66.5625,-5.6875,0
1910,13.3125,66.875,-7,0
1930,10.8125,64.75,-3.9375,0
1950,8.75,64.0625,-1.0625,0
1970,2,62.5625,5.375,0
1990,-8.4375,60.125,21.625,0
2010,-39.0625,57.1875,43.75,0
2030,-59.6875,56.25,59.3125,0
2050,-64.5,51.1875,66.375,0
2070,-56.375,42.875,73.75,0
2090,-51.4375,31.5625,77.75,0
2110,-39.5,30.625,66.9375,0
2130,-29.375,25.5625,62.6875,0
2150,-18.0625,15.4375,66.75,0
2170,0.125,9,62.6875,0
2190,26.9375,13.4375,40.9375,0
2210,58.4375,17.4375,28.8125,0
2230,79.8125,19.6875,25.5,0
2250,87.625,21.6875,20.6875,0
2270,91.125,22.4375,18.6875,0
2290,82.9375,31.5,14.375,0
2310,74.4375,42.5,7.8125,0
2330,71.6875,48.3125,5.1875,0
2350,81.25,57.75,-3.625,0
2370,93.8125,63.25,-8.75,0
2390,99.1875,61,-1.75,0
2410,90,54.3125,1.9375,0
2430,71.8125,42.5,4.25,0
2450,59.1875,25.625,9.5,0
2470,-40.375,-77.5,93,0
2490,-57.5625,-20.375,19.9375,0
2510,-51.5625,4,-23.4375,0
2530,20.25,13.875,-51.125,0
2550,64.25,-21.8125,-18.3125,0
2570,71.875,-21.5,-30.3125,0
2590,40.125,-25.3125,-26.4375,0
2610,10.75,-22.4375,-20.25,0
2630,-4.375,-20.75,-15.3125,0
2650,-8.0625,-19.0625,-13.25,0
2670,-4.8125,-18.0625,-11.5,0
2690,9,-18.4375,-12.75,0
2710,20.0625,-17.75,-12.5,0
2730,16.5625,-17.3125,-8.0625,0
2750,3.6875,-15.75,-2.8125,0
2770,-2.3125,-14.5625,1.9375,0
2790,2.5,-10,3,0
2810,8.125,-5.0625,4.9375,0
2830,6.4375,-0.5,7.625,0
2850,3.9375,5.4375,7.5,0
2870,10.875,11.0625,4.75,0
2890,21.4375,16.375,2.8125,0
2910,26.5625,21,1.9375,0
2930,24.5625,24.125,2.125,0
2950,24.75,27.25,-0.375,0
2970,35.4375,31.75,-5.875,0
2990,42.1875,33.4375,-8.0625,0
3010,38.5625,34.75,-9.8125,0
3030,34.875,36.625,-12.625,0
3050,34.5625,37.8125,-15,0
3070,30.75,38.125,-15.5625,0
3090,22.9375,37.8125,-15.875,0
3110,24.375,37.5625,-18.0625,0
3130,38.25,36.0625,-20.5,0
3150,45.625,33.6875,-19.625,0
3170,28.6875,29.0625,-15,0
3190,4.5,25,-9.875,0
3210,-11.3125,21.75,-4.375,0
3230,-12.1875,20.4375,-2.6875,0
3250,-22.5,21.125,-2.3125,0
3270,-27.8125,21.125,-3.125,0
3290,-21.25,18.9375,-2.3125,0
3310,-9.4375,15.3125,-3.9375,0
3330,-7.3125,13.125,-3.4375,0
3340,-11.0625,9.1875,-0.3125,0
3360,-5.125,4.5,0,0
