Timestamp, Rotation x, Rotation y, Rotation z, Marker
30,-4,5.875,9.5,0
50,-4.5,4.1875,9.9375,0
70,-3.4375,2.5,9.375,0
90,-1.5625,1.9375,8.1875,0
110,-1.1875,2.375,6,0
130,-1.125,2.5625,4.5625,0
150,-2.625,2.8125,3.5625,0
170,-2,3.75,3.4375,0
180,-2,4.625,3.5625,0
180,-2,5.5625,3.9375,0
230,-2.1875,6.25,3.75,0
250,-2.5625,5.4375,3.5625,0
260,-2.5625,4.125,3.625,0
290,-0.9375,3.625,2.875,0
310,-1.8125,2.625,3.125,0
330,-1.3125,1.375,3,0
350,-1,-0.0625,2.6875,0
370,-0.625,0,2.3125,0
390,-0.125,0.6875,1.5,0
410,-0.9375,0.4375,1.1875,0
430,-1.3125,0.0625,1.125,0
450,-1.0625,-0.3125,1.0625,0
470,-0.8125,0.25,0.5,0
490,0.0625,1.4375,-0.5625,0
510,-0.6875,1.6875,-0.875,0
530,-1.125,0.875,-0.4375,0
550,-0.5,0.5625,-0.3125,0
570,-0.125,1,-0.125,0
590,-0.125,1.8125,0.25,0
610,-0.875,1.9375,0.375,0
630,-1.0625,1.5625,0.75,0
650,-1.75,1.5,1.9375,0
670,-2.5625,2.1875,3.5,0
690,-2.625,2.875,3.9375,0
710,-2.0625,3.4375,3.4375,0
730,-2.0625,3.25,2.5,0
750,-2.3125,2.6875,2,0
770,-1,2.5,0.9375,0
790,-0.25,2.1875,-0.5625,0
810,0.6875,1.9375,-1.875,0
830,1.125,1.3125,-2.6875,0
850,1,0.625,-2.1875,0
870,-0.125,0.3125,-0.9375,0
890,-0.25,0.5625,0.5,0
910,-0.0625,0.6875,1.5625,0
930,-0.125,0.75,2.3125,0
950,-0.375,0.8125,2.75,0
970,-0.8125,0.25,3.1875,0
990,-1.125,-0.0625,2.875,0
1010,0.3125,0.0625,2.0625,0
1030,0.375,-0.4375,1.1875,0
1050,0.1875,-1.375,0.9375,0
1070,0.25,-2,0.6875,0
1090,0.8125,-1.5,-0.1875,0
1110,1.25,-0.5,-0.75,0
1130,0.4375,-0.5,-0.4375,0
1150,-0.0625,-1.1875,0.375,0
1170,0.0625,-1.3125,0.875,0
1190,0.875,-0.5625,0.4375,0
1210,1.375,-0.125,-0.0625,0
1230,0.6875,-0.8125,-0.125,0
1250,0.6875,-1.1875,0.125,0
1260,1.0625,-0.9375,-0.125,0
1280,1.625,-0.8125,-0.25,0
1300,0.875,-1.6875,-0.0625,0
1320,0.875,-2.0625,-0.0625,0
1340,1.1875,-2.125,-0.625,0
1360,1.25,-2.25,-0.875,0
1380,1.0625,-1.5,-0.875,0
1400,0.625,-0.25,-0.6875,0
1420,0.625,-0.0625,-0.75,0
1440,0.3125,-0.4375,-0.8125,0
1460,0.9375,-0.5,-0.75,0
1480,0.875,-0.4375,-0.625,0
1500,0.5,-1,-0.125,0
1520,0.1875,-1.3125,0.4375,0
1540,-0.4375,-1.3125,1.0625,0
1560,-0.375,-0.1875,1.1875,0
1580,0.0625,1.1875,1,0
1600,-0.8125,1.3125,1.75,0
1620,-1.5625,0.375,2.625,0
1640,-0.25,1.0625,2.9375,0
1660,0,1.8125,2.375,0
1680,-0.625,1.5,2.625,0
1700,-1.5,0.875,3,0
1720,-0.5,1,3.1875,0
1740,-0.5625,1.0625,3.125,0
1760,-0.0625,0.8125,2.9375,0
1780,-0.375,0.5,2.25,0
1800,0,0.125,1.25,0
1820,0.5625,0.1875,0.75,0
1840,0.25,-0.125,0.6875,0
1860,0.5625,0.125,0.4375,0
1880,0.5625,0.25,0.125,0
1900,0.6875,0.375,0.1875,0
1920,0.125,0.4375,0.75,0
1940,0.1875,0.625,1.1875,0
1960,0.0625,0.75,1.75,0
1980,0.375,0.6875,1.5,0
2000,0.3125,1.5,0.875,0
2020,0.5,2.3125,0.3125,0
2040,-0.125,2.375,0.8125,0
2060,-0.5625,1.875,2,0
2080,-0.8125,1.875,3,0
2100,-1.1875,1.4375,3.5,0
2120,-1.375,1.1875,3.3125,0
2140,-1.1875,1.0625,2.8125,0
2160,-1.3125,0.9375,2.3125,0
2180,-1.375,0.625,1.6875,0
2200,-0.0625,0.4375,0.375,0
2220,0.5625,-0.25,-0.875,0
2240,0.75,-0.6875,-1.4375,0
2260,0.6875,-0.625,-1.875,0
2280,0.8125,-0.6875,-2,0
2300,0.75,-0.9375,-1.625,0
2320,0.8125,-0.5625,-1.375,0
2340,0.5,0,-0.75,0
2360,0.5,0.375,-0.125,0
2380,0.375,0.1875,0.5,0
2400,0.375,-0.3125,0.75,0
2420,0.875,-0.5,0.75,0
2440,0.75,-0.8125,1,0
2460,0.125,-1.1875,1.1875,0
2480,0.3125,-1.25,1.25,0
2500,0.8125,-1.25,0.875,0
2520,0.875,-1.0625,0.25,0
2540,0.5625,-0.9375,0.375,0
2560,0.375,-0.8125,0.625,0
2580,0.25,-1.1875,0.8125,0
2600,0.375,-1.3125,0.125,0
2620,0.625,-0.9375,-0.5625,0
2640,0.8125,-0.875,-1.125,0
2660,0.75,-0.625,-0.875,0
2680,0.5,-0.75,-0.5625,0
2700,0.375,-0.625,-0.8125,0
2720,1.0625,-0.5,-1.25,0
2740,0.625,-0.75,-1.25,0
2760,1,-0.75,-1.4375,0
2780,1.3125,-0.25,-1.625,0
2800,0.75,-0.4375,-1.375,0
2810,0.125,-0.9375,-1.0625,0
2830,0.5625,-0.9375,-0.8125,0
2850,0.4375,-0.3125,-0.875,0
2870,0.5,0.1875,-0.4375,0
2890,0,-0.125,0.25,0
2910,-0.3125,-0.3125,0.625,0
2930,0.125,-0.5,0.6875,0
2950,0.1875,-0.0625,0.4375,0
2970,0.125,0,0.4375,0
2990,-0.1875,0.0625,0.9375,0
3010,-0.4375,0.125,0.5625,0
3030,-0.125,0.3125,0.0625,0
3050,0.375,0.4375,-0.4375,0
3070,-0.125,0.5625,-0.3125,0
3090,-0.125,0.125,0,0
3110,-0.3125,0.1875,0.3125,0
3130,0.0625,0.125,0.25,0
3150,-0.5,-0.125,0.4375,0
3170,-0.25,-0.25,0.5,0
3190,-0.1875,0.1875,0.375,0
3210,-0.5,0.25,0.4375,0
3230,-0.4375,0.125,0.4375,0
3250,-0.25,0.125,0.0625,0
3270,-0.0625,0,-0.125,0
3290,-0.25,-0.0625,-0.5,0
3310,0,0.25,-0.6875,0
3330,-0.25,0.25,-0.6875,0
3350,-0.0625,-0.3125,-0.1875,0
